assists,birth_date,bonus,bps,can_select,can_transact,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,clean_sheets_per_90,clearances_blocks_interceptions,code,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,creativity_rank,creativity_rank_type,defensive_contribution,defensive_contribution_per_90,direct_freekicks_order,direct_freekicks_text,dreamteam_count,element_type,ep_next,ep_this,event_points,expected_assists,expected_assists_per_90,expected_goal_involvements,expected_goal_involvements_per_90,expected_goals,expected_goals_conceded,expected_goals_conceded_per_90,expected_goals_per_90,first_name,form,form_rank,form_rank_type,goals_conceded,goals_conceded_per_90,goals_scored,has_temporary_code,ict_index,ict_index_rank,ict_index_rank_type,id,in_dreamteam,influence,influence_rank,influence_rank_type,known_name,minutes,news,news_added,now_cost,now_cost_rank,now_cost_rank_type,opta_code,own_goals,penalties_missed,penalties_order,penalties_saved,penalties_text,photo,points_per_game,points_per_game_rank,points_per_game_rank_type,price_change_percent,recoveries,red_cards,region,removed,saves,saves_per_90,scout_news_link,scout_risks,second_name,selected_by_percent,selected_rank,selected_rank_type,special,squad_number,starts,starts_per_90,status,tackles,team,team_code,team_join_date,threat,threat_rank,threat_rank_type,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards
9,1999-01-14,23,790,False,True,100,100,18,0.52,127,204480,1,,0,0,7,-7,1027.4,4,4,376,10.94,1,,5,3,4.8,4.2,0,7.32,0.21,10.47,0.3,3.15,23.87,0.69,0.09,Declan,3.2,112,51,25,0.73,4,False,215.4,15,11,21,True,827.2,26,9,,3093,,2026-03-30T10:00:10.659246Z,72,29,18,p204480,0,0,None,0,,204480.jpg,5.1,9,4,0,180,0,241,False,0,0.0,,[],Rice,23.3,11,3,False,None,35,1.02,a,69,1,3,2023-07-15,298.0,115,69,184,7631940,0,5848117,0,0.4,25.6,Rice,3
3,1996-06-22,5,236,False,True,100,75,4,0.35,30,195384,None,,0,0,-7,7,191.8,215,143,113,9.93,None,,1,3,0.8,0.9,1,1.45,0.13,4.81,0.43,3.36,7.36,0.65,0.3,Mikel,0.2,391,178,10,0.88,4,False,73.6,225,108,22,False,304.4,242,102,,1024,,2026-02-02T11:30:08.998402Z,53,181,114,p195384,0,0,None,0,,195384.jpg,3.0,199,78,0,57,0,200,False,0,0.0,,[],Merino Zazón,0.7,228,79,False,None,10,0.88,a,26,1,3,2024-08-27,244.0,143,78,67,836318,0,847590,0,0.0,12.6,Merino,1
0,2000-05-30,0,0,False,True,0,0,0,0,0,438098,None,,0,0,-1,1,0.0,824,367,0,0,None,,0,3,0.0,0.0,0,0.00,0,0.00,0,0.00,0.00,0,0,Fábio,0.0,803,353,0,0,0,False,0.0,824,367,23,False,0.0,824,367,,0,has joined Hamburger on loan for the rest of the season.,2025-09-02T13:38:06.128321Z,54,164,101,p438098,0,0,None,0,,438098.jpg,0.0,824,367,0,0,0,173,False,0,0,,[],Ferreira Vieira,0.0,697,279,False,None,0,0,u,0,1,3,2022-06-21,0.0,823,367,0,933,0,4447,0,0.0,0.0,Fábio Vieira,0
0,1994-03-10,0,28,False,True,100,100,0,0.0,9,128295,None,,0,0,-4,4,5.5,461,221,16,14.26,None,,0,3,1.0,1.2,1,0.04,0.04,0.12,0.11,0.08,2.28,2.03,0.07,Christian,0.2,386,175,1,0.89,0,False,4.0,472,211,24,False,23.4,459,203,,101,,2025-08-18T08:00:05.297235Z,51,222,137,p128295,0,0,None,0,,128295.jpg,1.0,514,236,0,4,0,58,False,0,0.0,,[],Nørgaard,0.1,442,151,False,None,1,0.89,a,3,1,3,2025-07-10,10.0,429,210,7,8660,0,61962,0,0.0,1.4,Nørgaard,0
0,2007-03-21,0,20,False,True,0,0,1,0.55,1,499175,None,,0,0,-5,5,22.5,410,204,13,7.09,None,,0,3,0.0,0.0,0,0.08,0.04,0.31,0.17,0.23,0.73,0.4,0.13,Ethan,0.0,774,333,0,0.0,0,False,5.4,461,205,25,False,8.6,483,215,,165,has joined Marseille on loan for the rest of the season.,2026-01-23T17:18:55.073277Z,50,269,163,p499175,0,0,None,0,,499175.jpg,1.3,448,198,0,10,0,241,False,0,0.0,,[],Nwaneri,0.1,462,158,False,None,0,0.0,u,2,1,3,2022-09-17,24.0,392,195,8,13149,0,37244,0,0.0,1.6,Nwaneri,0
1,1999-02-02,9,604,False,True,100,100,16,0.48,123,481655,None,,0,0,-6,6,385.1,99,70,307,9.24,None,,1,3,3.0,2.2,2,2.27,0.07,5.11,0.16,2.84,26.09,0.79,0.09,Martín,1.2,254,111,25,0.75,5,False,126.2,89,55,26,False,603.2,81,26,,2991,,2026-03-30T10:00:10.681664Z,49,327,202,p481655,0,0,None,0,,481655.jpg,3.5,116,50,0,116,0,200,False,0,0.0,,[],Zubimendi Ibáñez,2.7,116,38,False,None,34,1.02,a,68,1,3,2025-07-06,271.0,131,73,133,1383151,0,1353576,0,0.2,27.1,Zubimendi,4
0,2005-12-10,0,0,False,True,0,0,0,0,0,588796,None,,0,0,0,0,0.0,746,313,0,0,None,,0,3,0.0,0.0,0,0.00,0,0.00,0,0.00,0.00,0,0,Ismeal,0.0,683,269,0,0,0,False,0.0,753,314,28,False,0.0,753,314,,0,has joined Shrewsbury Town on loan for the rest of the season.,2025-09-02T13:24:41.013511Z,45,490,301,p588796,0,0,None,0,,588796.jpg,0.0,755,315,0,0,0,152,False,0,0,,[],Kabia,0.1,496,177,False,None,0,0,u,0,1,3,2024-09-14,0.0,733,310,0,6731,0,30392,0,0.0,0.0,Kabia,0
0,1999-10-22,0,0,False,True,0,0,0,0,0,437742,None,,0,0,0,0,0.0,704,276,0,0,None,,0,3,0.0,0.0,0,0.00,0,0.00,0,0.00,0.00,0,0,Albert,0.0,635,227,0,0,0,False,0.0,710,276,29,False,0.0,708,274,,0,has joined Hamburger permanently.,2025-09-02T13:40:53.094922Z,45,433,256,p437742,0,0,None,0,,437742.jpg,0.0,714,279,0,0,0,21,False,0,0,,[],Sambi Lokonga,0.0,593,222,False,None,0,0,u,0,1,3,2021-07-19,0.0,687,270,0,2952,0,14151,0,0.0,0.0,Sambi,0
3,1999-06-11,3,143,False,True,100,100,4,0.62,10,219847,None,,0,0,-2,2,134.6,265,31,32,4.99,None,,0,4,4.2,4.2,4,0.64,0.1,3.95,0.62,3.31,6.68,1.04,0.52,Kai,3.2,113,16,4,0.62,2,False,49.9,305,35,30,False,152.6,346,35,,577,,2026-04-25T22:30:09.266637Z,73,24,10,p219847,0,0,None,0,,219847.jpg,3.0,202,22,0,14,0,80,False,0,0.0,,[],Havertz,0.7,238,36,False,None,7,1.09,a,8,1,3,2023-06-28,210.0,173,40,36,197946,0,255689,0,0.4,4.9,Havertz,1
0,1997-04-03,0,92,False,True,100,100,1,0.22,7,205651,None,,0,0,-1,1,54.3,363,45,30,6.46,None,,0,4,1.2,2.5,5,0.26,0.06,2.97,0.64,2.71,3.97,0.85,0.58,Gabriel,1.5,229,29,6,1.29,3,False,47.5,315,38,31,False,141.8,355,39,Gabriel Jesus,418,,2025-07-21T10:00:04.697564Z,64,57,21,p205651,0,0,None,0,,205651.jpg,1.7,407,47,0,19,0,30,False,0,0.0,,[],Fernando de Jesus,0.4,301,48,False,None,3,0.65,a,4,1,3,2022-07-04,281.0,127,34,24,156814,0,134920,0,0.2,3.8,G.Jesus,3
3,1998-06-29,8,439,False,True,100,100,11,0.53,22,232413,None,,0,0,-2,2,305.7,143,95,120,5.73,None,,3,3,4.8,3.5,1,2.66,0.13,7.84,0.38,5.18,14.21,0.68,0.25,Eberechi,2.5,156,71,14,0.67,7,False,115.1,108,60,266,False,393.4,187,73,,1885,,2026-04-25T22:30:09.375724Z,73,26,15,p232413,0,0,None,0,,232413.jpg,3.4,141,61,0,79,0,241,False,0,0.0,,[],Eze,8.7,48,17,False,None,22,1.05,a,19,1,3,2025-08-23,455.0,60,34,113,3651571,0,3941829,0,0.3,15.5,Eze,1
0,2004-06-27,1,195,False,True,100,100,3,0.27,63,500040,None,,0,0,-2,2,88.7,307,100,95,8.67,None,,0,2,2.8,3.8,4,0.63,0.06,0.73,0.07,0.10,9.04,0.83,0.01,Cristhian,2.8,136,42,8,0.73,0,False,32.9,359,121,662,False,219.2,295,117,,986,,2025-12-04T09:00:09.512338Z,53,199,26,p500040,0,0,None,0,,500040.jpg,2.0,357,132,0,35,0,200,False,0,0.0,,[],Mosquera,0.3,324,118,False,None,9,0.82,a,32,1,3,2025-07-24,20.0,405,145,40,72218,0,57288,0,0.5,7.5,Mosquera,4
1,1998-06-04,16,474,False,True,100,100,12,0.49,23,224117,None,,0,0,1,-1,271.7,159,14,85,3.45,None,,4,4,6.0,6.0,1,1.94,0.08,14.19,0.58,12.26,17.81,0.72,0.5,Viktor,5.0,30,6,14,0.57,14,False,157.5,52,9,666,False,539.6,111,10,,2217,,2025-11-01T18:00:08.847750Z,91,7,3,p224117,0,0,2,0,,224117.jpg,3.6,110,11,0,55,0,206,False,0,0.0,,[],Gyökeres,16.4,20,5,False,None,26,1.06,a,7,1,3,2025-07-26,772.0,21,12,128,4626668,0,5611221,0,0.5,14.1,Gyökeres,5
1,2009-12-31,0,51,False,True,100,100,1,0.59,1,616077,None,,0,0,-3,3,55.5,360,189,16,9.47,None,,0,3,1.2,2.0,3,0.30,0.18,1.49,0.88,1.19,0.88,0.52,0.7,Max,1.0,276,122,1,0.59,1,False,16.6,409,187,700,False,45.2,434,189,,152,,2025-12-10T00:00:08.266774Z,42,659,379,p616077,0,0,None,0,,616077.jpg,2.7,234,91,0,13,0,241,False,0,0.0,,[],Dowman,0.9,204,71,False,None,1,0.59,a,2,1,3,2025-07-22,65.0,330,170,16,291075,0,193138,0,0.2,3.8,Dowman,0
0,2007-12-28,0,0,False,True,None,None,0,0,0,646243,None,,0,0,-1,1,0.0,692,270,0,0,None,,0,3,1.0,1.0,0,0.00,0,0.00,0,0.00,0.00,0,0,Andre,0.0,621,220,0,0,0,False,0.0,699,270,711,False,0.0,697,268,,0,,None,44,582,351,p646243,0,0,None,0,,646243.jpg,0.0,703,273,0,0,0,241,False,0,0,,[],Harriman-Annous,0.0,707,287,False,None,0,0,a,0,1,3,2025-07-22,0.0,673,263,0,2098,0,1977,0,0.0,0.0,Harriman-Annous,0
2,2002-01-09,7,335,False,True,100,100,5,0.25,123,448104,None,,0,0,-4,4,184.7,221,55,171,8.61,None,,3,2,3.5,1.8,2,1.67,0.08,2.03,0.1,0.36,17.53,0.88,0.02,Piero,0.8,309,110,19,0.96,1,False,70.9,235,80,725,False,453.6,150,63,,1787,,2026-03-30T10:00:11.369303Z,51,233,36,p448104,1,0,None,0,,448104.jpg,3.5,118,45,0,63,0,62,False,0,0.0,,[],Hincapié,0.9,212,82,False,None,20,1.01,a,48,1,3,2025-09-01,72.0,321,103,87,625158,0,522735,0,0.2,17.1,Hincapie,2
0,2009-08-29,0,0,False,True,None,None,0,0,0,616065,None,,0,0,0,0,0.0,628,244,0,0,None,,0,2,1.0,1.0,0,0.00,0,0.00,0,0.00,0.00,0,0,Marli,0.0,529,212,0,0,0,False,0.0,639,245,759,False,0.0,636,245,,0,,None,40,746,205,p616065,0,0,None,0,,616065.jpg,0.0,646,244,0,0,0,241,False,0,0,,[],Salmon,0.0,664,235,False,None,0,0,a,0,1,3,2025-07-22,0.0,598,241,0,1910,0,1535,0,0.0,0.0,Salmon,0
1,1992-09-02,11,530,False,True,100,100,7,0.22,27,98980,None,,0,0,0,0,23.2,408,4,0,0.0,None,,3,1,2.7,2.0,0,0.08,0.0,0.08,0.0,0.00,42.92,1.36,0.0,Emiliano,2.5,148,14,39,1.24,0,False,79.2,206,10,32,False,769.8,38,10,,2835,,2026-04-12T21:30:08.032006Z,50,245,10,p98980,0,0,None,1,,98980.jpg,3.8,80,8,0,272,0,10,False,95,3.02,,[],Martínez Romero,4.4,86,16,False,None,32,1.02,a,0,2,7,2020-09-16,0.0,800,93,120,1133258,0,844392,0,0.5,24.0,Martinez,2
0,1991-03-10,0,75,False,True,100,100,1,0.15,10,72147,None,,0,0,-3,3,0.0,642,83,0,0.0,None,,0,1,-0.5,0.0,2,0.00,0.0,0.00,0.0,0.00,11.02,1.7,0.0,Marco,0.5,325,26,10,1.54,0,False,13.9,415,26,33,False,139.2,358,26,,585,,2026-02-15T00:30:06.693638Z,42,635,29,p72147,0,0,None,0,,72147.jpg,2.3,302,29,0,53,0,152,False,19,2.92,,[],Bizot,0.4,295,38,False,None,6,0.92,a,0,2,7,2025-07-15,0.0,614,68,16,85879,0,117979,0,0.1,3.8,M.Bizot,2
0,2000-07-04,0,0,False,True,0,0,0,0,0,462492,None,,0,0,0,0,0.0,589,64,0,0,None,,0,1,0.0,0.0,0,0.00,0,0.00,0,0.00,0.00,0,0,Joe,0.0,487,67,0,0,0,False,0.0,601,75,34,False,0.0,598,75,,0,Has joined Port Vale on loan for the rest of the season.,2025-08-12T07:40:37.843391Z,40,700,53,p462492,0,0,None,0,,462492.jpg,0.0,609,75,0,0,0,13,False,0,0,,[],Gauci,0.1,511,74,False,None,0,0,u,0,2,7,2024-02-01,0.0,558,49,0,0,0,17885,0,0.0,0.0,Gauci,0
0,2003-04-24,0,0,False,True,0,0,0,0,0,462381,None,,0,0,0,0,0.0,588,63,0,0,None,,0,1,0.0,0.0,0,0.00,0,0.00,0,0.00,0.00,0,0,Filip,0.0,486,66,0,0,0,False,0.0,600,74,35,False,0.0,597,74,,0,Has joined Stevenage permanently.,2025-07-30T14:08:21.698398Z,40,699,52,p462381,0,0,None,0,,462381.jpg,0.0,608,74,0,0,0,241,False,0,0,,[],Marschall,0.0,761,88,False,None,0,0,u,0,2,7,2021-12-13,0.0,557,48,0,0,0,1303,0,0.0,0.0,Marschall,0
3,1997-08-07,7,450,False,True,100,100,8,0.24,120,199796,3,,0,0,1,-1,510.7,57,8,186,5.55,None,,2,2,1.5,1.3,1,2.94,0.09,4.08,0.12,1.14,45.45,1.36,0.03,Matty,1.8,198,69,38,1.13,3,False,137.5,77,15,36,False,643.0,70,32,,3016,,2026-03-05T00:00:08.205820Z,46,397,67,p199796,0,0,None,0,,199796.jpg,3.3,145,52,0,88,0,172,False,0,0.0,,[],Cash,7.4,59,17,False,None,34,1.01,a,66,2,7,2020-09-03,221.0,163,35,117,2994809,0,2459799,0,0.4,25.4,Cash,9
7,1993-07-20,5,381,False,True,100,100,7,0.34,77,101188,2,,0,0,0,0,455.5,72,15,113,5.52,2,,1,2,1.3,0.7,0,3.28,0.16,3.95,0.19,0.67,27.79,1.36,0.03,Lucas,1.2,247,92,23,1.12,0,False,98.5,154,51,37,False,400.2,183,75,,1842,,2025-10-23T13:30:07.954318Z,45,411,74,p101188,0,0,None,0,,101188.jpg,3.1,178,68,0,63,0,73,False,0,0.0,,[],Digne,1.5,165,65,False,None,21,1.03,a,36,2,7,2022-01-13,130.0,251,65,97,355694,0,398719,0,0.3,21.6,Digne,3
