,name,assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards,GW,Position
10,Adrian San Miguel del Castillo,0,0,0,0,0,0,0,0,0,0.0,0,0,438,0,0,9,0,0,0,0.0,438,0.0,0,2017-08-13T15:00:00Z,13 Aug 16:00,0,0,0,0,0,12,0,0,0,0,0,0,1,0,24951,0,0,0,0,4,0,0,0,0,0,45,False,0,0,1,GK
11,Ahmed El-Sayed Hegazi,0,25,0,0,3,39,1,12,18,10.3,0,0,468,0,0,8,1,0,1,12.1,468,57.8,1,2017-08-12T14:00:00Z,12 Aug 15:00,0,0,90,0,0,2,0,0,0,0,3,0,1,0,90370,0,0,1,0,1,53,15,0,0,0,45,True,1,0,1,DEF
12,Ahmed Musa,0,0,0,0,0,0,0,0,0,0.0,0,0,207,0,0,1,0,0,0,0.0,207,0.0,0,2017-08-11T18:45:00Z,11 Aug 19:45,0,0,0,0,0,1,0,0,0,0,0,0,1,0,35587,0,0,0,3,4,0,0,0,0,0,65,False,0,0,1,MID
13,Alberto Moreno,0,44,0,0,0,14,0,5,35,12.8,2,0,216,0,0,7,1,3,0,4.7,216,26.8,1,2017-08-12T11:30:00Z,12 Aug 12:30,0,0,90,0,0,18,0,0,0,0,2,0,1,0,65856,0,1,0,3,3,7,1,0,0,0,45,False,0,0,1,DEF
14,Aleksandar Kolarov,0,0,0,0,0,0,0,0,0,0.0,0,0,243,0,0,2,0,0,0,0.0,243,0.0,0,2017-08-12T16:30:00Z,12 Aug 17:30,0,0,0,0,0,3,0,0,0,0,0,0,1,0,3031,0,0,0,2,0,0,0,0,0,0,55,False,0,0,1,
15,Aleksandar Mitrovic,0,0,0,0,0,0,0,0,0,0.0,0,0,303,0,0,10,0,0,0,0.0,303,0.0,0,2017-08-13T12:30:00Z,13 Aug 13:30,0,0,0,0,0,17,0,0,0,0,0,0,1,0,121294,0,0,0,2,0,0,0,0,0,0,50,True,0,0,1,FWD
16,Alexandre Lacazette,0,21,1,0,0,32,0,1,19,39.8,1,0,28,0,0,1,2,3,1,14.9,28,49.0,3,2017-08-11T18:45:00Z,11 Aug 19:45,0,0,90,2,1,9,0,0,0,0,2,0,1,0,695667,2,0,0,3,4,60,6,0,0,0,105,True,0,0,1,FWD
17,Alexis Sanchez,0,0,0,0,0,0,0,0,0,0.0,0,0,14,0,0,1,0,0,0,0.0,14,0.0,0,2017-08-11T18:45:00Z,11 Aug 19:45,0,0,0,0,0,9,0,0,0,0,0,0,1,0,126282,0,0,0,3,4,0,0,0,0,0,120,True,0,0,1,FWD
18,Alex Iwobi,0,0,0,0,0,0,0,0,0,0.0,0,0,21,0,0,1,0,0,0,0.0,21,0.0,0,2017-08-11T18:45:00Z,11 Aug 19:45,0,0,0,0,0,9,0,0,0,0,0,0,1,0,134752,0,0,0,3,4,0,0,0,0,0,55,True,0,0,1,FWD
19,Alex McCarthy,0,0,0,0,0,0,0,0,0,0.0,0,0,305,0,0,6,0,0,0,0.0,305,0.0,0,2017-08-12T14:00:00Z,12 Aug 15:00,0,0,0,0,0,16,0,0,0,0,0,0,1,0,4487,0,0,0,0,0,0,0,0,0,0,45,True,0,0,1,GK
20,Alex Oxlade-Chamberlain,0,51,0,0,0,26,0,7,40,29.3,8,0,19,0,0,1,1,3,0,10.9,19,35.8,2,2017-08-11T18:45:00Z,11 Aug 19:45,0,0,90,0,1,9,0,0,0,0,10,0,1,0,135193,2,3,2,3,4,44,2,0,0,0,60,True,0,0,1,MID
21,Alfie Mawson,0,41,0,0,0,26,1,9,36,0.2,0,0,357,0,0,6,0,0,0,2.2,357,21.4,0,2017-08-12T14:00:00Z,12 Aug 15:00,0,0,90,0,0,14,0,0,0,0,2,0,1,0,54205,0,0,0,0,0,0,6,0,0,0,50,False,0,0,1,DEF
22,Allan-Romeo Nyom,0,26,0,0,0,24,1,3,19,1.1,0,0,422,0,0,8,0,0,0,1.7,422,15.6,0,2017-08-12T14:00:00Z,12 Aug 15:00,0,0,90,0,0,2,0,0,0,0,7,0,1,0,13029,1,2,0,0,1,0,6,0,0,0,50,True,0,0,1,DEF
23,Ander Herrera,0,0,0,0,0,0,0,0,0,0.0,0,0,278,0,0,9,0,0,0,0.0,278,0.0,0,2017-08-13T15:00:00Z,13 Aug 16:00,0,0,0,0,0,20,0,0,0,0,0,0,1,0,204440,0,0,0,0,4,0,0,0,0,0,55,True,0,0,1,MID
24,Andreas Christensen,0,46,0,0,0,16,0,2,42,11.4,1,0,470,0,0,3,0,3,0,2.8,470,12.6,1,2017-08-12T14:00:00Z,12 Aug 15:00,0,0,73,0,0,4,0,0,0,0,4,0,1,0,5068,0,0,0,3,2,4,1,0,0,0,55,True,0,0,1,DEF
25,Andreas Pereira,0,0,0,0,0,0,0,0,0,0.0,0,0,476,0,0,9,0,0,0,0.0,476,0.0,0,2017-08-13T15:00:00Z,13 Aug 16:00,0,0,0,0,0,20,0,0,0,0,0,0,1,0,4259,0,0,0,0,4,0,0,0,0,0,50,True,0,0,1,
26,Andrew Robertson,0,0,0,0,0,0,0,0,0,0.0,0,0,475,0,0,7,0,0,0,0.0,475,0.0,0,2017-08-12T11:30:00Z,12 Aug 12:30,0,0,0,0,0,18,0,0,0,0,0,0,1,0,70031,0,0,0,3,3,0,0,0,0,0,50,False,0,0,1,DEF
27,Andrew Surman,0,106,0,0,0,14,0,3,93,17.6,0,0,41,0,0,8,0,1,0,4.0,41,21.6,1,2017-08-12T14:00:00Z,12 Aug 15:00,0,0,90,0,0,19,0,0,0,0,4,0,1,0,29900,0,1,1,0,1,1,2,0,0,0,45,False,0,0,1,MID
28,Andre Gray,0,5,0,0,0,4,0,0,5,2.9,0,0,92,0,0,7,0,0,0,0.5,92,2.2,0,2017-08-12T11:30:00Z,12 Aug 12:30,0,0,27,0,0,10,0,0,0,0,0,0,1,0,95817,1,1,0,3,3,0,1,0,0,0,65,True,0,0,1,FWD
29,Andros Townsend,0,14,1,0,0,13,0,0,8,16.3,3,0,131,0,0,4,0,1,0,2.7,131,8.2,2,2017-08-12T14:00:00Z,12 Aug 15:00,0,0,45,0,0,8,0,0,0,0,1,0,1,0,117997,2,2,0,3,0,2,1,0,0,0,60,True,0,0,1,MID
30,Andre Ayew,0,30,0,0,0,7,0,0,25,8.7,0,0,449,0,0,9,0,4,0,1.0,449,1.4,0,2017-08-13T15:00:00Z,13 Aug 16:00,0,0,90,1,0,12,0,0,0,0,3,0,1,0,92244,3,0,0,0,4,0,2,0,0,0,70,False,0,0,1,FWD
31,Andy Carroll,0,0,0,0,0,0,0,0,0,0.0,0,0,457,0,0,9,0,0,0,0.0,457,0.0,0,2017-08-13T15:00:00Z,13 Aug 16:00,0,0,0,0,0,12,0,0,0,0,0,0,1,0,4252,0,0,0,0,4,0,0,0,0,0,60,False,0,0,1,FWD
32,Andy King,0,0,0,0,0,0,0,0,0,0.0,0,0,201,0,0,1,0,0,0,0.0,201,0.0,0,2017-08-11T18:45:00Z,11 Aug 19:45,0,0,0,0,0,1,0,0,0,0,0,0,1,0,33071,0,0,0,3,4,0,0,0,0,0,45,False,0,0,1,MID
33,Angelo Ogbonna,0,44,0,0,0,10,0,9,35,0.5,0,0,444,0,0,9,0,4,0,1.4,444,13.2,0,2017-08-13T15:00:00Z,13 Aug 16:00,0,0,90,0,0,12,0,0,0,0,4,0,1,0,48392,0,0,0,0,4,0,-1,0,0,0,45,False,0,1,1,DEF
34,Angel Rangel,0,0,0,0,0,0,0,0,0,0.0,0,0,353,0,0,6,0,0,0,0.0,353,0.0,0,2017-08-12T14:00:00Z,12 Aug 15:00,0,0,0,0,0,14,0,0,0,0,0,0,1,0,847779,0,0,0,0,0,0,0,0,0,0,40,False,0,0,1,DEF
35,Anthony Knockaert,0,4,0,0,0,5,0,0,2,5.2,0,0,62,0,0,2,0,0,0,0.9,62,2.0,0,2017-08-12T16:30:00Z,12 Aug 17:30,0,0,13,0,1,11,0,0,0,0,0,0,1,0,87634,1,1,0,2,0,2,1,0,0,0,60,True,0,0,1,MID
36,Anthony Martial,1,7,0,0,1,32,0,0,6,11.1,1,0,280,0,0,9,0,0,1,8.4,280,51.4,1,2017-08-13T15:00:00Z,13 Aug 16:00,0,0,10,0,0,20,0,0,0,0,0,0,1,0,38558,0,0,0,0,4,21,10,0,0,0,80,True,0,0,1,FWD
37,Antonio Rudiger,0,72,0,0,0,11,0,9,65,2.0,0,0,103,0,0,3,3,3,0,3.3,103,21.8,0,2017-08-12T14:00:00Z,12 Aug 15:00,0,0,90,0,0,4,0,0,0,0,1,0,1,0,121610,0,1,1,3,2,9,0,0,0,0,60,True,0,1,1,DEF
38,Antonio Valencia,0,40,0,0,0,22,1,5,37,17.2,1,0,267,0,0,9,3,0,0,4.5,267,19.4,1,2017-08-13T15:00:00Z,13 Aug 16:00,0,0,90,0,1,20,0,0,0,0,4,0,1,0,362470,2,0,0,0,4,8,5,0,0,0,65,True,0,1,1,MID
39,Arthur Masuaku,0,24,0,0,0,14,0,6,21,1.8,0,0,446,0,1,9,1,2,0,2.2,446,20.2,0,2017-08-13T15:00:00Z,13 Aug 16:00,0,0,80,0,0,12,0,0,0,0,4,0,1,0,10420,0,3,0,0,4,0,1,0,0,0,45,False,0,0,1,DEF
40,Artur Boruc,0,0,0,0,0,0,0,0,0,0.0,0,0,30,0,0,8,0,0,0,0.0,30,0.0,0,2017-08-12T14:00:00Z,12 Aug 15:00,0,0,0,0,0,19,0,0,0,0,0,0,1,0,208181,0,0,0,0,1,0,0,0,0,0,45,False,0,0,1,GK
41,Ashley Barnes,0,0,0,0,0,0,0,0,0,0.0,0,0,93,0,0,3,0,0,0,0.0,93,0.0,0,2017-08-12T14:00:00Z,12 Aug 15:00,0,0,0,0,0,5,0,0,0,0,0,0,1,0,39759,0,0,0,3,2,0,0,0,0,0,55,False,0,0,1,FWD
42,Ashley Fletcher,0,0,0,0,0,0,0,0,0,0.0,0,0,459,0,0,9,0,0,0,0.0,459,0.0,0,2017-08-13T15:00:00Z,13 Aug 16:00,0,0,0,0,0,12,0,0,0,0,0,0,1,0,41694,0,0,0,0,4,0,0,0,0,0,45,False,0,0,1,
43,Ashley Westwood,0,0,0,0,0,0,0,0,0,0.0,0,0,88,0,0,3,0,0,0,0.0,88,0.0,0,2017-08-12T14:00:00Z,12 Aug 15:00,0,0,0,0,0,5,0,0,0,0,0,0,1,0,4739,0,0,0,3,2,0,0,0,0,0,45,False,0,0,1,MID
44,Ashley Williams,0,35,0,0,0,10,0,7,35,0.1,0,0,143,0,0,5,2,0,0,1.8,143,17.8,0,2017-08-12T14:00:00Z,12 Aug 15:00,0,0,45,0,0,15,0,0,0,0,0,0,1,0,226751,0,0,0,0,1,0,1,0,0,0,55,True,0,0,1,DEF
45,Ashley Young,0,0,0,0,0,0,0,0,0,0.0,0,0,277,0,0,9,0,0,0,0.0,277,0.0,0,2017-08-13T15:00:00Z,13 Aug 16:00,0,0,0,0,0,20,0,0,0,0,0,0,1,0,513,0,0,0,0,4,0,0,0,0,0,50,True,0,0,1,MID
46,Asmir Begovic,0,23,0,0,0,19,0,1,15,0.0,0,0,29,0,0,8,0,1,0,3.5,29,34.6,0,2017-08-12T14:00:00Z,12 Aug 15:00,0,0,90,0,0,19,0,0,0,0,9,0,1,5,227589,0,0,0,0,1,0,3,0,0,0,45,False,0,0,1,GK
47,Axel Tuanzebe,0,0,0,0,0,0,0,0,0,0.0,0,0,272,0,0,9,0,0,0,0.0,272,0.0,0,2017-08-13T15:00:00Z,13 Aug 16:00,0,0,0,0,0,20,0,0,0,0,0,0,1,0,66867,0,0,0,0,4,0,0,0,0,0,40,True,0,0,1,DEF
48,Ayoze Perez,0,17,0,0,0,4,0,0,8,15.9,1,0,302,0,0,10,1,2,0,2.9,302,8.6,0,2017-08-13T12:30:00Z,13 Aug 13:30,0,0,90,0,0,17,0,0,0,0,5,0,1,0,56097,3,0,0,2,0,4,2,0,0,0,55,True,0,0,1,FWD
49,Bakary Sako,0,0,0,0,0,0,0,0,0,0.0,0,0,130,0,0,4,0,0,0,0.0,130,0.0,0,2017-08-12T14:00:00Z,12 Aug 15:00,0,0,0,0,0,8,0,0,0,0,0,0,1,0,3408,0,0,0,3,0,0,0,0,0,0,50,True,0,0,1,MID
50,Bamidele Alli,0,31,0,0,0,25,1,1,24,8.3,0,0,388,0,0,10,4,0,1,9.0,388,36.6,0,2017-08-13T12:30:00Z,13 Aug 13:30,0,0,81,0,0,13,0,0,0,0,5,0,1,0,1512564,5,2,0,2,0,45,8,0,0,0,95,False,1,0,1,MID
51,Benik Afobe,0,6,0,0,0,7,0,1,6,16.2,0,0,49,0,0,8,0,1,0,2.7,49,5.2,1,2017-08-12T14:00:00Z,12 Aug 15:00,0,0,63,0,1,19,0,0,0,0,0,0,1,0,30511,1,0,0,0,1,6,2,0,0,0,60,False,0,0,1,FWD
52,Benjamin Chilwell,0,0,0,0,0,0,0,0,0,0.0,0,0,196,0,0,1,0,0,0,0.0,196,0.0,0,2017-08-11T18:45:00Z,11 Aug 19:45,0,0,0,0,0,1,0,0,0,0,0,0,1,0,21829,0,0,0,3,4,0,0,0,0,0,45,False,0,0,1,DEF
53,Benjamin Mendy,0,0,0,0,0,0,0,0,0,0.0,0,0,484,0,0,2,0,0,0,0.0,484,0.0,0,2017-08-12T16:30:00Z,12 Aug 17:30,0,0,0,0,0,3,0,0,0,0,0,0,1,0,20568,0,0,0,2,0,0,0,0,0,0,65,False,0,0,1,DEF
54,Ben Davies,0,75,0,0,3,36,1,4,68,30.1,0,0,381,0,0,10,2,0,1,9.5,381,47.6,2,2017-08-13T12:30:00Z,13 Aug 13:30,0,0,90,0,0,13,0,0,0,0,5,0,1,0,134281,2,1,0,2,0,17,14,0,0,0,55,False,0,1,1,DEF
55,Ben Foster,0,20,0,0,1,25,1,0,6,0.0,0,0,421,0,0,8,0,0,0,1.5,421,14.6,0,2017-08-12T14:00:00Z,12 Aug 15:00,0,0,90,0,0,2,0,0,0,0,10,0,1,2,604214,0,0,0,0,1,0,7,0,0,0,45,True,0,0,1,GK
56,Ben Hamer,0,0,0,0,0,0,0,0,0,0.0,0,0,190,0,0,1,0,0,0,0.0,190,0.0,0,2017-08-11T18:45:00Z,11 Aug 19:45,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2368,0,0,0,3,4,0,0,0,0,0,45,False,0,0,1,GK
57,Ben Mee,0,34,0,0,0,10,0,9,27,0.2,0,0,77,0,0,3,1,2,0,6.7,77,31.2,0,2017-08-12T14:00:00Z,12 Aug 15:00,0,0,90,0,0,5,0,0,0,0,2,0,1,0,470160,0,1,0,3,2,36,0,0,0,0,45,False,0,1,1,DEF
58,Ben Watson,0,0,0,0,0,0,0,0,0,0.0,0,0,486,0,0,7,0,0,0,0.0,486,0.0,0,2017-08-12T11:30:00Z,12 Aug 12:30,0,0,0,0,0,10,0,0,0,0,0,0,1,0,5647,0,0,0,3,3,0,0,0,0,0,45,True,0,0,1,MID
59,Ben Woodburn,0,0,0,0,0,0,0,0,0,0.0,0,0,233,0,0,7,0,0,0,0.0,233,0.0,0,2017-08-12T11:30:00Z,12 Aug 12:30,0,0,0,0,0,18,0,0,0,0,0,0,1,0,9101,0,0,0,3,3,0,0,0,0,0,45,False,0,0,1,FWD
60,Beram Kayal,0,0,0,0,0,0,0,0,0,0.0,0,0,64,0,0,2,0,0,0,0.0,64,0.0,0,2017-08-12T16:30:00Z,12 Aug 17:30,0,0,0,0,0,11,0,0,0,0,0,0,1,0,3747,0,0,0,2,0,0,0,0,0,0,45,True,0,0,1,MID
61,Bernardo Mota Veiga de Carvalho e Silva,0,14,0,0,0,3,0,0,12,3.3,0,0,256,0,0,2,0,0,0,0.4,256,0.4,0,2017-08-12T16:30:00Z,12 Aug 17:30,0,0,7,0,0,3,0,0,0,0,0,0,1,0,91243,0,0,0,2,0,0,1,0,0,0,80,False,0,0,1,MID
62,Boaz Myhill,0,0,0,0,0,0,0,0,0,0.0,0,0,420,0,0,8,0,0,0,0.0,420,0.0,0,2017-08-12T14:00:00Z,12 Aug 15:00,0,0,0,0,0,2,0,0,0,0,0,0,1,0,186295,0,0,0,0,1,0,0,0,0,0,40,True,0,0,1,GK
63,Bojan Krkic Perez,0,23,0,0,0,5,0,0,20,13.3,1,0,344,0,0,5,1,1,0,1.9,344,0.0,1,2017-08-12T14:00:00Z,12 Aug 15:00,0,0,71,0,0,7,0,0,0,0,5,0,1,0,4169,2,0,1,0,1,6,2,0,0,0,55,False,0,0,1,FWD
64,Bradley Smith,0,0,0,0,0,0,0,0,0,0.0,0,0,37,0,0,8,0,0,0,0.0,37,0.0,0,2017-08-12T14:00:00Z,12 Aug 15:00,0,0,0,0,0,19,0,0,0,0,0,0,1,0,168690,0,0,0,0,1,0,0,0,0,0,40,False,0,0,1,DEF
65,Brahim Diaz,0,0,0,0,0,0,0,0,0,0.0,0,0,493,0,0,2,0,0,0,0.0,493,0.0,0,2017-08-12T16:30:00Z,12 Aug 17:30,0,0,0,0,0,3,0,0,0,0,0,0,1,0,2913,0,0,0,2,0,0,0,0,0,0,50,False,0,0,1,MID
66,Brandon Mason,0,0,0,0,0,0,0,0,0,0.0,0,0,406,0,0,7,0,0,0,0.0,406,0.0,0,2017-08-12T11:30:00Z,12 Aug 12:30,0,0,0,0,0,10,0,0,0,0,0,0,1,0,64421,0,0,0,3,3,0,0,0,0,0,40,True,0,0,1,
67,Bruno Saltor Grau,0,24,0,0,0,14,0,7,18,0.3,1,0,58,0,0,2,0,2,0,2.1,58,20.2,0,2017-08-12T16:30:00Z,12 Aug 17:30,0,0,90,0,0,11,0,0,0,0,8,0,1,0,11889,0,1,0,2,0,0,1,0,0,0,45,True,0,0,1,DEF
68,Callum Wilson,0,0,0,0,0,0,0,0,0,0.0,0,0,48,0,0,8,0,0,0,0.0,48,0.0,0,2017-08-12T14:00:00Z,12 Aug 15:00,0,0,0,0,0,19,0,0,0,0,0,0,1,0,1729,0,0,0,0,1,0,0,0,0,0,60,False,0,0,1,FWD
69,Calum Chambers,0,0,0,0,0,0,0,0,0,0.0,0,0,480,0,0,1,0,0,0,0.0,480,0.0,0,2017-08-11T18:45:00Z,11 Aug 19:45,0,0,0,0,0,9,0,0,0,0,0,0,1,0,20295,0,0,0,3,4,0,0,0,0,0,50,True,0,0,1,DEF
70,Cameron Carter-Vickers,0,0,0,0,0,0,0,0,0,0.0,0,0,511,0,0,10,0,0,0,0.0,511,0.0,0,2017-08-13T12:30:00Z,13 Aug 13:30,0,0,0,0,0,13,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,45,False,0,0,1,DEF
71,Carl Jenkinson,0,0,0,0,0,0,0,0,0,0.0,0,0,9,0,0,1,0,0,0,0.0,9,0.0,0,2017-08-11T18:45:00Z,11 Aug 19:45,0,0,0,0,0,9,0,0,0,0,0,0,1,0,14005,0,0,0,3,4,0,0,0,0,0,45,True,0,0,1,
72,Cesc Fabregas,0,87,0,0,0,7,0,0,75,67.8,1,0,105,0,0,3,3,3,0,8.3,105,12.8,5,2017-08-12T14:00:00Z,12 Aug 15:00,0,0,80,0,1,4,0,0,0,0,6,1,1,0,375528,0,0,0,3,2,2,-1,0,0,0,70,True,0,0,1,MID
73,Chancel Mbemba,0,14,0,0,0,9,0,6,13,0.4,0,0,494,0,0,10,0,2,0,2.2,494,21.6,0,2017-08-13T12:30:00Z,13 Aug 13:30,0,0,56,0,0,17,0,0,0,0,4,0,1,0,98023,0,1,0,2,0,0,0,0,0,0,40,True,0,0,1,DEF
74,Charlie Adam,0,0,0,0,0,0,0,0,0,0.0,0,0,338,0,0,5,0,0,0,0.0,338,0.0,0,2017-08-12T14:00:00Z,12 Aug 15:00,0,0,0,0,0,7,0,0,0,0,0,0,1,0,5541,0,0,0,0,1,0,0,0,0,0,50,False,0,0,1,MID
75,Charlie Austin,0,7,0,0,0,2,0,0,5,0.3,0,0,326,0,0,6,0,0,0,0.7,326,0.0,0,2017-08-12T14:00:00Z,12 Aug 15:00,0,0,21,0,0,16,0,0,0,0,1,0,1,0,56567,0,0,1,0,0,8,1,0,0,0,65,True,0,0,1,FWD
76,Charlie Daniels,0,70,0,0,0,13,0,1,57,10.0,0,0,34,0,0,8,0,1,0,4.0,34,12.2,0,2017-08-12T14:00:00Z,12 Aug 15:00,0,0,90,0,1,19,0,0,0,0,6,0,1,0,852727,0,0,0,0,1,18,2,0,0,0,50,False,0,0,1,DEF
77,Charlie Taylor,0,0,0,0,0,0,0,0,0,0.0,0,0,81,0,0,3,0,0,0,0.0,81,0.0,0,2017-08-12T14:00:00Z,12 Aug 15:00,0,0,0,0,0,5,0,0,0,0,0,0,1,0,12113,0,0,0,3,2,0,0,0,0,0,45,False,0,0,1,DEF
78,Charly Musonda,0,0,0,0,0,3,0,0,0,0.0,0,0,471,0,0,3,0,0,0,0.0,471,0.0,0,2017-08-12T14:00:00Z,12 Aug 15:00,0,0,1,0,0,4,0,0,0,0,0,0,1,0,3084,0,0,0,3,2,0,1,0,0,0,50,True,0,0,1,MID
79,Cheikhou Kouyate,0,0,0,0,0,0,0,0,0,0.0,0,0,451,0,0,9,0,0,0,0.0,451,0.0,0,2017-08-13T15:00:00Z,13 Aug 16:00,0,0,0,0,0,12,0,0,0,0,0,0,1,0,1272,0,0,0,0,4,0,0,0,0,0,50,False,0,0,1,MID
80,Christian Atsu,0,13,0,1,0,-4,0,1,9,2.0,2,0,300,0,0,10,0,2,0,4.1,300,4.6,0,2017-08-13T12:30:00Z,13 Aug 13:30,0,0,90,1,0,17,0,0,0,0,3,0,1,0,108635,8,0,1,2,0,34,2,0,0,0,50,True,0,0,1,MID
81,Christian Benteke,0,19,0,1,0,-2,0,1,10,3.2,0,0,134,0,0,4,1,3,0,3.8,134,0.0,0,2017-08-12T14:00:00Z,12 Aug 15:00,0,0,90,0,0,8,0,0,0,0,0,0,1,0,420235,2,0,2,3,0,35,2,0,0,0,80,True,0,0,1,FWD
82,Christian Eriksen,2,67,1,0,3,36,1,1,61,50.4,1,0,387,0,0,10,0,0,0,14.9,387,48.4,3,2017-08-13T12:30:00Z,13 Aug 13:30,0,0,90,0,1,13,0,0,0,0,1,0,1,0,570759,0,0,2,2,0,50,12,0,0,0,95,False,0,0,1,MID
83,Christian Fuchs,0,29,0,0,0,9,0,5,17,16.0,0,0,192,0,0,1,0,4,0,3.6,192,19.6,1,2017-08-11T18:45:00Z,11 Aug 19:45,0,0,90,0,1,1,0,0,0,0,4,0,1,0,167677,2,0,0,3,4,0,0,0,0,0,50,False,0,0,1,DEF
84,Christian Kabasele,0,0,0,0,0,0,0,0,0,0.0,0,0,403,0,0,7,0,0,0,0.0,403,0.0,0,2017-08-12T11:30:00Z,12 Aug 12:30,0,0,0,0,0,10,0,0,0,0,0,0,1,0,1698,0,0,0,3,3,0,0,0,0,0,45,True,0,0,1,DEF
85,Christopher Schindler,0,13,0,0,0,23,1,4,11,10.3,0,0,164,0,0,4,3,0,0,2.5,164,12.8,0,2017-08-12T14:00:00Z,12 Aug 15:00,0,0,90,0,0,6,0,0,0,0,2,0,1,0,20491,0,3,0,3,0,2,6,0,0,0,45,False,0,0,1,DEF
86,Chris Brunt,1,27,1,0,2,29,1,2,8,42.3,0,0,434,0,0,8,1,0,0,7.2,434,29.8,3,2017-08-12T14:00:00Z,12 Aug 15:00,0,0,90,0,1,2,0,0,0,0,6,0,1,0,5228,1,3,0,0,1,0,8,0,0,0,55,True,0,0,1,MID
