season,level,cluster,label,size,pct_GK,pct_DEF,pct_MID,pct_FWD,mean_total_points,mean_minutes,mean_cost_m,exemplars,mean_goals_scored,mean_assists,mean_expected_goals,mean_expected_assists,mean_expected_goal_involvements,mean_clean_sheets,mean_goals_conceded,mean_expected_goals_conceded,mean_saves,mean_bonus,mean_bps,mean_yellow_cards,mean_red_cards,mean_influence,mean_creativity,mean_threat,mean_ict_index,mean_points_per_90,mean_goals_per_90,mean_assists_per_90,mean_xg_per_90,mean_xa_per_90,mean_xgi_per_90
2023-24,fine,3,f3,36,0.0,2.8,55.6,41.7,92.4,1655.0,5.8,"Trossard, Wood, Hee Chan, Richarlison, Højlund",6.083,3.611,5.59,2.432,8.021,5.75,25.806,26.084,0.0,7.944,309.083,2.694,0.028,410.878,379.156,554.75,134.203,5.155,0.344,0.21,0.319,0.132,0.452
2023-24,fine,4,f4,17,0.0,100.0,0.0,0.0,92.7,2944.0,4.6,"Branthwaite, Schär, Andersen, Mitchell, Tarkowski",1.588,1.588,1.796,1.362,3.158,7.353,52.059,50.011,0.0,6.941,551.176,5.588,0.0,701.941,187.635,205.176,109.682,2.825,0.049,0.047,0.056,0.04,0.096
2023-24,fine,5,f5,40,0.0,82.5,17.5,0.0,66.3,1726.0,4.6,"White, Saliba, Gabriel, Walker, Gvardiol",1.075,0.925,1.0,0.978,1.977,5.45,25.975,25.9,0.0,4.525,335.675,2.725,0.0,358.96,176.832,125.0,66.185,3.335,0.055,0.04,0.052,0.05,0.102
2023-24,fine,6,f6,29,0.0,34.5,65.5,0.0,53.0,1347.0,4.9,"Smith, Tielemans, Gomez, Gana, Cairney",1.069,2.069,1.277,1.409,2.686,4.483,22.552,22.343,0.0,2.448,240.966,4.655,0.0,276.214,255.066,143.414,67.476,3.571,0.073,0.145,0.092,0.096,0.188
2023-24,fine,7,f7,22,0.0,0.0,54.5,45.5,171.4,2543.0,7.6,"Palmer, Foden, Watkins, Saka, Haaland",14.727,8.364,14.118,4.853,18.969,8.364,38.909,38.989,0.0,18.545,571.136,4.273,0.0,837.0,657.459,1058.773,255.132,6.06,0.519,0.299,0.502,0.175,0.677
2023-24,fine,8,f8,15,0.0,13.3,86.7,0.0,143.5,2867.0,6.2,"Gordon, B.Fernandes, Rice, Rodrigo, Bruno G.",5.8,9.4,5.189,6.83,12.018,9.4,44.467,45.985,0.0,16.533,622.333,6.333,0.133,811.48,1073.967,516.133,240.26,4.52,0.18,0.3,0.163,0.217,0.38
2024-25,coarse,-1,noise,29,0.0,65.5,27.6,6.9,79.3,2196.0,5.0,"Luis Díaz, Iwobi, Trossard, Gabriel, J.Timber",1.966,1.586,2.17,1.33,3.5,6.621,32.793,31.97,0.0,5.483,345.414,3.828,0.034,478.345,236.248,248.31,96.331,3.177,0.078,0.059,0.089,0.052,0.141
2024-25,coarse,0,c0,71,0.0,45.1,53.5,1.4,94.8,2467.0,5.1,"Gvardiol, Virgil, Kerkez, Cucurella, Saliba",2.254,3.254,2.297,2.441,4.738,7.887,36.352,35.822,0.0,7.014,422.901,5.141,0.38,544.321,415.507,258.479,121.82,3.516,0.088,0.13,0.089,0.096,0.185
2024-25,coarse,1,c1,60,6.7,50.0,36.7,6.7,53.2,1431.0,4.8,"Beto, Muniz, Wilson, Emerson, Cash",1.2,1.117,1.511,1.033,2.544,3.717,22.383,21.876,2.317,2.75,227.933,4.133,0.017,292.227,186.63,160.1,63.845,3.51,0.086,0.077,0.106,0.067,0.173
2024-25,coarse,2,c2,17,100.0,0.0,0.0,0.0,112.7,2902.0,4.9,"Pickford, Sels, Raya, Henderson, Sánchez",0.0,0.529,0.004,0.074,0.078,8.353,43.118,42.596,93.0,7.353,421.235,3.0,0.059,773.294,15.924,0.471,78.941,3.482,0.0,0.017,0.0,0.002,0.002
2024-25,coarse,3,c3,30,0.0,0.0,53.3,46.7,153.1,2407.0,7.5,"M.Salah, Mbeumo, Palmer, Isak, Wood",12.333,5.667,11.123,3.711,14.833,8.067,35.067,35.297,0.0,20.9,581.067,2.9,0.067,706.007,552.493,913.4,216.847,5.645,0.447,0.209,0.406,0.138,0.544
2024-25,coarse,4,c4,22,0.0,4.5,95.5,0.0,139.6,2624.0,6.5,"B.Fernandes, Semenyo, Rogers, J.Murphy, Kluivert",6.364,8.591,5.977,5.487,11.464,10.182,34.636,35.75,0.0,14.091,592.273,5.409,0.182,700.855,830.918,585.0,211.6,4.921,0.23,0.308,0.213,0.196,0.409
2024-25,fine,-1,noise,29,0.0,65.5,27.6,6.9,79.3,2196.0,5.0,"Luis Díaz, Iwobi, Trossard, Gabriel, J.Timber",1.966,1.586,2.17,1.33,3.5,6.621,32.793,31.97,0.0,5.483,345.414,3.828,0.034,478.345,236.248,248.31,96.331,3.177,0.078,0.059,0.089,0.052,0.141
2024-25,fine,0,f0,17,100.0,0.0,0.0,0.0,112.7,2902.0,4.9,"Pickford, Sels, Raya, Henderson, Sánchez",0.0,0.529,0.004,0.074,0.078,8.353,43.118,42.596,93.0,7.353,421.235,3.0,0.059,773.294,15.924,0.471,78.941,3.482,0.0,0.017,0.0,0.002,0.002
2024-25,fine,1,f1,26,0.0,50.0,50.0,0.0,82.8,2403.0,5.0,"Cucurella, Saliba, Aït-Nouri, Schär, Guéhi",1.962,2.115,2.037,1.831,3.868,6.808,37.231,35.041,0.0,5.5,389.192,4.769,1.038,515.762,318.646,217.385,105.181,3.075,0.071,0.081,0.076,0.069,0.145
2024-25,fine,2,f2,22,0.0,4.5,95.5,0.0,139.6,2624.0,6.5,"B.Fernandes, Semenyo, Rogers, J.Murphy, Kluivert",6.364,8.591,5.977,5.487,11.464,10.182,34.636,35.75,0.0,14.091,592.273,5.409,0.182,700.855,830.918,585.0,211.6,4.921,0.23,0.308,0.213,0.196,0.409
2024-25,fine,3,f3,30,0.0,0.0,53.3,46.7,153.1,2407.0,7.5,"M.Salah, Mbeumo, Palmer, Isak, Wood",12.333,5.667,11.123,3.711,14.833,8.067,35.067,35.297,0.0,20.9,581.067,2.9,0.067,706.007,552.493,913.4,216.847,5.645,0.447,0.209,0.406,0.138,0.544
2024-25,fine,4,f4,30,0.0,60.0,40.0,0.0,104.8,2632.0,5.0,"Virgil, Kerkez, Murillo, Aina, Collins",1.567,4.7,1.767,2.984,4.751,8.567,37.533,37.857,0.0,7.533,455.9,5.133,0.0,607.353,476.59,247.733,133.217,3.738,0.064,0.188,0.068,0.117,0.185
2024-25,fine,5,f5,15,0.0,6.7,86.7,6.7,95.7,2246.0,5.2,"Gvardiol, Souček, Smith Rowe, Ndiaye, Tonali",4.133,2.333,3.806,2.413,6.219,8.4,32.467,33.103,0.0,8.6,415.333,5.8,0.0,467.76,461.233,351.2,127.867,3.836,0.167,0.099,0.153,0.099,0.252
2024-25,fine,6,f6,34,0.0,61.8,38.2,0.0,53.0,1692.0,4.6,"Cash, Emerson, Doherty, Janelt, Tosin",0.794,0.735,1.091,1.002,2.094,4.235,26.059,25.987,0.0,2.353,247.088,5.706,0.0,325.529,193.835,126.794,64.679,2.806,0.043,0.034,0.056,0.051,0.107
2024-25,fine,7,f7,26,15.4,34.6,34.6,15.4,53.3,1090.0,5.0,"Beto, Muniz, Wilson, Trippier, Darwin",1.731,1.615,2.06,1.073,3.133,3.038,17.577,16.501,5.346,3.269,202.885,2.077,0.038,248.677,177.208,203.654,62.754,4.43,0.142,0.134,0.171,0.088,0.259
2025-26,coarse,-1,noise,9,0.0,22.2,77.8,0.0,64.3,1547.0,5.6,"Smith Rowe, Ajer, Joelinton, Mainoo, Johnson",1.778,0.889,2.083,1.366,3.449,5.222,22.333,23.567,0.0,2.111,251.0,3.889,0.111,282.911,265.889,217.444,76.589,3.821,0.112,0.045,0.123,0.085,0.208
2025-26,coarse,0,c0,58,0.0,67.2,32.8,0.0,113.2,2643.0,5.1,"Gabriel, Anderson, Guéhi, Virgil, Senesi",1.828,2.655,1.98,2.023,4.002,7.776,40.534,40.786,0.0,7.379,459.569,5.793,0.379,619.876,334.648,228.879,118.455,3.852,0.066,0.093,0.07,0.069,0.14
2025-26,coarse,1,c1,52,3.8,53.8,38.5,3.8,60.5,1509.0,4.9,"Saliba, Rúben, Hill, Sangaré, Botman",0.635,1.25,0.996,0.999,1.995,4.538,22.923,23.566,1.231,2.731,248.038,3.615,0.019,304.05,194.004,110.365,60.798,3.568,0.038,0.077,0.063,0.06,0.123
2025-26,coarse,2,c2,16,100.0,0.0,0.0,0.0,111.1,2924.0,4.9,"Raya, Kelleher, Pickford, Henderson, Verbruggen",0.0,0.25,0.01,0.063,0.073,8.375,44.875,45.897,92.125,7.125,475.875,2.125,0.062,749.7,13.138,2.312,76.538,3.385,0.0,0.009,0.0,0.002,0.002
2025-26,coarse,3,c3,37,0.0,0.0,70.3,29.7,145.8,2506.0,7.4,"Haaland, B.Fernandes, Semenyo, Gibbs-White, Bowen",9.73,5.703,9.251,3.819,13.069,8.541,35.216,35.562,0.0,16.892,562.054,4.162,0.108,666.989,610.416,735.027,201.008,5.263,0.356,0.2,0.342,0.135,0.477
2025-26,coarse,4,c4,36,0.0,16.7,83.3,0.0,83.9,1657.0,5.6,"J.Timber, Neto, James, Lewis-Potter, Damsgaard",2.25,3.917,2.53,2.918,5.448,6.056,21.778,23.732,0.0,6.111,341.639,2.222,0.083,344.039,412.225,287.861,104.258,4.567,0.114,0.217,0.142,0.156,0.298
2025-26,fine,-1,noise,9,0.0,22.2,77.8,0.0,64.3,1547.0,5.6,"Smith Rowe, Ajer, Joelinton, Mainoo, Johnson",1.778,0.889,2.083,1.366,3.449,5.222,22.333,23.567,0.0,2.111,251.0,3.889,0.111,282.911,265.889,217.444,76.589,3.821,0.112,0.045,0.123,0.085,0.208
2025-26,fine,0,f0,16,100.0,0.0,0.0,0.0,111.1,2924.0,4.9,"Raya, Kelleher, Pickford, Henderson, Verbruggen",0.0,0.25,0.01,0.063,0.073,8.375,44.875,45.897,92.125,7.125,475.875,2.125,0.062,749.7,13.138,2.312,76.538,3.385,0.0,0.009,0.0,0.002,0.002
2025-26,fine,1,f1,20,0.0,65.0,35.0,0.0,98.0,2319.0,5.0,"Chalobah, Keane, N.Williams, Andersen, Van de Ven",2.15,2.05,1.934,1.38,3.314,6.35,37.45,37.425,0.0,6.45,392.4,4.8,1.1,534.67,235.19,215.8,98.665,3.867,0.093,0.086,0.081,0.056,0.137
2025-26,fine,2,f2,37,0.0,0.0,70.3,29.7,145.8,2506.0,7.4,"Haaland, B.Fernandes, Semenyo, Gibbs-White, Bowen",9.73,5.703,9.251,3.819,13.069,8.541,35.216,35.562,0.0,16.892,562.054,4.162,0.108,666.989,610.416,735.027,201.008,5.263,0.356,0.2,0.342,0.135,0.477
2025-26,fine,3,f3,38,0.0,68.4,31.6,0.0,121.2,2814.0,5.1,"Gabriel, Anderson, Guéhi, Senesi, Virgil",1.658,2.974,2.004,2.362,4.365,8.526,42.158,42.555,0.0,7.868,494.921,6.316,0.0,664.721,386.995,235.763,128.871,3.844,0.052,0.096,0.065,0.077,0.141
2025-26,fine,4,f4,36,0.0,16.7,83.3,0.0,83.9,1657.0,5.6,"J.Timber, Neto, James, Lewis-Potter, Damsgaard",2.25,3.917,2.53,2.918,5.448,6.056,21.778,23.732,0.0,6.111,341.639,2.222,0.083,344.039,412.225,287.861,104.258,4.567,0.114,0.217,0.142,0.156,0.298
2025-26,fine,5,f5,34,5.9,58.8,29.4,5.9,48.4,1326.0,4.9,"Rodrigo, Wan-Bissaka, Aina, Robinson, Pau",0.412,0.912,0.959,0.896,1.854,3.147,21.882,21.529,1.882,1.853,197.765,2.647,0.029,248.971,179.997,99.206,52.759,3.314,0.031,0.061,0.069,0.059,0.127
2025-26,fine,6,f6,18,0.0,44.4,55.6,0.0,83.4,1854.0,5.0,"Saliba, Rúben, Hill, Sangaré, Botman",1.056,1.889,1.066,1.196,2.259,7.167,24.889,27.412,0.0,4.389,343.0,5.444,0.0,408.089,220.461,131.444,75.983,4.049,0.052,0.107,0.053,0.062,0.115
