first_name,second_name,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent,now_cost,element_type,value_per_m
Ian,Maatsen,0,1,54,1590,27,373.4,336.6,231.0,1,242,94.3,2,0,2,0.6,45,DEF,12.0
Victor,Lindelöf,0,1,29,942,15,36.6,167.8,22.0,0,124,22.7,1,0,0,0.2,45,DEF,6.4
Andrés,García,0,0,5,83,3,3.2,17.8,2.0,0,12,2.3,0,0,0,1.5,40,DEF,1.2
Kosta,Nedeljkovic,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.4,40,DEF,0.0
Emiliano,Buendía Stati,6,2,102,1753,24,402.1,427.0,398.0,10,382,121.4,3,0,6,0.8,60,MID,17.0
Evann,Guessand,1,3,44,909,15,76.6,159.4,187.0,0,143,42.0,2,0,0,0.0,55,MID,8.0
Leon,Bailey,0,2,21,450,9,160.4,71.2,69.0,0,69,30.1,0,0,1,0.1,55,MID,3.8
John,McGinn,5,4,103,2136,28,605.3,459.8,309.0,6,443,137.3,8,0,5,2.7,55,MID,18.7
Ross,Barkley,3,2,56,844,15,162.3,227.8,191.0,5,221,58.1,1,0,1,0.2,50,MID,11.2
Boubacar,Kamara,1,3,61,1410,15,241.3,325.0,75.0,7,282,64.2,5,0,5,0.1,50,MID,12.2
Amadou,Onana,2,0,76,1755,26,152.6,413.2,178.0,4,353,74.4,6,0,3,0.0,50,MID,15.2
Samuel,Iling-Junior,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,50,MID,0.0
Bradley,Burrowes,0,0,1,16,1,0.3,0.0,0.0,0,3,0.0,0,0,0,0.9,45,MID,0.2
George,Hemmings,0,0,2,25,0,1.7,0.0,2.0,0,5,0.3,0,0,0,0.3,45,MID,0.4
Alysson Edward Franco,da Rocha dos Santos,0,0,3,47,2,3.5,3.2,10.0,0,11,1.5,0,0,0,0.0,50,MID,0.6
Johan,Manzambi,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,2.5,60,MID,0.0
Joao,Gomes,1,1,85,2207,41,353.4,486.6,176.0,4,421,102.0,4,0,9,0.3,55,MID,15.5
Ollie,Watkins,16,4,167,2833,38,330.9,720.2,1206.0,26,623,225.2,9,0,4,12.4,80,FWD,20.9
Tammy,Abraham,2,0,23,278,8,49.2,87.2,136.0,2,93,27.1,0,0,0,0.0,55,FWD,4.2
Alejandro,Garnacho Ferreyra,1,4,56,1261,20,405.3,211.4,399.0,3,222,100.5,4,0,2,1.1,60,MID,9.3
Đorđe,Petrović,0,0,124,3420,54,0.0,822.6,0.0,5,512,82.4,11,0,3,3.6,45,GK,27.6
Fraser,Forster,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,3.1,40,GK,0.0
Will,Dennis,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,40,GK,0.0
James,Hill,0,3,110,2102,24,161.7,579.4,119.0,4,386,86.3,8,0,5,1.3,55,DEF,20.0
Adrien,Truffert,1,6,165,3378,51,574.2,857.0,194.0,19,607,162.6,11,0,5,4.6,55,DEF,30.0
Bafodé,Diakité,0,0,46,1275,27,54.3,267.0,22.0,2,164,34.4,4,0,1,0.2,50,DEF,9.2
Veljko,Milosavljevic,0,0,19,367,6,13.9,98.4,10.0,0,63,12.2,1,0,0,0.1,50,DEF,3.8
Adam,Smith,0,2,58,1073,16,76.6,176.2,18.0,4,185,27.1,6,0,3,0.1,45,DEF,12.9
Julián,Araujo Zúñiga,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,45,DEF,0.0
Julio,Soler Barreto,0,0,3,34,2,2.5,1.8,2.0,0,2,0.6,0,0,0,0.6,40,DEF,0.8
Rayan Vitor,Simplício Rocha,5,2,67,1110,10,211.9,277.6,263.0,3,238,75.3,6,0,1,3.4,65,MID,10.3
Marcus,Tavernier,7,4,137,2732,44,816.6,656.8,605.0,14,552,207.9,11,0,6,1.9,60,MID,22.8
Alex,Scott,3,2,136,2848,41,482.0,597.2,314.0,9,603,139.0,11,0,5,1.6,60,MID,22.7
Justin,Kluivert,2,0,41,945,19,305.1,148.0,135.0,3,147,58.8,4,0,5,0.9,60,MID,6.8
Lewis,Cook,0,1,40,872,19,183.8,206.8,12.0,0,190,40.6,1,1,1,0.1,50,MID,8.0
Ben,Gannon-Doak,0,1,11,105,1,17.8,32.4,39.0,0,33,8.9,0,0,0,0.1,50,MID,2.2
Tyler,Adams,2,2,77,1769,28,158.2,387.0,115.0,3,346,66.3,7,0,8,0.7,50,MID,15.4
David,Brooks,1,3,59,1188,20,384.5,236.2,434.0,4,215,104.1,5,0,7,0.2,50,MID,11.8
Ryan,Christie,2,1,47,978,14,197.0,226.6,220.0,2,214,64.7,3,1,3,0.0,50,MID,9.4
Alex,Tóth,0,0,8,135,3,60.2,18.6,18.0,0,32,9.6,0,0,1,0.0,50,MID,1.6
Amine,Adli,3,2,67,1074,17,235.9,272.6,260.0,4,241,76.1,3,0,2,0.2,50,MID,13.4
Junior,Kroupi,13,0,113,1663,21,306.9,532.2,563.0,13,480,139.9,10,0,5,6.2,75,MID,15.1
Francisco Evanilson,de Lima Barbosa,6,7,115,2741,40,397.9,350.6,809.0,6,412,155.5,11,0,2,2.0,60,FWD,19.2
Enes,Ünal,1,0,27,214,3,25.0,70.2,104.0,1,83,19.1,0,0,1,0.2,55,FWD,4.9
Álvaro,Rodríguez,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.3,60,FWD,0.0
António João,Pereira de Albuquerque Tavares da Silva,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,50,DEF,0.0
Caoimhín,Kelleher,0,0,143,3330,49,23.0,913.8,0.0,11,570,93.8,10,0,1,5.6,50,GK,28.6
Hákon Rafn,Valdimarsson,0,0,1,90,3,0.0,13.0,0.0,0,1,1.3,0,0,0,0.1,45,GK,0.2
Nathan,Collins,1,2,129,2971,44,143.8,848.6,325.0,7,450,131.9,9,0,7,2.0,55,DEF,23.5
Sepp,van den Berg,0,3,113,2761,41,98.0,659.0,305.0,3,435,106.3,8,0,2,0.7,50,DEF,22.6
Keane,Lewis-Potter,3,4,115,1960,32,332.2,378.2,353.0,5,356,106.4,9,0,1,0.5,55,MID,20.9
Kristoffer,Ajer,0,2,76,1805,32,59.1,401.4,165.0,1,211,62.7,5,0,4,1.2,45,DEF,16.9
Michael,Kayode,1,2,113,3258,49,470.2,613.8,130.0,9,494,121.7,10,0,8,4.1,45,DEF,25.1
Rico,Henry,0,2,52,1322,22,82.0,151.6,35.0,0,144,26.9,4,0,2,0.2,45,DEF,11.6
Aaron,Hickey,0,0,37,679,9,17.1,101.4,43.0,0,105,16.0,2,0,1,0.1,45,DEF,8.2
Ethan,Pinnock,0,0,14,318,5,1.2,88.6,33.0,2,53,12.3,1,0,1,0.1,45,DEF,3.1
Kim,Ji-soo,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,DEF,0.0
Jannik,Schuster,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,45,DEF,0.0
Kevin,Schade,8,5,125,2744,34,380.1,536.8,821.0,5,385,172.8,11,1,6,2.3,60,MID,20.8
Dango,Ouattara,7,8,136,2271,35,422.8,509.8,702.0,16,429,162.8,6,0,5,1.3,65,MID,20.9
Mikkel,Damsgaard,4,4,113,2046,32,691.3,530.6,326.0,9,467,155.0,5,0,0,0.7,55,MID,20.5
Mathias,Jensen,3,2,98,2239,33,632.7,435.6,201.0,1,465,126.9,9,0,3,0.1,55,MID,17.8
Vitaly,Janelt,1,4,74,1434,21,351.8,350.4,97.0,6,334,79.0,5,0,8,0.1,50,MID,14.8
Antoni,Milambo,0,0,1,45,3,1.8,4.0,0.0,0,5,0.6,0,0,0,0.0,50,MID,0.2
Fábio,Freitas Gouveia Carvalho,1,0,13,100,4,6.5,39.0,36.0,1,42,8.1,0,0,0,0.0,50,MID,2.6
Jordan,Henderson,1,3,76,1911,28,358.3,336.6,49.0,5,343,74.4,6,0,6,0.0,50,MID,15.2
Yehor,Yarmoliuk,1,3,104,2652,42,273.0,445.0,117.0,1,448,83.4,8,0,7,1.5,50,MID,20.8
Josh,Dasilva,0,0,2,2,0,11.3,0.4,4.0,0,5,1.6,0,0,0,0.0,50,MID,0.4
Jaidon,Anthony,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,60,MID,0.0
Igor Thiago,Nascimento Rodrigues,22,1,181,3282,50,382.5,1019.4,1170.0,22,710,256.9,10,0,7,15.8,80,FWD,22.6
Kaye,Furo,0,0,1,1,0,0.0,0.0,0.0,0,2,0.0,0,0,0,0.9,45,FWD,0.2
Callum,Wilson,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.4,55,FWD,0.0
Mamadou,Sangaré,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.4,55,MID,0.0
Bart,Verbruggen,0,0,130,3420,46,10.0,935.0,0.0,6,616,94.7,10,0,3,16.7,45,GK,28.9
Carl,Rushworth,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.6,45,GK,0.0
Jason,Steele,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,4.7,40,GK,0.0
Ferdi,Kadıoğlu,1,2,118,3130,41,444.8,505.0,284.0,7,514,123.7,10,0,6,3.0,45,DEF,26.2
Olivier,Boscagli,0,1,39,799,10,82.2,215.6,12.0,4,171,31.1,3,0,2,0.1,45,DEF,8.7
Maxim,De Cuyper,2,3,84,1404,23,516.6,327.8,154.0,9,318,99.9,5,0,2,1.5,45,DEF,18.7
Lewis,Dunk,1,1,100,2837,40,125.5,649.6,210.0,5,443,98.7,7,0,10,0.7,45,DEF,22.2
Diego,Coppola,0,0,10,193,3,3.7,42.4,2.0,0,32,4.8,1,0,2,0.0,45,DEF,2.2
Igor Julio,dos Santos de Paulo,0,0,6,103,3,10.6,25.8,0.0,0,10,3.6,0,0,0,0.1,45,DEF,1.3
João Pedro,Loureiro da Costa,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,DEF,0.0
Michael,Svoboda,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,50,DEF,0.0
Mitoma,Kaoru,3,1,62,1714,20,422.3,288.4,416.0,2,247,112.3,5,0,5,0.2,60,MID,10.3
Yankuba,Minteh,3,8,117,2389,33,691.4,491.8,617.0,9,466,180.3,11,0,3,0.7,60,MID,19.5
Jack,Hinshelwood,4,5,91,1736,23,228.0,312.6,412.0,2,317,94.8,7,0,0,0.3,60,MID,15.2
Pascal,Groß,1,6,78,1636,17,668.2,397.2,220.0,10,389,128.5,6,0,2,7.2,55,MID,14.2
Georginio,Rutter,3,5,87,1776,20,349.5,338.6,448.0,2,290,113.5,7,0,2,0.7,55,FWD,15.8
Matt,O'Riley,1,0,16,202,3,67.7,65.4,63.0,2,48,19.6,1,0,0,0.1,55,MID,2.9
Diego,Gómez Amarilla,5,1,97,2117,29,319.7,438.2,432.0,9,361,119.0,8,0,9,1.8,50,MID,19.4
Facundo,Buonanotte,0,0,3,81,4,40.0,13.2,21.0,0,9,7.4,0,0,1,0.1,50,MID,0.6
Yasin,Ayari,3,4,98,1921,24,251.3,359.8,231.0,7,406,84.5,6,0,1,0.5,55,MID,17.8
Mats,Wieffer,2,4,94,1901,26,291.1,477.0,209.0,6,398,97.7,6,0,8,0.3,50,DEF,18.8
Carlos,Baleba,0,0,56,1646,19,156.3,166.8,44.0,0,231,36.8,7,0,5,0.6,50,MID,11.2
Harry,Howell,0,0,4,92,2,5.1,10.2,2.0,0,11,1.8,0,0,0,0.3,45,MID,0.9
Tom,Watson,0,0,5,57,2,2.4,6.0,7.0,0,15,1.6,0,0,1,0.0,50,MID,1.0
Nehemiah,Oriola,0,0,1,1,0,0.0,0.0,0.0,0,3,0.0,0,0,0,0.2,45,MID,0.2
Zadok,Yohanna,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,50,MID,0.0
Stefanos,Tzimas,1,1,16,132,2,65.7,66.6,44.0,0,55,17.7,0,0,0,0.0,55,FWD,2.9
Charalampos,Kostoulas,2,1,35,351,9,126.5,143.6,255.0,3,140,52.4,1,0,2,0.3,55,FWD,6.4
Evan,Ferguson,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,50,FWD,0.0
Pascal,Struijk,0,1,108,2935,48,161.5,697.4,272.0,4,412,113.1,7,0,5,0.5,50,DEF,21.6
Luka,Vušković,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,3.0,50,DEF,0.0
Morgan,Rogers,10,8,169,3280,48,706.2,746.2,871.0,17,605,232.0,9,0,7,30.7,75,MID,22.5
Danny,Welbeck,13,1,126,2249,28,309.7,578.8,803.0,18,511,168.2,10,0,5,2.8,60,FWD,21.0
Robert,Lynch Sánchez,0,1,113,3040,49,50.0,822.2,0.0,7,509,86.7,9,1,3,2.0,50,GK,22.6
Filip,Jörgensen,0,0,9,378,5,0.0,79.8,0.0,0,50,7.9,0,0,0,0.1,50,GK,1.8
Reece,James,2,6,115,1957,20,483.7,459.0,116.0,11,493,106.1,8,0,4,8.0,55,DEF,20.9
Trevoh,Chalobah,3,1,136,2780,40,111.2,719.2,160.0,7,516,99.1,9,1,3,2.0,55,DEF,24.7
Malo,Gusto,2,3,96,2255,36,448.5,443.6,205.0,7,406,109.8,7,1,3,1.2,50,DEF,19.2
Wesley,Fofana,0,2,65,1718,25,65.6,463.6,74.0,3,288,60.4,4,2,5,0.0,50,DEF,13.0
Benoît,Badiashile Mukinayi,0,0,7,470,10,7.9,102.8,2.0,0,48,11.4,0,0,2,0.0,45,DEF,1.6
Tosin,Adarabioyo,0,0,34,788,14,33.3,240.4,19.0,2,130,29.3,2,0,2,0.1,45,DEF,7.6
Jorrel,Hato,0,0,19,1139,27,114.9,233.2,36.0,0,93,38.4,0,0,7,1.2,45,DEF,4.2
Levi,Samuels Colwill,0,0,8,225,4,7.6,66.0,6.0,0,30,8.0,0,0,0,1.9,50,DEF,1.6
Mamadou,Sarr,0,0,3,100,3,0.1,6.4,7.0,0,4,1.3,0,0,0,0.1,45,DEF,0.7
Josh,Acheampong,1,0,39,657,13,40.9,132.6,70.0,5,118,24.4,2,0,1,0.2,45,DEF,8.7
Marco,Palestra,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,1.5,55,DEF,0.0
Axel,Disasi,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,45,DEF,0.0
Cole,Palmer,10,2,114,1954,33,393.6,536.6,547.0,11,430,147.7,3,0,5,12.7,95,MID,12.0
Enzo,Fernández,10,5,157,3114,46,1063.2,835.6,747.0,19,700,264.6,8,0,10,5.4,70,MID,22.4
Pedro,Lomba Neto,5,7,125,2629,33,836.2,523.0,505.0,9,543,186.7,11,1,2,1.3,65,MID,19.2
Estêvão,Almeida de Oliveira Gonçalves,2,5,58,839,11,230.9,183.4,314.0,4,172,72.6,4,0,4,1.7,65,MID,8.9
Jamie,Bynoe-Gittens,0,2,25,486,7,130.4,93.0,91.0,0,99,31.3,1,0,0,0.1,60,MID,4.2
Moisés,Caicedo Corozo,3,1,110,2796,47,403.1,562.4,128.0,10,580,109.2,6,1,11,3.7,55,MID,20.0
Roméo,Lavia,0,0,13,374,10,46.6,34.4,14.0,0,81,9.5,0,0,0,0.0,50,MID,2.6
Dário,Luís Essugo,0,0,1,26,1,2.1,11.4,2.0,0,7,1.6,0,0,2,0.2,45,MID,0.2
Geovany,Quenda,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,55,MID,0.0
João Pedro,Junqueira de Jesus,15,9,177,2658,36,456.6,758.4,909.0,30,715,212.1,10,0,5,54.7,75,FWD,23.6
Nicolas,Jackson,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.4,65,FWD,0.0
Liam,Delap,1,2,45,1092,18,73.7,67.8,349.0,1,123,47.3,2,0,4,0.5,55,FWD,8.2
Marc,Guiu Paz,0,1,13,265,3,40.1,24.6,86.0,0,19,13.1,0,0,1,0.4,50,FWD,2.6
Shumaira,Mheuka,0,0,1,1,0,0.3,2.0,0.0,0,3,0.2,0,0,0,0.4,45,FWD,0.2
Emmanuel,Emegha,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,50,FWD,0.0
Maxence,Lacroix,1,2,154,3085,47,106.4,822.0,316.0,11,529,124.3,11,1,4,12.0,60,DEF,25.7
Mike,Penders,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,45,GK,0.0
Aaron,Anselmino,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,DEF,0.0
Frank,Onyeka,0,2,12,88,2,13.6,28.4,4.0,0,41,4.6,0,0,0,0.2,50,MID,2.4
Oliver,Dovin,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,3.0,40,GK,0.0
Ben,Wilson,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.7,45,GK,0.0
Bobby,Thomas,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,8.7,40,DEF,0.0
Liam,Kitching,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.4,40,DEF,0.0
Milan,van Ewijk,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,16.7,40,DEF,0.0
Jay,Dasilva,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.4,40,DEF,0.0
Kaine,Kesler-Hayden,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,40,DEF,0.0
Jake,Bidwell,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,40,DEF,0.0
Joel,Latibeaudiere,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,40,DEF,0.0
Luke,Woolfenden,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.3,40,DEF,0.0
Miguel,Brau,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,40,DEF,0.0
Aurèle,Amenda,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.5,40,DEF,0.0
Jack,Rudoni,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.3,50,MID,0.0
Matt,Grimes,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,50,MID,0.0
Tatsuhiro,Sakamoto,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,50,MID,0.0
Ephron,Mason-Clark,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.3,55,MID,0.0
Josh,Eccles,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,50,MID,0.0
Victor,Torp,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,55,MID,0.0
George,Shepherd,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.3,45,MID,0.0
Loum,Tchaouna,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,55,MID,0.0
Raphael,Borges Rodrigues,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,45,MID,0.0
Kaine,Andrews,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.7,45,MID,0.0
Haji,Wright,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,1.8,55,FWD,0.0
Brandon,Thomas-Asante,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.9,50,FWD,0.0
Ellis,Simms,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.6,50,FWD,0.0
Jahnoah,Markelo,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,50,FWD,0.0
Norman,Bassette,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.6,45,FWD,0.0
Dean,Henderson,0,0,131,3330,51,10.0,837.8,0.0,7,538,84.7,11,0,5,3.1,50,GK,26.2
Walter,Benítez,0,0,7,90,0,0.0,22.8,0.0,0,29,2.3,1,0,0,0.1,45,GK,1.6
Daniel,Muñoz Mejía,4,4,136,2400,33,396.6,595.0,404.0,9,469,139.5,10,0,7,11.9,55,DEF,24.7
Chris,Richards,1,0,128,2825,42,159.6,727.2,185.0,5,453,107.6,11,0,4,0.8,50,DEF,25.6
Jaydee,Canvot,0,0,72,1331,23,63.8,362.4,56.0,9,216,48.1,5,0,3,0.6,50,DEF,14.4
Tyrick,Mitchell,1,3,135,3253,47,467.3,649.0,241.0,8,498,136.0,12,0,6,7.0,45,DEF,30.0
Borna,Sosa,0,0,6,99,2,24.1,12.6,8.0,0,9,4.5,0,0,1,0.0,45,DEF,1.3
Chadi,Riad Dnanou,0,1,20,550,8,23.9,117.8,41.0,0,84,18.3,1,0,2,0.1,45,DEF,4.4
Oscar,Mingueza,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,45,DEF,0.0
Ismaïla,Sarr,9,2,117,2173,29,269.4,479.8,601.0,9,359,135.1,9,0,2,9.9,65,MID,18.0
Brennan,Johnson,2,1,65,1710,24,311.1,223.4,230.0,2,217,75.8,6,0,6,0.2,60,MID,10.8
Adam,Wharton,1,6,112,2552,43,720.0,494.4,180.0,8,511,139.6,8,1,4,0.2,55,MID,20.4
Yéremy,Pino Santos,2,2,77,2074,28,718.4,325.8,371.0,3,331,141.4,7,0,4,0.2,55,MID,14.0
Will,Hughes,0,1,45,1560,18,322.9,198.0,90.0,0,217,60.9,5,0,7,11.1,45,MID,10.0
Jefferson,Lerma Solís,0,5,69,1722,25,207.2,287.6,233.0,3,296,72.5,7,0,7,0.1,50,MID,13.8
Daichi,Kamada,0,2,67,1899,28,350.1,239.2,155.0,0,331,74.5,6,0,3,0.3,50,MID,13.4
Justin,Devenny,1,0,36,785,15,101.8,115.0,168.0,0,108,38.4,1,0,0,0.0,50,MID,7.2
Romain,Esse,0,0,4,40,0,2.7,6.8,6.0,0,12,1.5,0,0,0,0.1,50,MID,0.8
Matheus,França de Oliveira,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,50,MID,0.0
Cheick,Doucouré,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,50,MID,0.0
Jesurun,Rak-Sakyi,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,50,MID,0.0
Rio,Cardines,0,0,2,90,2,30.0,15.2,4.0,0,21,4.9,0,0,0,0.0,45,DEF,0.4
Joél,Drakes-Thomas,0,0,2,7,1,1.0,1.4,0.0,0,6,0.3,0,0,0,0.1,45,MID,0.4
