season,team_name,n__Attacking / ball-playing defender,n__Balanced defender,n__Creative midfielder,n__Defensive / rotation defender,n__Elite goalscorer,n__Elite playmaker,n__Goalkeeper,n__Premium attacker,n__Rotation midfielder,n_classified,p__Attacking / ball-playing defender,p__Balanced defender,p__Creative midfielder,p__Defensive / rotation defender,p__Elite goalscorer,p__Elite playmaker,p__Goalkeeper,p__Premium attacker,p__Rotation midfielder
2025-26,Everton,2,3,0,0,1,0,1,3,2,12,0.16666666666666666,0.25,0.0,0.0,0.08333333333333333,0.0,0.08333333333333333,0.25,0.16666666666666666
2025-26,Fulham,2,1,0,1,1,0,1,3,9,18,0.1111111111111111,0.05555555555555555,0.0,0.05555555555555555,0.05555555555555555,0.0,0.05555555555555555,0.16666666666666666,0.5
2025-26,Leeds,4,1,0,1,1,0,1,5,3,16,0.25,0.0625,0.0,0.0625,0.0625,0.0,0.0625,0.3125,0.1875
2025-26,Liverpool,5,0,0,1,4,0,1,1,3,15,0.3333333333333333,0.0,0.0,0.06666666666666667,0.26666666666666666,0.0,0.06666666666666667,0.06666666666666667,0.2
2025-26,Man City,4,0,0,1,5,0,1,1,4,16,0.25,0.0,0.0,0.0625,0.3125,0.0,0.0625,0.0625,0.25
2025-26,Man Utd,2,2,0,3,4,0,1,3,2,17,0.11764705882352941,0.11764705882352941,0.0,0.17647058823529413,0.23529411764705882,0.0,0.058823529411764705,0.17647058823529413,0.11764705882352941
2025-26,Newcastle,3,2,0,3,1,0,1,4,3,17,0.17647058823529413,0.11764705882352941,0.0,0.17647058823529413,0.058823529411764705,0.0,0.058823529411764705,0.23529411764705882,0.17647058823529413
2025-26,Nott'm Forest,1,1,0,1,2,0,1,3,5,14,0.07142857142857142,0.07142857142857142,0.0,0.07142857142857142,0.14285714285714285,0.0,0.07142857142857142,0.21428571428571427,0.35714285714285715
2025-26,Spurs,2,2,0,2,0,0,1,3,9,19,0.10526315789473684,0.10526315789473684,0.0,0.10526315789473684,0.0,0.0,0.05263157894736842,0.15789473684210525,0.47368421052631576
2025-26,Sunderland,5,2,0,1,1,0,1,2,2,14,0.35714285714285715,0.14285714285714285,0.0,0.07142857142857142,0.07142857142857142,0.0,0.07142857142857142,0.14285714285714285,0.14285714285714285
2025-26,West Ham,3,3,0,5,1,0,2,3,0,17,0.17647058823529413,0.17647058823529413,0.0,0.29411764705882354,0.058823529411764705,0.0,0.11764705882352941,0.17647058823529413,0.0
2025-26,Wolves,5,3,0,2,0,0,1,1,6,18,0.2777777777777778,0.16666666666666666,0.0,0.1111111111111111,0.0,0.0,0.05555555555555555,0.05555555555555555,0.3333333333333333
