season,team_name,n_classified,team_cluster,team_cluster_hdbscan,viz_x,viz_y,n__Attacking / ball-playing defender,n__Balanced defender,n__Creative midfielder,n__Defensive / rotation defender,n__Elite goalscorer,n__Elite playmaker,n__Goalkeeper,n__Premium attacker,n__Rotation midfielder,p__Attacking / ball-playing defender,p__Balanced defender,p__Creative midfielder,p__Defensive / rotation defender,p__Elite goalscorer,p__Elite playmaker,p__Goalkeeper,p__Premium attacker,p__Rotation midfielder
2023-24,Sheffield Utd,15,6,0,-1.1590307,12.365315,5,2,0,4,0,0,1,3,0,0.3333333333333333,0.13333333333333333,0.0,0.26666666666666666,0.0,0.0,0.06666666666666667,0.2,0.0
2023-24,Spurs,16,2,0,-2.4639475,12.153737,2,3,2,2,1,2,1,1,2,0.125,0.1875,0.125,0.125,0.0625,0.125,0.0625,0.0625,0.125
2023-24,West Ham,13,6,0,-1.6070064,12.247253,5,2,1,1,1,1,1,1,0,0.38461538461538464,0.15384615384615385,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.0
2023-24,Wolves,15,6,0,-1.304557,11.977334,5,3,2,2,1,0,1,1,0,0.3333333333333333,0.2,0.13333333333333333,0.13333333333333333,0.06666666666666667,0.0,0.06666666666666667,0.06666666666666667,0.0
2024-25,Arsenal,14,1,0,0.40915346,9.18648,1,2,4,1,2,0,1,1,2,0.07142857142857142,0.14285714285714285,0.2857142857142857,0.07142857142857142,0.14285714285714285,0.0,0.07142857142857142,0.07142857142857142,0.14285714285714285
2024-25,Aston Villa,16,3,0,-0.3854834,9.403938,3,1,2,5,2,0,1,2,0,0.1875,0.0625,0.125,0.3125,0.125,0.0,0.0625,0.125,0.0
2024-25,Bournemouth,15,1,0,0.07500472,10.190032,3,2,1,3,4,0,1,1,0,0.2,0.13333333333333333,0.06666666666666667,0.2,0.26666666666666666,0.0,0.06666666666666667,0.06666666666666667,0.0
2024-25,Brentford,14,1,0,-0.2106112,9.832512,3,1,1,4,3,0,1,0,1,0.21428571428571427,0.07142857142857142,0.07142857142857142,0.2857142857142857,0.21428571428571427,0.0,0.07142857142857142,0.0,0.07142857142857142
2024-25,Brighton,17,5,0,-0.23667222,10.625246,3,2,1,3,3,0,1,3,1,0.17647058823529413,0.11764705882352941,0.058823529411764705,0.17647058823529413,0.17647058823529413,0.0,0.058823529411764705,0.17647058823529413,0.058823529411764705
2024-25,Chelsea,15,1,0,0.13234545,9.509447,2,1,3,3,3,0,1,1,1,0.13333333333333333,0.06666666666666667,0.2,0.2,0.2,0.0,0.06666666666666667,0.06666666666666667,0.06666666666666667
2024-25,Crystal Palace,14,1,0,0.02776743,10.604335,3,3,1,1,3,0,1,1,1,0.21428571428571427,0.21428571428571427,0.07142857142857142,0.07142857142857142,0.21428571428571427,0.0,0.07142857142857142,0.07142857142857142,0.07142857142857142
2024-25,Everton,15,6,0,-1.5206728,11.367528,4,2,1,4,0,0,1,2,1,0.26666666666666666,0.13333333333333333,0.06666666666666667,0.26666666666666666,0.0,0.0,0.06666666666666667,0.13333333333333333,0.06666666666666667
2024-25,Fulham,16,3,0,-0.7715755,9.045652,2,1,3,6,1,0,1,2,0,0.125,0.0625,0.1875,0.375,0.0625,0.0,0.0625,0.125,0.0
2024-25,Ipswich,18,5,0,-1.2158606,10.352991,1,4,0,7,1,0,1,2,2,0.05555555555555555,0.2222222222222222,0.0,0.3888888888888889,0.05555555555555555,0.0,0.05555555555555555,0.1111111111111111,0.1111111111111111
2024-25,Leicester,18,3,0,-1.5145657,9.662719,5,0,0,11,1,0,1,0,0,0.2777777777777778,0.0,0.0,0.6111111111111112,0.05555555555555555,0.0,0.05555555555555555,0.0,0.0
2024-25,Liverpool,14,1,0,0.6667399,9.473859,1,3,3,1,3,0,1,2,0,0.07142857142857142,0.21428571428571427,0.21428571428571427,0.07142857142857142,0.21428571428571427,0.0,0.07142857142857142,0.14285714285714285,0.0
2024-25,Man City,16,1,0,0.16076061,8.95474,1,2,6,3,2,0,1,1,0,0.0625,0.125,0.375,0.1875,0.125,0.0,0.0625,0.0625,0.0
2024-25,Man Utd,16,3,0,-1.2496397,9.383027,2,0,2,7,1,0,1,3,0,0.125,0.0,0.125,0.4375,0.0625,0.0,0.0625,0.1875,0.0
2024-25,Newcastle,15,1,0,0.49814832,9.970626,4,1,3,1,3,0,1,0,2,0.26666666666666666,0.06666666666666667,0.2,0.06666666666666667,0.2,0.0,0.06666666666666667,0.0,0.13333333333333333
2024-25,Nott'm Forest,12,6,0,-1.0141271,11.499639,5,0,2,2,1,0,1,0,1,0.4166666666666667,0.0,0.16666666666666666,0.16666666666666666,0.08333333333333333,0.0,0.08333333333333333,0.0,0.08333333333333333
2024-25,Southampton,17,3,0,-1.7063867,10.166935,3,1,0,8,0,0,1,2,2,0.17647058823529413,0.058823529411764705,0.0,0.47058823529411764,0.0,0.0,0.058823529411764705,0.11764705882352941,0.11764705882352941
2024-25,Spurs,19,3,0,-0.6946271,9.338076,2,1,2,7,3,0,1,1,2,0.10526315789473684,0.05263157894736842,0.10526315789473684,0.3684210526315789,0.15789473684210525,0.0,0.05263157894736842,0.05263157894736842,0.10526315789473684
2024-25,West Ham,16,5,0,-0.8690355,10.145715,3,4,0,6,2,0,1,0,0,0.1875,0.25,0.0,0.375,0.125,0.0,0.0625,0.0,0.0
2024-25,Wolves,15,5,0,-0.8168696,9.761881,1,2,1,5,2,0,1,2,1,0.06666666666666667,0.13333333333333333,0.06666666666666667,0.3333333333333333,0.13333333333333333,0.0,0.06666666666666667,0.13333333333333333,0.06666666666666667
2025-26,Arsenal,15,0,0,1.2383636,13.2850485,3,0,0,1,2,0,1,5,3,0.2,0.0,0.0,0.06666666666666667,0.13333333333333333,0.0,0.06666666666666667,0.3333333333333333,0.2
2025-26,Aston Villa,15,5,0,-0.7905571,10.771553,2,1,0,4,2,0,1,3,2,0.13333333333333333,0.06666666666666667,0.0,0.26666666666666666,0.13333333333333333,0.0,0.06666666666666667,0.2,0.13333333333333333
2025-26,Bournemouth,17,0,0,0.81973124,13.127266,4,1,0,2,1,0,1,5,3,0.23529411764705882,0.058823529411764705,0.0,0.11764705882352941,0.058823529411764705,0.0,0.058823529411764705,0.29411764705882354,0.17647058823529413
2025-26,Brentford,14,0,0,1.3266097,12.840647,4,0,0,1,2,0,1,4,2,0.2857142857142857,0.0,0.0,0.07142857142857142,0.14285714285714285,0.0,0.07142857142857142,0.2857142857142857,0.14285714285714285
2025-26,Brighton,15,0,0,1.4161973,13.04363,3,0,0,2,1,0,1,6,2,0.2,0.0,0.0,0.13333333333333333,0.06666666666666667,0.0,0.06666666666666667,0.4,0.13333333333333333
2025-26,Burnley,15,0,0,-0.25711372,13.322101,2,3,0,2,0,0,1,2,5,0.13333333333333333,0.2,0.0,0.13333333333333333,0.0,0.0,0.06666666666666667,0.13333333333333333,0.3333333333333333
2025-26,Chelsea,15,5,0,-0.06444051,11.693035,0,5,0,1,3,0,1,3,2,0.0,0.3333333333333333,0.0,0.06666666666666667,0.2,0.0,0.06666666666666667,0.2,0.13333333333333333
2025-26,Crystal Palace,14,0,0,0.21735331,13.2485285,3,1,0,1,0,0,1,3,5,0.21428571428571427,0.07142857142857142,0.0,0.07142857142857142,0.0,0.0,0.07142857142857142,0.21428571428571427,0.35714285714285715
2025-26,Everton,12,5,0,-0.24984907,12.391252,2,3,0,0,1,0,1,3,2,0.16666666666666666,0.25,0.0,0.0,0.08333333333333333,0.0,0.08333333333333333,0.25,0.16666666666666666
2025-26,Fulham,18,0,0,0.19665502,13.9079,2,1,0,1,1,0,1,3,9,0.1111111111111111,0.05555555555555555,0.0,0.05555555555555555,0.05555555555555555,0.0,0.05555555555555555,0.16666666666666666,0.5
2025-26,Leeds,16,0,0,0.9942688,12.8387375,4,1,0,1,1,0,1,5,3,0.25,0.0625,0.0,0.0625,0.0625,0.0,0.0625,0.3125,0.1875
2025-26,Liverpool,15,1,0,0.6023878,10.523208,5,0,0,1,4,0,1,1,3,0.3333333333333333,0.0,0.0,0.06666666666666667,0.26666666666666666,0.0,0.06666666666666667,0.06666666666666667,0.2
2025-26,Man City,16,1,0,0.70133966,10.622163,4,0,0,1,5,0,1,1,4,0.25,0.0,0.0,0.0625,0.3125,0.0,0.0625,0.0625,0.25
2025-26,Man Utd,17,5,0,0.026416391,10.9752865,2,2,0,3,4,0,1,3,2,0.11764705882352941,0.11764705882352941,0.0,0.17647058823529413,0.23529411764705882,0.0,0.058823529411764705,0.17647058823529413,0.11764705882352941
2025-26,Newcastle,17,5,0,0.32503295,12.515384,3,2,0,3,1,0,1,4,3,0.17647058823529413,0.11764705882352941,0.0,0.17647058823529413,0.058823529411764705,0.0,0.058823529411764705,0.23529411764705882,0.17647058823529413
2025-26,Nott'm Forest,14,0,0,0.40246692,13.830074,1,1,0,1,2,0,1,3,5,0.07142857142857142,0.07142857142857142,0.0,0.07142857142857142,0.14285714285714285,0.0,0.07142857142857142,0.21428571428571427,0.35714285714285715
2025-26,Spurs,19,0,0,0.036852684,13.757366,2,2,0,2,0,0,1,3,9,0.10526315789473684,0.10526315789473684,0.0,0.10526315789473684,0.0,0.0,0.05263157894736842,0.15789473684210525,0.47368421052631576
2025-26,Sunderland,14,6,0,-0.9823258,12.764472,5,2,0,1,1,0,1,2,2,0.35714285714285715,0.14285714285714285,0.0,0.07142857142857142,0.07142857142857142,0.0,0.07142857142857142,0.14285714285714285,0.14285714285714285
2025-26,West Ham,17,4,1,-4.1130295,11.350104,3,3,0,5,1,0,2,3,0,0.17647058823529413,0.17647058823529413,0.0,0.29411764705882354,0.058823529411764705,0.0,0.11764705882352941,0.17647058823529413,0.0
2025-26,Wolves,18,0,0,-0.38504922,13.440951,5,3,0,2,0,0,1,1,6,0.2777777777777778,0.16666666666666666,0.0,0.1111111111111111,0.0,0.0,0.05555555555555555,0.05555555555555555,0.3333333333333333
