first_name,second_name,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent
Marc,Pugh,2,3,64,1329,24,304.6,238.6,290,6,224,83.3,5,0,1,0.4
Andrew,Surman,0,1,44,1800,38,223.8,256.8,90,0,288,57,4,1,1,0.1
Eunan,O'Kane,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3
Shaun,MacDonald,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1
Junior,Stanislas,7,6,107,1467,29,406.9,454.6,418,13,372,128,4,0,1,1.3
Dan,Gosling,2,0,49,1366,24,181.7,254,168,2,254,60.5,4,0,6,0.1
Max,Gradel,0,0,8,134,1,18.2,24.6,70,0,24,10.8,0,0,3,0.1
Emerson,Hyndman,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jordon,Ibe,0,0,36,1055,22,268.3,113,235,0,133,61.5,3,0,0,1.1
Lewis,Cook,0,2,17,432,7,89.8,100.8,28,1,81,21.8,1,0,1,0.8
Joshua,King,16,3,178,2714,54,474.6,835.2,1007,17,553,231.6,9,0,1,19.3
Callum,Wilson,6,1,63,1361,25,125.7,229,487,2,170,82.2,6,0,0,1.1
Tokelo,Rantie,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3
Lewis,Grabban,0,1,6,60,2,11.8,24.2,17,0,17,5.3,0,0,0,2.9
Benik,Afobe,6,5,88,1458,24,320.7,350,639,9,259,130.8,5,0,1,1.2
Lys,Mousset,0,1,14,270,4,39.6,27.8,109,0,22,16.1,1,0,0,0.1
Tom,Heaton,0,0,149,3150,48,30.3,1001.6,0,21,741,103.2,10,0,1,18.6
Matthew,Lowton,0,2,90,3240,53,491.5,770.6,80,5,631,134.2,9,0,9,0.8
Ben,Mee,1,2,94,3015,49,93.7,890,281,6,592,126.7,9,0,5,2.2
Stephen,Ward,1,1,91,3230,53,409.9,644.6,128,3,596,118.3,8,0,5,1.6
Michael,Keane,2,1,113,3150,49,96.7,930.8,557,10,619,158.6,10,0,4,3.3
James,Tarkowski,0,0,23,568,11,53.4,146.2,81,0,111,27.5,1,0,1,1.8
Tendayi,Darikwa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1
David,Jones,0,0,1,86,1,11.7,0,2,0,8,1.3,0,0,1,0
George,Boyd,2,2,92,2837,45,268.4,330.6,376,2,386,97.2,9,0,3,0.2
Scott,Arfield,1,2,69,2103,36,556.5,210.2,393,3,253,115.7,6,0,3,0.1
Dean,Marney,1,2,51,1764,28,88.7,244.4,73,1,239,40.5,5,0,7,0.4
Fredrik,Ulvestad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1
Michael,Kightly,0,0,6,104,1,9.3,2.8,4,0,20,1.5,0,0,0,0.6
Sam,Vokes,10,4,121,2064,34,248.1,500,907,12,394,164.6,5,0,0,3.2
Andre,Gray,9,3,108,2260,33,320.2,415.6,648,10,303,137.4,8,0,2,4
Lukas,Jutkiewicz,0,0,2,13,0,1,0.4,2,0,5,0.3,0,0,0,0.6
Ashley,Barnes,6,3,81,1774,27,277.1,328.8,663,10,241,125.5,6,1,6,4.3
Rouwen,Hennings,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chris,Long,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3
Thibaut,Courtois,0,0,141,3240,28,0,517.6,0,0,623,52,16,0,1,14.1
Asmir,Begovic,0,0,2,180,5,0,13.2,0,0,17,1.3,0,0,0,0.2
John,Terry,1,0,21,496,9,24.3,104.6,104,0,97,23.3,1,0,1,1.9
Branislav,Ivanovic,0,1,23,589,9,69.4,114.6,112,2,143,29.4,1,0,2,2.7
César,Azpilicueta,1,5,170,3420,33,422.8,792.8,150,22,872,136.8,16,0,4,18.1
Gary,Cahill,6,0,178,3296,29,100.8,831.6,400,15,778,133.3,17,0,5,15.3
Kurt,Zouma,0,1,15,250,8,13.5,60.6,4,3,69,7.8,0,0,0,0.3
Abdul Rahman,Baba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Matt,Miazga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1
Eden,Hazard,16,9,224,2985,29,1306.8,1044.6,1162,33,869,351.6,17,0,3,30.6
Cesc,Fàbregas,5,15,121,1340,14,881.8,635,325,14,529,184.1,4,0,8,3.3
Oscar,dos Santos Emboaba Junior,0,1,17,455,6,197.4,97.4,128,0,104,42.2,1,0,1,0.5
Juan,Cuadrado,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
Willian,Borges Da Silva,8,3,114,1534,19,809.4,491.4,522,13,441,182.1,6,0,3,3.5
Nemanja,Matic,1,8,105,2694,24,447.1,546.8,279,1,550,127.5,15,0,4,3.9
Ruben,Loftus-Cheek,0,0,6,35,0,3.9,3.8,25,0,16,3.4,0,0,0,0.1
John Obi,Mikel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1
Pedro,Rodríguez Ledesma,9,10,162,2140,15,697.9,639,669,18,580,198.8,15,0,6,8.5
Bertrand,Traore,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Victor,Moses,3,3,105,2485,15,456.2,528.6,683,6,476,166.7,17,0,4,2.2
Marco,Van Ginkel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Robert Kenedy,Nunes do Nascimento,0,0,3,90,3,11.8,1.8,46,0,8,6,0,0,0,0
N'Golo,Kanté,1,1,83,3138,33,432.8,515.4,244,1,554,119,13,0,9,11.7
Michy,Batshuayi,5,1,48,254,3,40.9,193.2,277,4,169,50.7,0,0,0,1.2
Diego,Da Silva Costa,20,11,196,3083,30,687.9,982.6,1891,25,657,355,14,0,10,32.2
Loïc,Remy,0,0,6,134,3,26.9,20,60,0,17,10.2,1,0,0,0.2
Julian,Speroni,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2
Wayne,Hennessey,0,0,92,2610,46,31.1,600.4,0,4,497,63.2,7,0,1,3.1
Alex,McCarthy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1
Steve,Mandanda,0,0,19,810,17,0,182.8,0,0,120,18.2,0,0,0,1.9
James,Tomkins,3,0,75,1974,36,35.7,471,213,5,359,72.1,6,0,4,0.2
Scott,Dann,3,1,61,1752,36,73.1,459,426,4,310,96,2,0,2,2.1
Joel,Ward,0,1,86,3417,63,263.7,608.2,129,7,568,100.4,7,0,7,0.9
Martin,Kelly,0,2,46,2124,44,125.1,421.8,61,0,323,61,2,0,4,0.6
Damien,Delaney,0,2,51,2014,39,79.6,496.6,67,3,344,64.1,3,0,8,0.5
Pape,Souaré,0,0,6,270,3,33.5,53.6,9,0,37,9.7,0,0,0,0.2
Yannick,Bolasie,1,4,45,1048,14,326.7,238,252,3,172,81.8,3,0,3,1.7
Jason,Puncheon,0,6,92,3093,53,941.8,500.2,448,6,500,188.7,7,0,9,0.7
Wilfried,Zaha,7,11,149,3019,56,606.4,740.4,865,13,481,221.2,7,0,8,11.9
Mile,Jedinak,0,0,2,90,1,31.2,11.8,0,0,8,4.3,0,0,0,0.1
Joe,Ledley,1,1,40,1160,26,109.9,158.2,48,1,201,31.5,2,0,1,0.4
James,McArthur,5,3,93,1999,39,284.5,400.4,300,8,363,97.7,3,0,5,1
Jordon,Mutch,0,0,4,53,1,14.1,15.6,0,0,17,3.1,0,0,0,0.3
Jonathan,Williams,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chung-yong,Lee,0,1,24,471,13,125,71.2,44,0,103,23.9,2,0,0,0.3
Yohan,Cabaye,4,4,91,2125,41,568,427.4,478,6,411,146.8,7,0,7,1.1
Bakary,Sako,0,0,7,142,5,31.6,21.8,32,0,29,8.7,0,0,0,0
Andros,Townsend,3,7,116,2520,38,852.4,552.4,511,16,492,191.3,7,0,4,2.2
Fraizer,Campbell,1,0,16,165,4,25.9,42.4,84,0,56,15.2,0,0,0,1
Connor,Wickham,2,0,18,412,6,36.2,87.6,132,0,59,25,0,0,1,0.3
Joel,Robles,0,1,89,1737,20,10,439.2,0,5,407,44.9,10,0,2,0.9
Maarten,Stekelenburg,0,0,68,1683,24,0.1,350.4,0,3,309,35.1,4,0,2,1.7
Leighton,Baines,2,5,135,2819,34,695,570.8,151,15,647,141.9,11,0,4,11
Seamus,Coleman,4,4,133,2316,28,308.9,596,297,15,548,120.3,10,0,3,4
Phil,Jagielka,3,3,104,2251,32,71.7,751.4,278,16,533,110.1,6,1,4,7.5
John,Stones,0,0,59,2014,29,78,441.4,174,4,435,69.7,4,0,1,13.3
Brendan,Galloway,0,0,9,247,3,18.4,33,25,0,44,7.5,1,0,0,0.2
Tyias,Browning,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Matthew,Pennington,1,0,9,180,6,10.7,63.8,33,0,37,10.8,0,0,0,0.9
Ramiro,Funes Mori,0,1,69,1543,19,64,346.2,129,4,365,54,7,0,0,1.4
Kevin,Mirallas,4,8,119,2074,26,682.1,439.6,739,8,420,185.4,11,0,2,2.2
Ross,Barkley,5,11,144,2900,36,1237.6,692.4,973,11,534,290.3,12,0,5,6.6
Tom,Cleverley,0,3,55,1848,40,438.1,255.2,93,0,294,78.7,3,0,4,0.1
James,McCarthy,1,1,23,613,10,80.4,119.8,84,0,100,28.6,0,0,2,0.2
Gareth,Barry,2,1,68,2109,28,400.6,509.4,244,3,371,115,7,0,10,3.2
Darron,Gibson,0,0,17,640,12,51.5,72.4,16,0,101,13.8,1,0,4,0.1
Muhamed,Besic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bryan,Oviedo,0,0,29,1323,26,155.4,250.6,37,0,223,44.4,3,0,4,0.1
Gerard,Deulofeu,0,0,13,460,6,150.8,54.6,115,0,53,32,0,0,1,0.8
Aaron,Lennon,0,1,22,509,5,93.4,78,54,0,104,22.3,2,0,0,0.2
Romelu,Lukaku,25,6,221,3266,42,701.4,1171.6,1670,33,824,354.1,13,0,3,32.2
Arouna,Koné,0,0,6,78,3,19.6,7.8,22,0,17,4.9,0,0,0,0.7
Oumar,Niasse,4,1,44,1096,30,163,205.8,417,3,125,76.8,2,1,3,0.4
Allan,McGregor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eldin,Jakupovic,0,0,86,1980,36,0.3,554.2,4,7,431,55.8,5,0,0,21.9
Brian,Lenihan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1
Curtis,Davies,0,2,38,2135,53,33,644.6,128,3,368,80.5,1,0,4,1.3
Michael,Dawson,3,0,46,1722,44,46.3,573.6,236,4,311,85.5,1,0,4,0.5
Moses,Odubajo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andrew,Robertson,1,2,73,2736,59,352.8,502.6,100,4,488,95.6,5,0,5,1.9
Harry,Maguire,2,3,71,2307,53,157.2,707.6,439,5,483,130.6,4,0,5,0.8
Alex,Bruce,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1
Robert,Snodgrass,7,6,133,2548,56,1050.1,550.2,538,16,503,212.3,3,0,2,6.3
Sam,Clucas,3,1,87,3186,75,344.2,482.2,405,4,509,122.5,5,1,9,0.2
Jake,Livermore,1,1,77,2970,62,323.5,556.4,283,2,458,116.5,4,1,5,0.1
Ahmed,Elmohamady,0,2,62,2523,63,428.6,464.4,108,1,428,99.9,3,1,3,0.2
Mohamed,Diamé,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tom,Huddlestone,1,2,62,2025,47,300.3,344.4,130,5,348,77.6,4,1,5,0.2
David,Meyler,1,0,33,962,23,123.6,164.6,81,0,179,37.1,2,0,2,0.2
Shaun,Maloney,1,2,24,283,7,70.4,104.6,58,2,86,23.4,1,0,0,0.5
Abel,Hernández,4,4,72,1425,23,190.4,219.4,532,6,208,93.6,4,0,0,0.9
Adama,Diomande,2,0,42,1171,29,195.4,141,259,2,127,58.7,2,0,1,3.6
Kasper,Schmeichel,0,0,109,2666,47,0,757.4,0,10,585,75.8,8,0,1,6
Ron-Robert,Zieler,0,0,17,754,16,0,136,2,0,119,13.9,1,0,0,0.3
Wes,Morgan,1,1,63,2430,45,48.4,480,284,0,360,81.4,5,0,3,10.3
Christian,Fuchs,2,4,104,3103,57,536.4,802,152,10,679,149.4,8,0,10,5.7
Jeffrey,Schlupp,0,2,47,1139,17,100.4,214.2,65,4,237,38.1,3,0,0,0.3
Marcin,Wasilewski,0,0,1,90,2,0.3,10.8,0,0,10,1.1,0,0,0,1.8
Ritchie,de Laet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1
Danny,Simpson,0,3,85,2988,50,199,531.2,50,4,529,77.9,9,0,12,2.1
Robert,Huth,2,2,88,2926,49,69.4,701,477,1,479,124.9,9,0,9,1.8
Yohan,Benalouane,0,0,27,917,15,22,158.2,54,0,156,23.6,4,0,4,1
Luis,Hernández,0,0,3,327,8,62,57.6,0,0,50,12,0,0,1,0.3
Riyad,Mahrez,6,4,120,2826,48,802.1,573,898,9,437,227.8,9,0,4,8.2
Marc,Albrighton,2,6,95,2412,47,719.8,483.8,272,3,468,147.6,8,0,5,2.5
Andy,King,1,0,41,1446,26,122.7,258.4,167,1,217,54.9,1,0,4,0.2
Daniel,Drinkwater,1,1,69,2466,44,307.1,401.8,213,3,384,92,8,0,6,3.6
Gökhan,Inler,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1
Demarai,Gray,1,4,58,1049,20,268.8,220.4,233,0,210,72.2,4,0,2,0.5
Daniel,Amartey,1,1,53,1673,35,204,254.4,109,3,262,57,4,0,3,0.2
Nampalys,Mendy,0,0,6,269,5,24.9,16.8,0,0,26,4,1,0,1,0.3
Jamie,Vardy,13,8,161,2801,57,450.4,629.8,955,24,555,202.5,7,1,2,13.9
Leonardo,Ulloa,1,0,24,447,5,55.7,60.8,262,1,56,37.4,2,0,0,0.1
Shinji,Okazaki,3,1,63,1565,26,262,181.2,471,3,220,90.4,7,0,1,1.6
Ahmed,Musa,2,0,39,761,20,120.8,132.6,232,5,131,47.7,1,0,1,3
Simon,Mignolet,0,0,110,2520,30,0,461.2,0,7,506,46,9,0,0,3.5
Loris,Karius,0,0,32,900,12,0,149.4,0,0,153,15,3,0,0,0.7
Mamadou,Sakho,0,0,35,686,6,48.7,143.4,40,6,155,23.2,4,0,0,0.6
Dejan,Lovren,2,1,106,2553,31,119.2,715.4,236,6,589,107.1,11,0,6,5.6
Alberto,Moreno,0,1,15,305,7,78.3,64.6,32,1,79,17.5,0,0,1,1.4
Nathaniel,Clyne,0,2,129,3323,41,716.5,512,294,13,735,152.4,12,0,0,10.3
Jon,Flanagan,0,0,9,360,4,16.4,63.8,0,0,55,8,1,0,2,0.2
Joseph,Gomez,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Connor,Randall,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7
Bradley,Smith,0,0,4,269,9,30.3,28.6,27,0,35,8.6,0,0,1,2.5
Kevin,Stewart,0,0,4,20,0,0.4,3.6,0,0,12,0.4,0,0,0,0.1
Joel,Matip,1,0,97,2457,25,143.3,588.6,348,7,557,108,9,0,3,3.2
Leiva,Lucas,0,3,47,1112,17,102.9,306.4,99,2,240,51.1,4,0,4,0.2
Jordan,Henderson,1,4,73,2116,28,554.3,507.4,93,9,467,115.5,7,0,8,1
Joe,Allen,6,3,118,2930,49,539.8,576.8,675,10,525,179.4,10,0,9,6.4
Philippe,Coutinho,13,8,171,2228,27,1081.8,860,1125,21,631,306.5,8,0,2,26
Emre,Can,5,2,104,2371,28,544.5,512.2,500,12,436,155.3,9,0,6,3
Adam,Lallana,8,7,139,2338,32,693,679.4,825,14,543,219.5,9,0,3,9.1
Lazar,Markovic,2,0,37,1005,15,160.3,142.2,185,2,125,48.5,5,0,4,0.1
Oluwaseyi,Ojo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
James,Milner,7,4,139,3154,35,937,919,493,16,682,235.2,12,0,5,4.8
Roberto,Firmino,11,11,180,3062,39,1127.3,869.6,1569,17,639,356.9,11,0,5,8.8
Cameron,Brannagan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1
Pedro,Chirivella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1
Sadio,Mané,13,7,156,2242,26,660.7,727,1074,14,502,246,8,0,4,7.8
Christian,Benteke,15,2,136,3131,58,484.4,640.2,1762,13,382,286.1,7,0,10,9.5
Daniel,Sturridge,3,5,54,775,7,207.4,202.8,492,2,180,89.7,3,0,1,1.9
Mario,Balotelli,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2
Danny,Ings,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2
Divock,Origi,7,4,96,1469,18,264.4,360,551,8,297,116.1,7,0,0,5.5
Joe,Hart,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Willy,Caballero,0,0,64,1452,13,0,266.6,0,1,295,26.8,6,0,0,3.8
Aleksandar,Kolarov,1,1,95,2535,27,296.4,639,223,7,558,116,9,0,6,3.1
Pablo,Zabaleta,1,1,45,1065,18,167.7,238.6,113,5,230,52.1,2,0,2,1.2
Vincent,Kompany,3,0,57,820,6,32.9,249,123,6,227,40.6,5,0,5,3.2
Gaël,Clichy,1,0,87,2123,24,314.8,407.4,38,9,493,76.1,8,0,2,1.9
Bacary,Sagna,0,1,55,1346,14,152.1,223.2,53,3,316,42.8,6,0,2,1.7
Eliaquim,Mangala,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3
Nicolás,Otamendi,1,2,100,2592,28,125.6,772.4,276,10,640,117.6,9,0,9,3.2
Fabian,Delph,1,0,13,224,4,42.3,68.2,43,0,62,15.3,0,0,1,0.1
Raheem,Sterling,7,14,149,2509,27,688.3,527,1170,11,468,237.7,9,0,7,10.6
Samir,Nasri,0,0,1,16,0,12.3,4.8,41,0,0,5.8,0,0,0,0.2
David,Silva,4,9,130,2760,32,1388.4,671.2,801,12,621,286.2,12,0,6,2.8
Gnegneri Yaya,Touré,5,0,86,1941,17,407.7,474.2,335,6,422,121.8,12,0,4,1
Jesús,Navas,0,3,48,1064,17,359.9,161,163,6,245,68.3,2,0,2,0.6
Fernando,Luiz Rosa,2,1,78,2755,27,575.7,546.6,364,3,483,148.5,10,2,4,1.5
Fernando Francisco,Reges,0,0,18,568,10,65.7,115.2,29,1,106,21,1,0,3,0.2
Kevin,De Bruyne,6,21,199,2877,34,1702,872.4,790,33,825,336.6,11,0,4,10.4
Ilkay,Gündogan,3,1,41,704,8,209.6,186.8,199,2,196,59.6,3,0,0,1.3
Manuel,Agudo Durán,4,3,54,777,7,238.4,210,411,2,170,85.6,3,1,3,1
Oleksandr,Zinchenko,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sergio,Agüero,20,5,175,2404,30,518.2,871.8,1853,32,640,323.9,8,1,4,17.6
Wilfried,Bony,2,0,29,684,12,116.9,103,271,3,92,49,3,0,1,0.6
Kelechi,Iheanacho,4,3,52,537,9,193.7,224,463,6,180,87.4,1,0,0,2.3
David,de Gea,0,0,136,3150,29,10,542.4,0,5,575,55,14,0,2,33.2
Sergio,Romero,0,0,23,180,0,0,77.2,0,3,80,7.7,2,0,0,0.2
Chris,Smalling,1,1,52,1217,16,36.1,342.6,95,1,282,47.4,4,0,0,1.1
Phil,Jones,0,0,55,1584,14,35.2,437.8,89,4,362,56.3,5,0,2,0.7
Guillermo,Varela,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luke,Shaw,0,3,45,688,6,160.5,139.2,64,4,202,36.5,4,0,1,6.4
Marcos,Rojo,1,0,77,1663,13,71,446.4,147,7,394,66.5,8,0,5,0.7
Patrick,McNair,0,0,12,353,9,51.1,30.6,28,0,58,10.7,1,0,0,0.2
Antonio,Valencia,1,3,120,2483,20,614.8,547.2,243,9,612,140.6,12,0,5,12.4
Matteo,Darmian,0,0,70,1333,8,74,206,13,6,319,29.4,9,0,3,1
Cameron,Borthwick-Jackson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Timothy,Fosu-Mensah,0,0,9,97,0,2.9,12.8,8,0,36,2.4,1,0,0,0.2
Daley,Blind,1,2,98,1830,17,426.6,534,122,14,525,108.2,9,0,2,4.7
Eric,Bailly,0,0,105,2058,15,31,481.2,98,14,542,61.2,13,0,4,8.3
Juan,Mata,6,3,102,1614,16,747.5,457.6,598,14,457,179.9,10,0,3,2
Marouane,Fellaini,1,0,48,1604,14,281.9,299,333,0,259,90.9,10,1,8,0.3
Memphis,Depay,0,0,3,24,1,1.8,1.2,4,0,6,0.7,0,0,1,0.2
Michael,Carrick,0,0,42,1601,14,209.3,288,48,0,297,54.5,5,0,2,1.7
Ashley,Young,0,1,26,760,6,167,147.4,61,1,154,37.6,4,0,2,0.1
Adnan,Januzaj,0,3,49,1628,38,470.8,226.2,364,0,158,106.4,3,1,3,0.5
Ander,Herrera,1,6,97,2465,18,720.8,593.2,276,11,559,159.2,13,1,5,2.2
Andreas,Pereira,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Morgan,Schneiderlin,1,0,37,1073,14,112.3,216.2,90,1,214,42,5,0,2,0.4
Bastian,Schweinsteiger,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1
Jesse,Lingard,1,3,60,1360,12,522.3,229.4,439,3,227,118,7,0,3,0.8
Anthony,Martial,4,6,95,1553,13,399.1,382.8,579,9,302,136.2,9,0,2,2.5
Henrikh,Mkhitaryan,4,1,73,1348,8,512.2,325.8,427,3,279,126.2,10,0,1,2.1
Wayne,Rooney,5,5,76,1540,16,593.8,394.2,616,9,322,160.2,6,0,8,2.4
James,Wilson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1
Marcus,Rashford,5,3,76,1712,15,411.4,316.2,734,2,287,145.5,7,0,3,10.6
Zlatan,Ibrahimovic,17,7,163,2438,22,775,807.8,1694,28,540,327.3,11,0,7,22.8
Dimitrios,Konstantopoulos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1
Víctor,Valdés,0,0,102,2520,36,0.3,607.6,2,10,493,61,8,0,1,4.3
Daniel,Ayala,1,0,31,918,16,10.4,220.8,166,0,174,39.8,3,0,3,0.1
George,Friend,0,3,59,1964,35,169.1,436,213,6,371,82,4,0,4,1.8
Dael,Fry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
Ben,Gibson,1,1,121,3420,53,55.7,818.4,248,14,682,112.2,11,0,4,8.8
Emilio,Nsue Lopez,0,0,10,320,5,31.9,47.6,38,0,49,11.9,1,0,0,0.2
Bernardo,Espinosa Zúñiga,0,0,35,975,13,10,224.8,39,3,198,27.4,4,0,2,0.1
Albert,Adomah,0,0,3,122,2,20.5,8.4,33,0,6,6,0,0,0,0
Stewart,Downing,1,3,77,2214,39,566.9,324.6,283,3,364,117.7,7,0,1,0.4
Adam,Clayton,0,2,70,2804,45,323.3,454.6,71,0,427,84.8,10,0,10,0.8
Grant,Leadbitter,1,0,28,710,12,139.9,93.4,88,1,125,31.9,3,0,1,0
Adam,Reach,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adam,Forshaw,0,2,77,2695,36,511.6,275.6,240,3,401,102.5,9,0,4,0.4
Carlos,De Pena,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2
Julien,de Sart,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Viktor,Fischer,0,3,25,438,6,121.7,82.6,165,0,91,37,1,0,0,0.2
Marten,de Roon,4,1,91,2773,44,245.8,370.6,390,5,399,100.1,8,0,8,1.8
David,Nugent,0,0,4,43,0,3.3,3.4,2,0,11,0.7,0,0,0,0.2
Jordan,Rhodes,0,0,8,211,2,28,21.6,104,0,21,15.4,0,0,0,0.2
Cristhian,Stuani,4,0,54,1355,15,132.4,224,430,4,203,78.3,4,0,4,2.4
Fraser,Forster,0,0,134,3420,48,10,553.6,0,4,625,56.4,14,0,3,5
Paulo,Gazzaniga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ryan,Bertrand,2,5,123,2507,36,442.4,517.4,255,9,575,121.5,12,0,3,3.9
