id,name,squad,price,status,position,totalPoints,avgPoints,round0,round1,round2,round3,round4,round5,round6,round7
91,Phillipp Mwene,AUT,3.9,eliminated,DEF,1,0.5,1,0,0,0,0,0,0,0
92,Marco Friedl,AUT,4.3,eliminated,DEF,1,1,0,1,0,0,0,0,0,0
93,David Affengruber,AUT,3.9,eliminated,DEF,0,0,0,0,0,0,0,0,0,0
94,Michael Svoboda,AUT,3.8,eliminated,DEF,0,0,0,0,0,0,0,0,0,0
95,Marko Arnautovic,AUT,6.0,eliminated,FWD,18,4.5,9,1,7,1,0,0,0,0
96,Michael Gregoritsch,AUT,6.0,eliminated,FWD,8,2.7,0,2,4,2,0,0,0,0
97,Sasa Kalajdzic,AUT,6.0,eliminated,FWD,10,3.3,1,0,8,1,0,0,0,0
98,Alexander Schlager,AUT,4.6,eliminated,GK,6,1.5,3,1,0,2,0,0,0,0
99,Patrick Pentz,AUT,4.6,eliminated,GK,0,0,0,0,0,0,0,0,0,0
101,Florian Wiegele,AUT,3.5,eliminated,GK,0,0,0,0,0,0,0,0,0,0
102,Carney Chukwuemeka,AUT,5.0,eliminated,MID,3,1,1,1,0,1,0,0,0,0
103,Konrad Laimer,AUT,5.8,eliminated,MID,13,3.3,2,1,7,3,0,0,0,0
104,Alessandro Schopf,AUT,5.3,eliminated,MID,0,0,0,0,0,0,0,0,0,0
105,Florian Grillitsch,AUT,5.5,eliminated,MID,2,1,0,0,1,1,0,0,0,0
106,Nicolas Seiwald,AUT,5.6,eliminated,MID,10,2.5,3,3,3,1,0,0,0,0
107,Marcel Sabitzer,AUT,6.8,eliminated,MID,15,3.8,1,2,10,2,0,0,0,0
108,Romano Schmid,AUT,6.0,eliminated,MID,16,4,10,3,1,2,0,0,0,0
109,Patrick Wimmer,AUT,6.0,eliminated,MID,2,1,1,1,0,0,0,0,0,0
110,Paul Wanner,AUT,5.6,eliminated,MID,6,1.5,1,2,1,2,0,0,0,0
111,Xaver Schlager,AUT,5.5,eliminated,MID,11,2.8,7,2,1,1,0,0,0,0
112,Christoph Baumgartner,AUT,6.7,eliminated,MID,0,0,0,0,0,0,0,0,0,0
114,Maxim De Cuyper,BEL,4.7,eliminated,DEF,16,2.7,0,9,2,1,2,2,0,0
115,Timothy Castagne,BEL,4.7,eliminated,DEF,10,1.7,0,1,2,1,2,4,0,0
116,Arthur Theate,BEL,4.5,eliminated,DEF,4,1.3,0,1,2,1,0,0,0,0
117,Thomas Meunier,BEL,4.8,eliminated,DEF,12,4,7,1,0,4,0,0,0,0
118,Zeno Debast,BEL,4.3,eliminated,DEF,0,0,0,0,0,0,0,0,0,0
119,Axel Witsel,BEL,5.0,eliminated,MID,1,0.5,0,0,0,0,1,0,0,0
120,Koni De Winter,BEL,4.2,eliminated,DEF,0,0,0,0,0,0,0,0,0,0
121,Brandon Mechele,BEL,3.9,eliminated,DEF,16,2.7,2,9,2,0,2,1,0,0
122,Joaquin Seys,BEL,3.9,eliminated,DEF,1,1,0,0,0,0,0,1,0,0
123,Nathan Ngoy,BEL,3.7,eliminated,DEF,12,3,2,7,0,0,2,1,0,0
124,Romelu Lukaku,BEL,7.4,eliminated,FWD,31,5.2,1,1,11,9,8,1,0,0
125,Jeremy Doku,BEL,7.5,eliminated,MID,7,1.4,2,0,1,1,1,2,0,0
127,Dodi Lukebakio,BEL,5.9,eliminated,FWD,5,1.7,0,1,0,2,2,0,0,0
128,Alexis Saelemaekers,BEL,5.7,eliminated,MID,12,3,0,1,9,0,1,1,0,0
129,Charles De Ketelaere,BEL,5.6,eliminated,MID,34,6.8,2,0,2,1,19,10,0,0
132,Senne Lammens,BEL,4.6,eliminated,GK,1,1,0,0,0,0,0,1,0,0
135,Nicolas Raskin,BEL,5.3,eliminated,MID,19,3.2,1,1,4,3,8,2,0,0
136,Amadou Onana,BEL,5.9,eliminated,MID,4,1,1,0,1,1,1,0,0,0
137,Youri Tielemans,BEL,6.1,eliminated,MID,28,5.6,2,3,2,18,3,0,0,0
138,Kevin De Bruyne,BEL,7.5,eliminated,MID,19,3.8,2,3,12,1,0,1,0,0
139,Sead Kolasinac,BIH,4.3,eliminated,DEF,10,2.5,7,-1,2,2,0,0,0,0
140,Amar Dedic,BIH,4.3,eliminated,DEF,1,0.3,2,-2,0,1,0,0,0,0
141,Tarik Muharemovic,BIH,3.9,eliminated,DEF,0,0,2,-3,0,1,0,0,0,0
142,Nikola Katic,BIH,3.8,eliminated,DEF,4,1,1,-1,2,2,0,0,0,0
143,Stjepan Radeljic,BIH,3.7,eliminated,DEF,2,1,0,0,2,0,0,0,0,0
144,Nihad Mujakic,BIH,3.6,eliminated,DEF,0,0,0,0,0,0,0,0,0,0
145,Nidal Celik,BIH,3.5,eliminated,DEF,0,0,0,0,0,0,0,0,0,0
146,Ermedin Demirovic,BIH,6.2,eliminated,FWD,8,2,1,2,2,3,0,0,0,0
147,Edin Dzeko,BIH,6.1,eliminated,FWD,9,3,0,1,7,1,0,0,0,0
148,Jovo Lukic,BIH,5.6,eliminated,FWD,10,5,9,1,0,0,0,0,0,0
149,Haris Tabakovic,BIH,5.1,eliminated,FWD,1,1,0,0,0,1,0,0,0,0
150,Esmir Bajraktarevic,BIH,4.7,eliminated,FWD,6,1.5,2,1,2,1,0,0,0,0
151,Samed Bazdar,BIH,4.5,eliminated,FWD,1,1,1,0,0,0,0,0,0,0
152,Kerim Alajbegovic,BIH,4.2,eliminated,FWD,14,3.5,1,2,9,2,0,0,0,0
153,Nikola Vasilj,BIH,4.0,eliminated,GK,5,1.3,2,0,2,1,0,0,0,0
154,Osman Hadzikic,BIH,3.6,eliminated,GK,0,0,0,0,0,0,0,0,0,0
155,Martin Zlomislic,BIH,3.5,eliminated,GK,0,0,0,0,0,0,0,0,0,0
156,Amar Memic,BIH,4.7,eliminated,MID,6,1.5,3,1,1,1,0,0,0,0
157,Dzenis Burnic,BIH,4.9,eliminated,MID,2,1,1,0,1,0,0,0,0,0
158,Ivan Sunjic,BIH,5.1,eliminated,MID,5,1.3,1,2,1,1,0,0,0,0
159,Armin Gigovic,BIH,5.1,eliminated,MID,2,1,1,0,0,1,0,0,0,0
160,Ivan Basic,BIH,5.1,eliminated,MID,11,3.7,3,1,7,0,0,0,0,0
161,Benjamin Tahirovic,BIH,5.3,eliminated,MID,8,2,3,3,1,1,0,0,0,0
162,Amir Hadziahmetovic,BIH,5.5,eliminated,MID,4,4,0,4,0,0,0,0,0,0
164,Gabriel dos Santos Magalhaes,BRA,5.5,eliminated,DEF,22,4.4,2,7,7,5,1,0,0,0
165,Marcos Aoas Correa,BRA,5.2,eliminated,DEF,19,3.8,2,7,7,2,1,0,0,0
166,Roger Ibanez da Silva,BRA,4.4,eliminated,DEF,0,0,0,0,0,0,0,0,0,0
167,Danilo Luiz da Silva,BRA,4.3,eliminated,DEF,20,4,1,9,8,1,1,0,0,0
168,Douglas dos Santos Justino de Melo,BRA,4.3,eliminated,DEF,22,4.4,2,8,9,2,1,0,0,0
169,Gleison Bremer Silva Nascimento,BRA,4.3,eliminated,DEF,0,0,0,0,0,0,0,0,0,0
170,Leonardo Pereira,BRA,4.2,eliminated,DEF,0,0,0,0,0,0,0,0,0,0
173,Vinicius Jose Paixao de Oliveira Junior,BRA,10.0,eliminated,MID,39,7.8,8,12,15,2,2,0,0,0
174,Matheus Santos Carneiro da Cunha,BRA,7.3,eliminated,FWD,31,6.2,1,15,10,2,3,0,0,0
176,Gabriel Teodoro Martinelli Silva,BRA,6.5,eliminated,MID,14,3.5,0,1,1,9,3,0,0,0
177,Luiz Henrique Andre Rosa da Silva,BRA,6.1,eliminated,FWD,1,1,1,0,0,0,0,0,0,0
178,Igor Thiago Nascimento Rodrigues,BRA,5.9,eliminated,FWD,2,2,2,0,0,0,0,0,0,0
179,Rayan Vitor Simplicio Rocha,BRA,5.6,eliminated,FWD,12,3,0,1,7,2,2,0,0,0
181,Endrick Felipe Moreira de Sousa,BRA,5.5,eliminated,FWD,4,1,0,1,1,1,1,0,0,0
182,Ederson Santana de Moraes,BRA,5.0,eliminated,GK,0,0,0,0,0,0,0,0,0,0
183,Alisson Ramses Becker,BRA,5.0,eliminated,GK,22,4.4,2,8,8,2,2,0,0,0
186,Fabio Henrique Tavares,BRA,5.2,eliminated,MID,2,0.7,1,0,0,1,0,0,0,0
187,Danilo dos Santos de Oliveira,BRA,5.6,eliminated,MID,5,1.3,1,1,0,1,2,0,0,0
188,Carlos Henrique Casimiro,BRA,6.3,eliminated,MID,24,4.8,0,7,4,9,4,0,0,0
190,Lucas Tolentino Coelho de Lima,BRA,6.5,eliminated,MID,16,4,3,8,4,1,0,0,0,0
195,Joao Paulo Moreira Fernandes,CPV,4.6,eliminated,MID,4,2,1,0,3,0,0,0,0,0
196,Jair Semedo Monteiro,CPV,4.7,eliminated,MID,5,2.5,0,1,0,4,0,0,0,0
198,Kevin Lenini Goncalves Pereira de Pina,CPV,4.7,eliminated,MID,19,4.8,3,11,3,2,0,0,0,0
199,Steven Moreira,CPV,3.9,eliminated,DEF,11,2.8,9,1,1,0,0,0,0,0
200,Wagner Fabricio Cardoso de Pina,CPV,3.8,eliminated,DEF,8,8,0,0,8,0,0,0,0,0
201,Roberto Carlos Lopes,CPV,3.7,eliminated,DEF,19,4.8,9,1,9,0,0,0,0,0
202,Kelvin Spencer Pires,CPV,3.6,eliminated,DEF,0,0,0,0,0,0,0,0,0,0
203,Sidny Lopes Cabral,CPV,3.5,eliminated,DEF,17,5.7,8,0,0,9,0,0,0,0
205,Edilson Alberto Monteiro Sanches Borges,CPV,3.5,eliminated,DEF,16,4,9,0,9,-2,0,0,0,0
206,Ryan Isaac Mendes da Graca,CPV,4.9,eliminated,FWD,13,3.3,2,2,2,7,0,0,0,0
207,Jovane Eduardo Borges Cabral,CPV,4.9,eliminated,FWD,4,2,2,0,0,2,0,0,0,0
208,Dailon Rocha Livramento do Rosario,CPV,4.9,eliminated,FWD,5,1.7,2,0,2,1,0,0,0,0
209,Nuno Miguel da Costa Joia,CPV,4.7,eliminated,FWD,5,1.3,1,1,1,2,0,0,0,0
210,Garry Mendes Rodrigues,CPV,4.7,eliminated,FWD,2,1,0,1,1,0,0,0,0,0
211,Willy Johnson Semedo Afonso,CPV,4.5,eliminated,FWD,4,1.3,1,0,2,1,0,0,0,0
214,Josimar Jose Evora Dias,CPV,3.9,eliminated,GK,24,6,11,1,10,2,0,0,0,0
215,Carlos Joaquim Antunes dos Santos,CPV,3.6,eliminated,GK,0,0,0,0,0,0,0,0,0,0
216,Marcio Salomao Brazao da Rosa,CPV,3.5,eliminated,GK,0,0,0,0,0,0,0,0,0,0
217,Telmo Emanuel Gomes Arcanjo,CPV,4.9,eliminated,MID,5,2.5,1,4,0,0,0,0,0,0
218,Deroy d'Encarnacao Duarte,CPV,4.9,eliminated,MID,16,4,1,1,4,10,0,0,0,0
219,Laros Michael d'Encarnacao  Duarte,CPV,5.1,eliminated,MID,7,1.8,3,1,1,2,0,0,0,0
220,Richie Laryea,CAN,3.9,eliminated,DEF,22,4.4,2,9,1,9,1,0,0,0
221,Derek Cornelius,CAN,4.0,eliminated,DEF,12,3,2,0,1,9,0,0,0,0
223,Joel Waterman,CAN,3.7,eliminated,DEF,0,0,0,0,0,0,0,0,0,0
225,Luc De Fougerolles,CAN,3.5,eliminated,DEF,11,2.2,1,9,1,1,-1,0,0,0
226,Jonathan David,CAN,7.0,eliminated,FWD,31,6.2,2,24,2,2,1,0,0,0
227,Cyle Larin,CAN,6.2,eliminated,FWD,21,5.3,8,13,0,0,0,0,0,0
228,Tajon Buchanan,CAN,5.5,eliminated,FWD,15,3,2,7,2,2,2,0,0,0
229,Liam Millar,CAN,5.1,eliminated,FWD,4,1.3,2,0,0,2,0,0,0,0
230,Tani Oluwaseyi,CAN,4.9,eliminated,FWD,9,1.8,2,1,1,3,2,0,0,0
232,Jacen Russell-Rowe,CAN,4.5,eliminated,FWD,0,0,0,0,0,0,0,0,0,0
233,Daniel Jebbison,CAN,4.2,eliminated,FWD,0,0,0,0,0,0,0,0,0,0
235,Maxime Crepeau,CAN,4.0,eliminated,GK,19,3.8,2,9,1,7,0,0,0,0
236,Dayne St. Clair,CAN,3.8,eliminated,GK,0,0,0,0,0,0,0,0,0,0
237,Owen Goodman,CAN,3.5,eliminated,GK,0,0,0,0,0,0,0,0,0,0
238,Ali Ahmed,CAN,4.9,eliminated,MID,13,3.3,1,8,1,0,3,0,0,0
239,Ralph Priso,CAN,4.9,eliminated,MID,0,0,0,0,0,0,0,0,0,0
240,Niko Sigur,CAN,4.9,eliminated,MID,3,1,0,1,0,0,2,0,0,0
241,Nathan Saliba,CAN,5.1,eliminated,MID,21,7,0,13,7,1,0,0,0,0
242,Mathieu Choiniere,CAN,5.3,eliminated,MID,1,1,0,0,1,0,0,0,0,0
243,Jonathan Osorio,CAN,5.6,eliminated,MID,2,1,1,0,0,0,1,0,0,0
244,Marcelo Flores,CAN,5.7,eliminated,MID,0,0,0,0,0,0,0,0,0,0
245,Ismael Kone,CAN,6.0,eliminated,MID,3,1.5,2,1,0,0,0,0,0,0
246,Kevin Castano,COL,4.3,eliminated,MID,2,1,1,0,1,0,0,0,0,0
247,Richard Rios,COL,4.7,eliminated,MID,4,0.8,1,1,1,0,1,0,0,0
248,Daniel Munoz,COL,4.6,eliminated,DEF,38,7.6,9,14,1,7,7,0,0,0
249,Jhon Lucumi,COL,4.3,eliminated,DEF,37,7.4,2,8,9,9,9,0,0,0
250,Davinson Sanchez,COL,4.3,eliminated,DEF,37,7.4,2,9,9,9,8,0,0,0
251,Deiver Machado,COL,3.9,eliminated,DEF,9,9,0,0,9,0,0,0,0,0
252,Johan Mojica,COL,3.9,eliminated,DEF,26,6.5,1,7,0,9,9,0,0,0
253,Santiago Arias,COL,3.9,eliminated,DEF,9,9,0,0,9,0,0,0,0,0
256,Luis Diaz,COL,8.1,eliminated,MID,23,4.6,11,3,3,3,3,0,0,0
257,Jhon Cordoba,COL,6.1,eliminated,FWD,4,1.3,0,1,2,1,0,0,0,0
259,Luis Suarez,COL,5.7,eliminated,FWD,12,2.4,2,1,1,7,1,0,0,0
261,Andres Gomez,COL,4.9,eliminated,FWD,1,1,1,0,0,0,0,0,0,0
262,Camilo Vargas,COL,4.3,eliminated,GK,34,6.8,2,7,9,9,7,0,0,0
263,David Ospina,COL,4.0,eliminated,GK,0,0,0,0,0,0,0,0,0,0
264,Alvaro Montero,COL,3.8,eliminated,GK,0,0,0,0,0,0,0,0,0,0
265,Jefferson Lerma,COL,4.9,eliminated,MID,13,2.6,2,2,3,3,3,0,0,0
266,Gustavo Puerta,COL,5.3,eliminated,MID,18,3.6,7,3,2,3,3,0,0,0
267,Juan Fernando Quintero,COL,5.6,eliminated,MID,8,2,0,4,1,2,1,0,0,0
268,Jaminton Campaz,COL,5.5,eliminated,MID,11,3.7,9,0,0,1,1,0,0,0
269,Jhon Arias,COL,6.3,eliminated,MID,24,4.8,2,4,4,10,4,0,0,0
270,James Rodriguez,COL,6.5,eliminated,MID,10,2,2,1,3,1,3,0,0,0
271,Jorge Carrascal,COL,6.1,eliminated,MID,0,0,0,0,0,0,0,0,0,0
272,Aaron Wan-Bissaka,COD,4.3,eliminated,DEF,7,1.8,2,2,2,1,0,0,0,0
273,Arthur Masuaku,COD,4.2,eliminated,DEF,19,4.8,7,9,2,1,0,0,0,0
274,Chancel Mbemba,COD,4.2,eliminated,DEF,9,2.3,1,2,2,4,0,0,0,0
275,Axel Tuanzebe,COD,4.0,eliminated,DEF,7,1.8,2,2,2,1,0,0,0,0
276,Joris Kayembe,COD,3.9,eliminated,DEF,4,1,1,1,1,1,0,0,0,0
277,Dylan Batubinsika,COD,3.8,eliminated,DEF,0,0,0,0,0,0,0,0,0,0
278,Steve Kapuadi,COD,3.7,eliminated,DEF,4,2,2,2,0,0,0,0,0,0
281,Yoane Wissa,COD,6.2,eliminated,FWD,30,7.5,9,2,17,2,0,0,0,0
282,Simon Banza,COD,5.6,eliminated,FWD,2,1,1,1,0,0,0,0,0,0
283,Cedric Bakambu,COD,6.5,eliminated,FWD,4,1.3,2,1,1,0,0,0,0,0
284,Meschack Elia,COD,4.9,eliminated,FWD,10,5,0,0,9,1,0,0,0,0
285,Fiston Mayele,COD,4.9,eliminated,FWD,9,4.5,0,0,8,1,0,0,0,0
287,Nathanael Mbuku,COD,4.5,eliminated,FWD,4,1.3,0,1,1,2,0,0,0,0
288,Brian Cipenga,COD,4.2,eliminated,FWD,11,5.5,0,0,2,9,0,0,0,0
289,Lionel Mpasi,COD,4.0,eliminated,GK,10,2.5,2,4,2,2,0,0,0,0
290,Matthieu Epolo,COD,3.7,eliminated,GK,0,0,0,0,0,0,0,0,0,0
291,Timothy Fayulu,COD,3.6,eliminated,GK,0,0,0,0,0,0,0,0,0,0
292,Ngal'ayel Mukau,COD,4.9,eliminated,MID,5,1.3,1,1,1,2,0,0,0,0
293,Samuel Moutoussamy,COD,5.1,eliminated,MID,9,2.3,2,2,2,3,0,0,0,0
294,Noah Sadiki,COD,5.3,eliminated,MID,6,1.5,2,1,2,1,0,0,0,0
295,Charles Pickel,COD,5.3,eliminated,MID,1,0.5,1,0,0,0,0,0,0,0
296,Edo Kayembe,COD,5.6,eliminated,MID,7,2.3,3,3,0,1,0,0,0,0
297,Theo Bongonda,COD,6.2,eliminated,MID,2,1,0,0,1,1,0,0,0,0
298,Christ Inao Oulai,CIV,4.6,eliminated,MID,7,1.8,1,3,1,2,0,0,0,0
299,Evan Ndicka,CIV,4.4,eliminated,DEF,0,0,0,0,0,0,0,0,0,0
300,Wilfried Singo,CIV,4.4,eliminated,DEF,14,7,12,2,0,0,0,0,0,0
301,Ousmane Diomande,CIV,4.3,eliminated,DEF,9,9,0,0,9,0,0,0,0,0
302,Odilon Kossounou,CIV,4.3,eliminated,DEF,12,3,1,1,9,1,0,0,0,0
303,Guela Doue,CIV,3.9,eliminated,DEF,19,4.8,8,1,9,1,0,0,0,0
304,Emmanuel Agbadou,CIV,3.9,eliminated,DEF,11,3.7,9,1,0,1,0,0,0,0
305,Ghislain Konan,CIV,4.0,eliminated,DEF,11,3.7,9,1,0,1,0,0,0,0
306,Clement Akpa,CIV,3.6,eliminated,DEF,0,0,0,0,0,0,0,0,0,0
307,Yan Diomande,CIV,5.9,eliminated,FWD,13,3.3,2,2,7,2,0,0,0,0
308,Nicolas Pepe,CIV,5.9,eliminated,FWD,24,6,2,1,14,7,0,0,0,0
309,Elye Wahi,CIV,5.9,eliminated,FWD,3,1,1,0,1,1,0,0,0,0
310,Amad Diallo,CIV,5.9,eliminated,FWD,26,6.5,9,7,1,9,0,0,0,0
311,Simon Adingra,CIV,5.6,eliminated,FWD,1,1,0,1,0,0,0,0,0,0
312,Evann Guessand,CIV,5.3,eliminated,FWD,2,1,0,1,0,1,0,0,0,0
314,Bazoumana Toure,CIV,4.5,eliminated,FWD,3,1,1,0,1,1,0,0,0,0
316,Alban Lafont,CIV,4.1,eliminated,GK,0,0,0,0,0,0,0,0,0,0
317,Yahia Fofana,CIV,4.2,eliminated,GK,19,4.8,9,2,7,1,0,0,0,0
318,Mohamed Kone,CIV,3.7,eliminated,GK,0,0,0,0,0,0,0,0,0,0
