assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,dreamteam_count,ea_index,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,id,in_dreamteam,influence,loaned_in,loaned_out,loans_in,loans_out,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_saved,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards
0,1,174,100,100,1,39476,0,0,-4,4,26.1,0,0,2,2.4,0.9,-1,Sokratis,1.4,21,0,27.4,12,False,231.4,0,0,0,0,1118,,2018-12-08T17:31:17Z,51,0,0,0,39476.jpg,1.2,0,0,Papastathopoulos,1.2,False,5,a,1,3,15.0,16,30574,251,110168,343,0.3,3.1,Sokratis,7
2,7,209,25,25,2,37605,0,0,-5,5,363.0,1,0,3,0.5,0.1,0,Mesut,1.0,14,3,73.3,13,False,236.4,0,0,0,0,975,Knee injury - 25% chance of playing,2018-12-29T11:31:16Z,80,0,0,0,37605.jpg,4.1,0,0,Özil,2.6,False,10,d,1,3,133.0,53,407447,27,568990,1625,0.1,6.6,Özil,1
6,1,172,100,100,3,41792,0,0,-3,3,253.0,0,0,3,2.6,1.1,2,Aaron,1.6,12,1,75.0,14,False,239.8,0,0,0,0,768,,2018-12-16T13:31:15Z,72,0,0,0,41792.jpg,2.9,0,0,Ramsey,0.9,False,8,a,1,3,256.0,50,157872,190,193215,202,0.2,6.9,Ramsey,0
4,0,177,100,100,0,153133,0,0,-1,1,198.4,0,0,3,3.6,2.1,5,Alex,2.6,19,2,70.7,15,False,223.2,0,0,0,0,931,,2018-09-03T09:01:13Z,54,0,0,0,153133.jpg,2.8,0,0,Iwobi,1.0,False,17,a,1,3,288.0,47,146507,1273,152913,429,0.5,8.7,Iwobi,0
0,0,0,100,100,0,153256,0,0,-2,2,1.1,0,0,3,1.1,-0.4,0,Mohamed,0.1,0,0,4.7,16,False,7.8,0,0,0,0,58,,2018-10-31T10:31:13Z,43,0,0,0,153256.jpg,1.0,0,0,Elneny,2.1,False,4,a,1,3,38.0,1,88609,144,160918,442,0.0,0.2,Elneny,0
2,2,280,100,100,3,84450,0,0,-2,2,368.2,0,0,3,2.9,1.4,1,Granit,1.9,27,2,88.8,17,False,407.0,0,0,0,0,1644,,2018-12-02T17:01:15Z,53,0,0,0,84450.jpg,2.7,0,0,Xhaka,2.6,False,34,a,1,3,111.0,51,173527,305,285052,885,0.4,9.6,Xhaka,7
1,6,176,0,0,0,57249,0,0,-3,3,249.6,2,0,3,0.0,0.0,0,Henrikh,2.4,17,4,82.4,18,False,235.8,0,0,0,0,838,Foot injury - Expected back 09 Feb,2018-12-21T11:31:16Z,67,0,0,0,57249.jpg,3.6,0,0,Mkhitaryan,4.2,False,7,i,1,3,337.0,51,795717,23,1302238,1171,0.4,7.6,Mkhitaryan,0
0,0,0,0,0,0,200641,0,0,-1,1,0.0,0,0,3,0.0,0.0,0,Reiss,0.0,0,0,0.0,19,False,0.0,0,0,0,0,0,Season-long loan to Hoffenheim,2018-09-02T07:29:58Z,44,0,0,0,200641.jpg,0.0,0,0,Nelson,0.4,False,48,u,1,3,0.0,0,4092,0,31621,28,0.0,0.0,Nelson,0
0,1,48,100,100,0,154043,0,0,-1,1,32.8,1,0,3,2.7,1.2,8,Ainsley,1.7,8,1,19.3,20,False,77.8,0,0,0,0,250,,2018-08-12T16:01:12Z,44,0,0,0,154043.jpg,2.6,0,0,Maitland-Niles,0.3,False,15,a,1,3,82.0,13,8016,891,29139,179,0.4,3.0,Maitland-Niles,0
1,3,63,0,0,0,50175,0,0,0,0,56.8,0,0,4,0.0,0.0,0,Danny,0.0,3,1,19.5,21,False,73.6,0,0,0,0,146,Ankle injury - Unknown return date,2018-11-08T23:01:14Z,65,0,0,0,50175.jpg,2.4,0,0,Welbeck,0.5,False,23,i,1,3,66.0,19,28492,20,47317,92,0.0,2.9,Welbeck,0
8,11,287,75,75,2,59966,-1,1,-1,1,257.5,1,0,4,3.8,2.6,1,Alexandre,4.0,15,6,123.4,22,False,430.6,0,0,0,0,1212,,2018-11-25T13:01:16Z,94,0,0,0,59966.jpg,4.6,0,0,Lacazette,7.5,False,9,a,1,3,551.0,88,1338899,2080,1197130,8940,0.4,9.3,Lacazette,1
4,21,453,100,100,4,54694,-1,1,4,-4,270.6,4,0,4,7.9,6.4,2,Pierre-Emerick,6.9,26,13,155.5,23,True,575.6,0,0,0,0,1550,,2018-11-18T23:31:16Z,114,0,0,0,54694.jpg,6.2,0,0,Aubameyang,35.1,False,14,a,1,3,710.0,123,2462158,12809,1480267,15659,0.6,10.7,Aubameyang,0
3,6,298,100,100,3,198849,0,0,1,-1,176.5,1,0,3,5.3,3.8,2,Lucas,4.3,23,2,63.7,450,False,329.0,0,0,0,0,1443,,2018-09-23T14:31:13Z,51,0,0,0,198849.jpg,2.9,0,0,Torreira,7.3,False,11,a,1,3,130.0,58,583874,2856,281121,6620,0.8,11.4,Torreira,4
0,0,165,100,100,1,242166,0,0,0,0,168.6,0,0,3,2.6,1.1,1,Matteo,1.6,17,0,38.4,451,False,167.6,0,0,0,0,1013,,2018-11-01T01:01:15Z,45,0,0,0,242166.jpg,1.4,0,0,Guendouzi,1.8,False,29,a,1,3,48.0,23,211994,433,209785,786,0.4,5.1,Guendouzi,4
0,0,0,None,None,0,98980,0,0,0,0,0.0,0,0,1,1.0,-0.5,0,Emiliano,0.0,0,0,0.0,542,False,0.0,0,0,0,0,0,,None,40,0,0,0,98980.jpg,0.0,0,0,Martínez,0.3,False,26,a,1,3,0.0,0,19902,79,8108,166,0.0,0.0,Martínez,0
0,0,0,0,0,0,209289,0,0,0,0,0.0,0,0,3,0.0,0.0,0,Emile,0.0,0,0,0.0,545,False,0.0,0,0,0,0,0,Hip injury - Expected back 01 Jan,2018-12-18T13:31:15Z,45,0,0,0,209289.jpg,0.0,0,0,Smith-Rowe,0.0,False,55,i,1,3,0.0,0,431,4,350,6,0.0,0.0,Smith-Rowe,0
0,0,0,None,None,0,209037,0,0,0,0,0.0,0,0,2,1.0,-0.5,0,Zech,0.0,0,0,0.0,546,False,0.0,0,0,0,0,0,,None,40,0,0,0,209037.jpg,0.0,0,0,Medley,0.1,False,47,a,1,3,0.0,0,3872,36,2214,39,0.0,0.0,Medley,0
0,0,3,None,None,0,205533,0,0,0,0,0.0,0,0,4,1.0,-0.5,0,Edward,0.0,0,0,0.0,552,False,0.0,0,0,0,0,1,,None,50,0,0,0,205533.jpg,1.0,0,0,Nketiah,0.0,False,49,a,1,3,0.0,1,1217,25,799,20,0.0,0.2,Nketiah,0
0,0,0,None,None,0,223340,0,0,0,0,0.0,0,0,3,1.0,-0.5,0,Bukayo,0.0,0,0,0.0,563,False,0.0,0,0,0,0,0,,None,45,0,0,0,223340.jpg,0.0,0,0,Saka,0.0,False,87,a,1,3,0.0,0,147,9,64,7,0.0,0.0,Saka,0
0,0,0,None,None,0,200089,0,0,0,0,0.0,0,0,3,1.0,-0.5,0,Joseph,0.0,0,0,0.0,566,False,0.0,0,0,0,0,0,,None,45,0,0,0,200089.jpg,0.0,0,0,Willock,0.0,False,59,a,1,3,0.0,0,34,8,14,6,0.0,0.0,Willock,0
0,4,315,100,100,5,40349,-1,1,-1,1,0.0,0,0,1,2.1,1.6,0,Asmir,2.1,33,0,38.9,24,False,387.6,0,0,0,0,1710,,2018-11-13T09:31:15Z,44,0,0,0,40349.jpg,3.1,0,53,Begovic,3.7,False,27,a,2,91,0.0,58,123017,427,173038,862,0.5,12.9,Begovic,0
0,0,0,None,None,0,18726,0,0,0,0,0.0,0,0,1,0.0,-0.5,0,Artur,0.0,0,0,0.0,25,False,0.0,0,0,0,0,0,,None,40,0,0,0,18726.jpg,0.0,0,0,Boruc,5.9,False,1,a,2,91,0.0,0,82636,212,146152,981,0.0,0.0,Boruc,0
2,0,244,0,0,4,15149,0,0,-1,1,173.3,0,0,2,0.0,0.0,0,Simon,1.6,24,0,54.4,26,False,332.4,0,0,0,0,1227,Anterior cruciate ligament  - Expected back 25 Jun,2018-12-26T18:01:16Z,44,0,0,0,15149.jpg,2.4,0,0,Francis,0.4,False,2,i,2,91,39.0,40,25127,5,33650,393,0.4,9.1,Francis,1
1,4,330,None,None,5,56917,0,0,0,0,55.6,1,0,2,1.1,0.6,0,Steve,1.1,33,1,66.3,27,False,461.2,0,0,0,0,1710,,None,45,1,0,0,56917.jpg,2.8,0,0,Cook,7.0,False,3,a,2,91,147.0,53,695716,618,465123,2460,0.2,11.8,Steve Cook,2
0,0,180,100,100,3,41320,0,0,-3,3,164.2,0,0,2,1.3,0.8,0,Charlie,1.3,21,0,45.5,28,False,194.4,0,0,0,0,1042,,2018-10-27T14:01:13Z,42,0,0,0,41320.jpg,2.2,0,0,Daniels,4.1,False,11,a,2,91,97.0,26,76925,562,707664,634,0.3,6.2,Daniels,2
0,0,184,0,0,4,54469,0,0,-1,1,70.2,0,0,2,0.0,0.0,0,Adam,0.0,12,1,29.4,29,False,172.4,0,0,0,0,965,Knee injury - Expected back 23 Feb,2018-11-10T17:31:13Z,44,0,0,0,54469.jpg,3.1,1,0,Smith,0.4,False,15,i,2,91,51.0,37,60116,2,76070,109,0.0,8.4,Adam Smith,1
0,0,38,100,100,0,149484,0,0,-2,2,16.3,0,0,2,0.6,0.1,0,Tyrone,0.6,4,0,6.8,30,False,48.6,0,0,0,0,133,,2018-12-15T17:01:15Z,43,0,0,0,149484.jpg,1.0,0,0,Mings,0.1,False,26,a,2,91,2.0,4,1961,18,7308,22,0.1,0.9,Mings,0
0,5,328,100,100,5,126184,0,0,0,0,24.5,0,0,2,1.4,0.9,0,Nathan,1.4,33,1,68.5,31,False,475.6,0,0,0,0,1710,,2018-08-05T11:01:10Z,50,0,0,0,126184.jpg,2.8,0,0,Aké,4.2,False,5,a,2,91,185.0,53,208368,289,212483,1007,0.3,10.6,Aké,2
0,0,0,None,None,0,222434,0,0,-2,2,0.0,0,0,2,0.0,-0.5,0,Jack,0.0,0,0,0.0,32,False,0.0,0,0,0,0,0,,None,38,0,0,0,222434.jpg,0.0,0,0,Simpson,4.3,False,25,a,2,91,0.0,0,85148,3189,175946,1044,0.0,0.0,Simpson,0
0,0,0,100,100,0,20037,0,0,-2,2,0.0,0,0,3,0.0,-0.5,0,Marc,0.0,0,0,0.0,34,False,0.0,0,0,0,0,0,,2018-08-29T15:31:12Z,43,0,0,0,20037.jpg,0.0,0,0,Pugh,0.4,False,7,a,2,91,0.0,0,7322,53,26851,70,0.0,0.0,Pugh,0
0,0,113,None,None,2,15237,0,0,-4,4,97.1,0,0,3,1.6,1.1,0,Andrew,1.6,22,0,21.8,35,False,97.8,0,0,0,0,808,,None,46,0,0,0,15237.jpg,1.9,0,0,Surman,0.1,False,6,a,2,91,22.0,21,8318,23,21932,38,0.3,4.6,Surman,1
1,3,90,100,100,1,56872,0,0,0,0,133.9,0,0,3,1.6,1.1,0,Junior,1.6,13,1,47.9,36,False,104.2,0,0,0,0,542,,2018-11-10T17:31:13Z,60,0,0,0,56872.jpg,2.2,0,0,Stanislas,0.1,False,19,a,2,91,240.0,29,8014,24,8783,26,0.3,4.8,Stanislas,1
0,0,79,0,0,1,40387,0,0,-2,2,86.2,0,0,3,0.0,0.0,0,Dan,0.0,10,0,25.5,37,False,116.4,0,0,0,0,656,Knee injury - Expected back 02 Jan,2018-11-30T10:01:14Z,48,0,0,0,40387.jpg,1.3,0,0,Gosling,0.1,False,4,i,2,91,54.0,16,3134,6,6986,17,0.0,3.3,Gosling,3
0,0,18,None,None,0,103912,0,0,-5,5,75.8,0,0,3,0.3,-0.2,0,Jordon,0.3,6,0,15.1,38,False,21.0,0,0,0,0,204,,None,50,0,0,0,103912.jpg,1.1,0,0,Ibe,0.2,False,10,a,2,91,54.0,8,2956,18,24111,27,0.1,1.6,Ibe,0
0,0,91,0,0,3,155408,0,0,-3,3,50.4,0,0,3,0.0,0.0,0,Lewis,0.4,10,0,16.5,39,False,76.0,0,0,0,0,719,Anterior cruciate ligament  - Expected back 04 Jun,2018-12-06T14:31:16Z,47,0,0,0,155408.jpg,1.7,0,0,Cook,0.1,False,16,i,2,91,36.0,22,6851,5,18576,39,0.1,4.7,Lewis Cook,2
8,12,395,100,100,4,90105,0,0,7,-7,666.2,3,0,3,3.4,2.9,0,Ryan,3.4,31,4,146.0,40,False,482.4,0,0,0,0,1564,,2018-10-20T13:01:16Z,62,0,0,0,90105.jpg,5.1,0,0,Fraser,22.8,False,24,a,2,91,309.0,96,2475281,4855,1328161,13323,0.5,15.5,Fraser,1
0,0,0,0,0,0,122342,0,0,0,0,0.0,0,0,3,0.0,0.0,0,Emerson,0.0,0,0,0.0,41,False,0.0,0,0,0,0,0,Loaned to Hibernian,2018-08-09T20:43:58Z,45,0,0,0,122342.jpg,0.0,0,0,Hyndman,0.0,False,22,u,2,91,0.0,0,72,0,2565,6,0.0,0.0,Hyndman,0
1,5,209,None,None,5,111317,0,0,0,0,206.5,1,0,3,3.1,2.6,0,David,3.1,22,5,91.5,42,False,321.6,0,0,0,0,1191,,None,50,0,0,0,111317.jpg,3.9,0,0,Brooks,3.5,False,20,a,2,91,386.0,67,371170,5812,179371,2610,0.6,13.4,Brooks,2
8,11,302,100,100,5,75115,0,0,7,-7,284.7,4,0,4,3.3,2.8,0,Callum,3.3,25,8,137.3,43,False,415.4,0,0,0,0,1509,,2018-12-19T01:01:15Z,67,0,1,0,75115.jpg,5.4,0,0,Wilson,31.6,False,13,a,2,91,675.0,97,3088959,10323,1627441,15701,0.5,14.5,Wilson,3
0,0,17,100,100,0,178304,0,0,-1,1,8.2,0,0,4,0.7,0.2,0,Lys,0.7,7,0,3.3,44,False,0.6,0,0,0,0,95,,2018-09-01T13:01:13Z,49,0,0,0,178304.jpg,0.9,0,0,Mousset,0.2,False,9,a,2,91,28.0,10,9076,43,16617,54,0.1,2.0,Mousset,1
2,9,201,100,100,5,78007,0,0,-2,2,211.2,2,0,4,2.0,1.5,0,Joshua,2.0,21,5,91.2,45,False,279.6,0,0,0,0,1315,,2018-10-26T10:01:17Z,63,0,0,0,78007.jpg,4.1,0,0,King,2.6,False,17,a,2,91,426.0,65,361167,839,629979,1252,0.3,10.3,King,1
0,0,12,None,None,0,7958,0,0,-4,4,0.0,0,0,4,0.0,-0.5,0,Jermain,0.0,2,0,2.6,46,False,3.0,0,0,0,0,22,,None,56,0,0,0,7958.jpg,1.0,0,0,Defoe,0.4,False,18,a,2,91,23.0,4,9468,44,40620,72,0.0,0.7,Defoe,0
0,0,53,75,75,0,171129,0,0,-3,3,116.1,0,0,2,0.2,-0.2,0,Diego,0.3,9,0,20.0,473,False,66.0,0,0,0,0,331,,2018-09-28T10:01:14Z,42,0,0,0,171129.jpg,0.7,0,0,Rico,0.0,False,21,a,2,91,18.0,4,6255,13,6855,9,0.1,1.0,Rico,0
1,3,182,100,100,5,152551,0,0,0,0,127.9,0,0,3,1.0,0.5,0,Jefferson,1.0,25,1,50.4,494,False,257.2,0,0,0,0,1289,,2018-11-25T17:01:14Z,45,1,0,0,152551.jpg,2.3,0,0,Lerma,0.4,False,8,a,2,91,119.0,34,39313,86,35280,197,0.2,7.6,Lerma,9
0,7,318,0,0,3,131897,0,0,0,0,0.0,0,0,1,0.0,0.0,0,Mathew,1.9,27,0,43.1,47,False,431.0,0,0,0,0,1710,Away on International duty with Australia at the Asian Cup.  - Expected back 09 Feb,2018-12-26T22:31:37Z,45,0,0,0,131897.jpg,3.3,0,60,Ryan,4.1,False,1,n,3,36,0.0,63,228708,40,272438,5798,0.4,14.0,Ryan,0
0,5,286,100,100,4,83299,0,0,0,0,49.4,1,0,2,1.4,1.4,6,Lewis,1.4,23,2,60.5,48,False,417.8,0,0,0,0,1531,,2018-12-22T17:01:17Z,45,0,0,0,83299.jpg,2.9,1,0,Dunk,3.2,False,5,a,3,36,136.0,53,275494,482,256167,1096,0.3,11.8,Dunk,3
2,5,300,100,100,4,61933,0,0,1,-1,47.9,2,0,2,2.3,2.3,6,Shane,2.3,22,3,73.9,49,False,533.2,0,0,0,0,1467,,2018-12-04T22:01:16Z,46,0,0,0,61933.jpg,3.8,1,0,Duffy,4.0,False,4,a,3,36,157.0,64,450467,1737,400489,995,0.5,13.9,Duffy,3
1,4,132,100,100,3,11352,0,0,-1,1,65.3,1,0,2,0.4,0.4,0,Bruno,0.4,6,0,18.4,50,False,104.4,0,0,0,0,619,,2018-12-01T17:31:14Z,44,0,0,0,11352.jpg,3.9,0,0,Saltor Grau,0.5,False,2,a,3,36,14.0,31,49661,17,42137,247,0.1,7.0,Bruno,2
0,0,158,100,100,3,42748,0,0,-1,1,58.9,0,0,2,0.1,0.1,0,Gaëtan,0.1,19,0,18.6,51,False,128.6,0,0,0,0,1068,,2018-10-20T13:01:16Z,44,0,0,0,42748.jpg,2.2,0,0,Bong,0.2,False,3,a,3,36,0.0,29,6996,8,9473,33,0.0,6.6,Bong,0
0,0,0,None,None,0,43808,0,0,-2,2,0.0,0,0,2,0.0,0.0,0,Markus,0.0,0,0,0.0,52,False,0.0,0,0,0,0,0,,None,38,0,0,0,43808.jpg,0.0,0,0,Suttner,5.0,False,29,a,3,36,0.0,0,85217,1692,253540,1005,0.0,0.0,Suttner,0
0,0,0,None,None,0,74375,0,0,-2,2,0.0,0,0,2,0.0,0.0,0,Ezequiel,0.0,0,0,0.0,53,False,0.0,0,0,0,0,0,,None,38,0,0,0,74375.jpg,0.0,0,0,Schelotto,1.8,False,21,a,3,36,0.0,0,45211,1311,83092,609,0.0,0.0,Schelotto,0
0,0,86,None,None,0,52484,0,0,-3,3,1.1,1,0,2,1.9,1.9,0,Leon,1.9,10,1,16.2,54,False,134.0,0,0,0,0,591,,None,42,0,0,0,52484.jpg,1.9,0,0,Balogun,0.2,False,14,a,3,36,27.0,15,8568,42,9827,74,0.5,3.6,Balogun,2
4,1,176,None,None,2,83543,0,0,-2,2,291.3,0,0,3,1.0,1.0,0,Anthony,1.0,21,1,74.1,55,False,240.2,0,0,0,0,1084,,None,53,0,0,0,83543.jpg,2.7,0,0,Knockaert,0.6,False,11,a,3,36,210.0,46,145177,12,144999,238,0.2,8.7,Knockaert,3
0,0,138,100,100,3,40845,0,0,-1,1,73.6,0,0,3,1.1,1.1,3,Dale,1.1,17,0,25.9,56,False,172.8,0,0,0,0,1054,,2018-11-10T15:01:14Z,44,0,0,0,40845.jpg,1.6,1,0,Stephens,3.4,False,6,a,3,36,13.0,22,57904,129,425914,467,0.2,5.0,Stephens,3
1,0,104,None,None,3,38490,0,0,-1,1,52.9,0,0,3,0.1,0.1,0,Beram,0.1,11,1,28.1,57,False,180.6,0,0,0,0,688,,None,44,0,0,0,38490.jpg,2.5,0,0,Kayal,0.6,False,7,a,3,36,47.0,25,88297,14,60368,429,0.0,5.7,Kayal,4
5,5,233,None,None,4,109345,0,0,0,0,442.1,1,0,3,4.3,4.3,3,Solomon,4.3,24,1,94.7,58,False,299.2,0,0,0,0,1547,,None,50,0,0,0,109345.jpg,3.4,0,0,March,1.5,False,20,a,3,36,204.0,67,149897,1186,70199,1277,0.9,13.4,March,0
0,3,118,100,100,1,60307,0,0,-3,3,294.3,1,0,3,2.0,2.0,3,Pascal,2.0,11,1,56.8,59,False,163.2,0,0,0,0,831,,2018-09-03T16:01:13Z,67,0,1,0,60307.jpg,2.3,0,0,Groß,1.5,False,13,a,3,36,110.0,27,47575,37,339871,100,0.3,4.0,Groß,0
0,0,174,100,100,2,66242,0,0,-2,2,95.2,0,0,3,2.1,2.1,3,Davy,2.1,22,0,34.0,60,False,190.8,0,0,0,0,1412,,2018-10-05T21:01:15Z,48,0,0,0,66242.jpg,2.1,0,0,Pröpper,0.1,False,24,a,3,36,53.0,33,3130,29,8386,15,0.4,6.9,Pröpper,1
2,0,67,0,0,2,167473,0,0,-1,1,60.5,0,0,3,0.0,0.0,0,José Heriberto,0.9,6,0,26.0,61,False,58.8,0,0,0,0,565,Knee injury - Expected back 02 Jan,2018-12-04T22:31:16Z,59,0,0,0,167473.jpg,2.4,0,0,Izquierdo Mena,0.1,False,19,i,3,36,140.0,22,4256,2,12066,16,0.2,3.7,Izquierdo,1
0,11,212,100,100,2,20529,-1,1,-1,1,110.3,1,0,4,1.9,1.9,1,Glenn,1.9,18,8,79.5,62,False,287.4,0,0,0,0,1227,,2018-12-08T14:01:16Z,64,0,0,0,20529.jpg,3.6,0,0,Murray,3.2,False,17,a,3,36,404.0,72,600059,607,483591,4253,0.3,11.1,Murray,3
0,0,0,0,0,0,38499,0,0,-1,1,0.0,0,0,4,0.0,0.0,0,Tomer,0.0,0,0,0.0,63,False,0.0,0,0,0,0,0,Season-long loan to Queens Park Rangers,2018-08-23T13:01:11Z,49,0,0,0,38499.jpg,0.0,0,0,Hemed,0.1,False,25,u,3,36,0.0,0,1339,0,10821,12,0.0,0.0,Hemed,0
0,0,0,0,0,0,28462,0,0,0,0,0.0,0,0,4,0.0,0.0,0,Sam,0.0,0,0,0.0,64,False,0.0,0,0,0,0,0,Transferred to Reading,2018-08-01T08:30:27Z,45,0,0,0,28462.jpg,0.0,0,0,Baldock,0.3,False,9,u,3,36,0.0,0,1364,13,15630,18,0.0,0.0,Baldock,0
0,6,100,100,100,2,106757,0,0,-2,2,105.6,2,0,4,3.1,3.1,9,Jürgen,3.1,5,2,39.6,65,False,102.4,0,0,0,0,486,,2018-11-10T18:01:14Z,53,0,0,0,106757.jpg,2.3,0,0,Locadia,0.2,False,9,a,3,36,193.0,32,9912,1756,7686,377,0.6,6.0,Locadia,1
0,2,56,100,100,1,93284,0,0,0,0,10.8,0,0,4,2.9,2.9,2,Florin,2.9,6,2,29.8,66,False,85.6,0,0,0,0,436,,2018-09-22T15:31:13Z,50,0,0,0,93284.jpg,2.3,0,0,Andone,0.3,False,10,a,3,36,203.0,23,32947,658,20064,466,0.6,4.6,Andone,1
0,2,29,100,100,1,50093,0,0,0,0,0.0,0,0,1,1.3,1.3,9,David,1.3,0,0,3.1,179,False,31.2,0,0,0,0,90,,2018-11-08T15:31:14Z,40,0,0,0,50093.jpg,9.0,0,4,Button,1.9,False,27,a,3,36,0.0,9,50805,5339,39412,555,0.3,2.3,Button,0
0,0,0,None,None,0,49262,0,0,0,0,0.0,0,0,1,0.0,0.0,0,Jason,0.0,0,0,0.0,439,False,0.0,0,0,0,0,0,,None,40,0,0,0,49262.jpg,0.0,0,0,Steele,1.4,False,23,a,3,36,0.0,0,22609,72,26286,285,0.0,0.0,Steele,0
1,0,133,None,None,1,209362,0,0,-3,3,88.3,0,0,2,2.6,2.6,6,Bernardo,2.6,11,0,32.4,440,False,215.8,0,0,0,0,832,,None,42,0,0,0,209362.jpg,2.1,0,0,Fernandes da Silva Junior,0.1,False,30,a,3,36,18.0,21,5161,466,9628,120,0.6,5.0,Bernardo,2
0,0,74,None,None,0,227127,0,0,-3,3,98.0,0,0,3,1.1,1.1,0,Yves,1.1,15,0,32.8,466,False,118.8,0,0,0,0,861,,None,47,0,0,0,227127.jpg,1.3,0,0,Bissouma,0.0,False,8,a,3,36,111.0,21,1304,4,2850,11,0.2,4.5,Bissouma,3
