code,web_name,first_name,second_name,position_2023_24,position_2024_25,position_2025_26,position_changed,team_2023_24,team_2024_25,team_2025_26,team_changed,played_all_seasons,points_3yr_total,minutes_3yr_total,points_per_90_3yr
171314,Rúben,Rúben,dos Santos Gato Alves Dias,DEF,DEF,DEF,False,Man City,Man City,Man City,False,True,291.0,6965.0,3.7602297200287147
85633,Sels,Matz,Sels,GK,GK,GK,False,Nott'm Forest,Nott'm Forest,Nott'm Forest,False,True,289.0,7527.0,3.4555599840573934
440089,Damsgaard,Mikkel,Damsgaard,MID,MID,MID,False,Brentford,Brentford,Brentford,False,True,289.0,5786.0,4.495333563774628
232928,Garner,James,Garner,MID,MID,MID,False,Everton,Everton,Everton,False,True,288.0,8004.0,3.2383808095952022
249231,Lewis-Potter,Keane,Lewis-Potter,MID,MID,DEF,True,Brentford,Brentford,Brentford,False,True,282.0,6480.0,3.9166666666666665
441266,Gravenberch,Ryan,Gravenberch,MID,MID,MID,False,Liverpool,Liverpool,Liverpool,False,True,281.0,7261.0,3.4829913235091583
451340,Mitoma,Mitoma,Kaoru,MID,MID,MID,False,Brighton,Brighton,Brighton,False,True,281.0,5796.0,4.36335403726708
179268,Cucurella,Marc,Cucurella Saseta,DEF,DEF,DEF,False,Chelsea,Chelsea,Chelsea,False,True,281.0,7477.0,3.3823726093352953
544877,Kerkez,Milos,Kerkez,DEF,DEF,DEF,False,Bournemouth,Bournemouth,Liverpool,True,True,278.0,7553.0,3.312591023434397
198869,White,Benjamin,White,DEF,DEF,DEF,False,Arsenal,Arsenal,Arsenal,False,True,277.0,4881.0,5.107559926244622
215136,N.Williams,Neco,Williams,DEF,DEF,DEF,False,Nott'm Forest,Nott'm Forest,Nott'm Forest,False,True,276.0,7421.0,3.347257781970085
212319,Richarlison,Richarlison,de Andrade,MID,FWD,FWD,True,Spurs,Spurs,Spurs,False,True,276.0,3932.0,6.317395727365208
169528,Robinson,Antonee,Robinson,DEF,DEF,DEF,False,Fulham,Fulham,Fulham,False,True,275.0,7919.0,3.1253946205328953
575476,Murillo,Murillo,Costa dos Santos,DEF,DEF,DEF,False,Nott'm Forest,Nott'm Forest,Nott'm Forest,False,True,271.0,8108.0,3.0081401085347803
101188,Digne,Lucas,Digne,DEF,DEF,DEF,False,Aston Villa,Aston Villa,Aston Villa,False,True,271.0,6595.0,3.698256254738438
61256,Casemiro,Carlos Henrique,Casimiro,MID,MID,MID,False,Man Utd,Man Utd,Man Utd,False,True,271.0,6045.0,4.034739454094293
433154,McNeil,Dwight,McNeil,MID,MID,MID,False,Everton,Everton,Everton,False,True,270.0,5418.0,4.485049833887043
448089,J.Gomes,João Victor,Gomes da Silva,MID,MID,MID,False,Wolves,Wolves,Wolves,False,True,269.0,8450.0,2.86508875739645
149065,José Sá,José,Malheiro de Sá,GK,GK,GK,False,Wolves,Wolves,Wolves,False,True,268.0,7717.0,3.125566930154205
180736,Chalobah,Trevoh,Chalobah,DEF,DEF,DEF,False,Chelsea,Chelsea,Chelsea,False,True,268.0,5698.0,4.2330642330642325
248857,Madueke,Noni,Madueke,MID,MID,MID,False,Chelsea,Chelsea,Arsenal,True,True,268.0,4277.0,5.63946691606266
184254,Vicario,Guglielmo,Vicario,GK,GK,GK,False,Spurs,Spurs,Spurs,False,True,268.0,8370.0,2.881720430107527
465351,Matheus N.,Matheus,Nunes,MID,MID,DEF,True,Man City,Man City,Man City,False,True,267.0,5362.0,4.48153674002238
166989,Tielemans,Youri,Tielemans,MID,MID,MID,False,Aston Villa,Aston Villa,Aston Villa,False,True,266.0,6495.0,3.685912240184758
517052,N.Jackson,Nicolas,Jackson,FWD,FWD,FWD,False,Chelsea,Chelsea,Chelsea,False,False,263.0,5021.0,4.714200358494324
445122,J.Timber,Jurriën,Timber,DEF,DEF,DEF,False,Arsenal,Arsenal,Arsenal,False,True,263.0,4937.0,4.794409560461819
448514,Aït-Nouri,Rayan,Aït-Nouri,DEF,DEF,DEF,False,Wolves,Wolves,Man City,True,True,262.0,6410.0,3.6786271450858035
427623,Richards,Chris,Richards,DEF,DEF,DEF,False,Crystal Palace,Crystal Palace,Crystal Palace,False,True,258.0,6837.0,3.3962264150943393
199796,Cash,Matty,Cash,DEF,DEF,DEF,False,Aston Villa,Aston Villa,Aston Villa,False,True,257.0,7223.0,3.2022705247127234
98747,Pope,Nick,Pope,GK,GK,GK,False,Newcastle,Newcastle,Newcastle,False,True,255.0,6281.0,3.653876771214775
202641,Onana,André,Onana,GK,GK,GK,False,Man Utd,Man Utd,Man Utd,False,False,253.0,6480.0,3.513888888888889
172780,Maddison,James,Maddison,MID,MID,MID,False,Spurs,Spurs,Spurs,False,True,253.0,3970.0,5.73551637279597
224024,L.Paquetá,Lucas,Tolentino Coelho de Lima,MID,MID,MID,False,West Ham,West Ham,West Ham,False,True,249.0,6514.0,3.4402824685293214
445044,Kulusevski,Dejan,Kulusevski,MID,MID,MID,False,Spurs,Spurs,Spurs,False,False,247.0,5145.0,4.320699708454811
221632,Romero,Cristian,Romero,DEF,DEF,DEF,False,Spurs,Spurs,Spurs,False,True,247.0,6075.0,3.659259259259259
80801,Gana,Idrissa Gana,Gueye,MID,MID,MID,False,Everton,Everton,Everton,False,True,245.0,7042.0,3.131212723658052
232892,Bassey,Calvin,Bassey,DEF,DEF,DEF,False,Fulham,Fulham,Fulham,False,True,244.0,7905.0,2.777988614800759
480455,Branthwaite,Jarrad,Branthwaite,DEF,DEF,DEF,False,Everton,Everton,Everton,False,True,244.0,6303.0,3.4840552118039025
493250,Amad,Amad,Diallo,MID,MID,MID,False,Man Utd,Man Utd,Man Utd,False,True,243.0,4622.0,4.731717871051493
440993,Ndiaye,Iliman,Ndiaye,FWD,FWD,MID,True,Sheffield Utd,Everton,Everton,True,False,242.0,5207.0,4.182830804686
486385,Beto,Norberto Bercique,Gomes Betuncal,FWD,FWD,FWD,False,Everton,Everton,Everton,False,True,241.0,4015.0,5.402241594022416
159506,Aina,Ola,Aina,DEF,DEF,DEF,False,Nott'm Forest,Nott'm Forest,Nott'm Forest,False,True,240.0,6273.0,3.443328550932568
204580,Janelt,Vitaly,Janelt,MID,MID,MID,False,Brentford,Brentford,Brentford,False,True,240.0,6739.0,3.205223326903101
101178,Ward-Prowse,James,Ward-Prowse,MID,MID,MID,False,West Ham,West Ham,Burnley,True,True,237.0,5525.0,3.860633484162896
77794,Trippier,Kieran,Trippier,DEF,DEF,DEF,False,Newcastle,Newcastle,Newcastle,False,True,237.0,5120.0,4.166015625
84182,Areola,Alphonse,Areola,GK,GK,GK,False,West Ham,West Ham,West Ham,False,True,236.0,6759.0,3.1424766977363516
207283,Jensen,Mathias,Jensen,MID,MID,MID,False,Brentford,Brentford,Brentford,False,True,234.0,5286.0,3.9841089670828604
83299,Dunk,Lewis,Dunk,DEF,DEF,DEF,False,Brighton,Brighton,Brighton,False,True,233.0,7787.0,2.6929497881083857
214590,Wan-Bissaka,Aaron,Wan-Bissaka,DEF,DEF,DEF,False,Man Utd,West Ham,West Ham,True,True,232.0,7012.0,2.9777524244152884
60307,Groß,Pascal,Groß,MID,MID,MID,False,Brighton,Brighton,Brighton,False,False,231.0,4748.0,4.378685762426285
220566,Rodrigo,Rodrigo 'Rodri',Hernandez Cascante,MID,MID,MID,False,Man City,Man City,Man City,False,True,231.0,4513.0,4.606691779304232
482609,Gusto,Malo,Gusto,DEF,DEF,DEF,False,Chelsea,Chelsea,Chelsea,False,True,230.0,5854.0,3.536043730782371
491279,Van de Ven,Micky,van de Ven,DEF,DEF,DEF,False,Spurs,Spurs,Spurs,False,True,229.0,6396.0,3.222326454033771
482442,P.M.Sarr,Pape Matar,Sarr,MID,MID,MID,False,Spurs,Spurs,Spurs,False,True,228.0,5352.0,3.834080717488789
121160,Ederson M.,Ederson,Santana de Moraes,GK,GK,GK,False,Man City,Man City,Man City,False,False,223.0,5105.0,3.931439764936337
122798,Robertson,Andrew,Robertson,DEF,DEF,DEF,False,Liverpool,Liverpool,Liverpool,False,True,222.0,5333.0,3.746484155259704
200720,Kelleher,Caoimhín,Kelleher,GK,GK,GK,False,Liverpool,Liverpool,Brentford,True,True,222.0,5130.0,3.8947368421052633
532529,Hinshelwood,Jack,Hinshelwood,MID,MID,MID,False,Brighton,Brighton,Brighton,False,True,222.0,4441.0,4.4989867147038956
487838,Hall,Lewis,Hall,DEF,DEF,DEF,False,Newcastle,Newcastle,Newcastle,False,True,219.0,5137.0,3.8368697683472845
209289,Smith Rowe,Emile,Smith Rowe,MID,MID,MID,False,Arsenal,Fulham,Fulham,True,True,219.0,4288.0,4.596548507462686
244042,Muniz,Rodrigo,Muniz Carvalho,FWD,FWD,FWD,False,Fulham,Fulham,Fulham,False,True,219.0,3519.0,5.601023017902813
207189,Berge,Sander,Berge,MID,MID,MID,False,Burnley,Fulham,Fulham,True,True,218.0,8127.0,2.414174972314507
180974,Joelinton,Joelinton Cássio,Apolinário de Lira,MID,MID,MID,False,Newcastle,Newcastle,Newcastle,False,True,217.0,5620.0,3.4750889679715304
184754,Hee Chan,Hwang,Hee-chan,MID,MID,MID,False,Wolves,Wolves,Wolves,False,True,216.0,4201.0,4.627469650083313
215711,Bailey,Leon,Bailey,MID,MID,MID,False,Aston Villa,Aston Villa,Aston Villa,False,True,216.0,3645.0,5.333333333333334
67089,Dúbravka,Martin,Dúbravka,GK,GK,GK,False,Newcastle,Newcastle,Burnley,True,True,215.0,6034.0,3.2068279748094137
158499,Christie,Ryan,Christie,MID,MID,MID,False,Bournemouth,Bournemouth,Bournemouth,False,True,213.0,6000.0,3.195
166477,Castagne,Timothy,Castagne,DEF,DEF,DEF,False,Fulham,Fulham,Fulham,False,True,212.0,6110.0,3.1227495908346974
95658,Maguire,Harry,Maguire,DEF,DEF,DEF,False,Man Utd,Man Utd,Man Utd,False,True,211.0,5050.0,3.7603960396039606
441191,Livramento,Tino,Livramento,DEF,DEF,DEF,False,Newcastle,Newcastle,Newcastle,False,True,209.0,5463.0,3.443163097199341
206915,C.Jones,Curtis,Jones,MID,MID,MID,False,Liverpool,Liverpool,Liverpool,False,True,208.0,4781.0,3.915498849613052
156689,Andreas,Andreas,Hoelgebaum Pereira,MID,MID,MID,False,Fulham,Fulham,Fulham,False,False,208.0,4615.0,4.056338028169014
233963,Mavropanos,Konstantinos,Mavropanos,DEF,DEF,DEF,False,West Ham,West Ham,West Ham,False,True,207.0,6067.0,3.0707104005274433
449871,Onana,Amadou,Onana,MID,MID,MID,False,Everton,Aston Villa,Aston Villa,True,True,207.0,5453.0,3.416467999266459
58621,Walker,Kyle,Walker,DEF,DEF,DEF,False,Man City,Man City,Burnley,True,True,206.0,6827.0,2.7156877105610078
496221,Wharton,Adam,Wharton,MID,MID,MID,False,Crystal Palace,Crystal Palace,Crystal Palace,False,True,204.0,5162.0,3.5567609453700118
244954,Pau,Pau,Torres,DEF,DEF,DEF,False,Aston Villa,Aston Villa,Aston Villa,False,True,204.0,6154.0,2.983425414364641
503139,Scott,Alex,Scott,MID,MID,MID,False,Bournemouth,Bournemouth,Bournemouth,False,True,203.0,4596.0,3.975195822454308
176297,Rashford,Marcus,Rashford,MID,MID,MID,False,Man Utd,Aston Villa,Man Utd,True,False,203.0,3678.0,4.967373572593801
432422,Tonali,Sandro,Tonali,MID,MID,MID,False,Newcastle,Newcastle,Newcastle,False,True,203.0,5596.0,3.264832022873481
510362,Toti,Toti,Gomes,DEF,DEF,DEF,False,Wolves,Wolves,Wolves,False,True,202.0,6807.0,2.6707800793301013
88894,Barkley,Ross,Barkley,MID,MID,MID,False,Luton,Aston Villa,Aston Villa,True,True,201.0,4027.0,4.492177799851006
214048,Kilman,Maximilian,Kilman,DEF,DEF,DEF,False,Wolves,West Ham,West Ham,True,True,200.0,8327.0,2.161642848564909
180135,Longstaff,Sean,Longstaff,MID,MID,MID,False,Newcastle,Newcastle,Leeds,True,True,200.0,4528.0,3.975265017667845
155408,Cook,Lewis,Cook,MID,MID,MID,False,Bournemouth,Bournemouth,Bournemouth,False,True,199.0,6635.0,2.699321778447626
447203,Darwin,Darwin,Núñez Ribeiro,FWD,FWD,FWD,False,Liverpool,Liverpool,Liverpool,False,False,198.0,3146.0,5.664335664335665
106611,Keane,Michael,Keane,DEF,DEF,DEF,False,Everton,Everton,Everton,False,True,197.0,4071.0,4.3551952837140755
457569,Petrović,Đorđe,Petrović,GK,GK,GK,False,Chelsea,Chelsea,Bournemouth,True,False,195.0,5406.0,3.2463928967813542
54469,Smith,Adam,Smith,DEF,DEF,DEF,False,Bournemouth,Bournemouth,Bournemouth,False,True,195.0,4807.0,3.6509257333055958
516895,Mainoo,Kobbie,Mainoo,MID,MID,MID,False,Man Utd,Man Utd,Man Utd,False,True,192.0,5226.0,3.3065442020665903
535818,Adingra,Simon,Adingra,MID,MID,MID,False,Brighton,Brighton,Sunderland,True,True,191.0,3950.0,4.351898734177215
152551,Lerma,Jefferson,Lerma Solís,MID,MID,MID,False,Crystal Palace,Crystal Palace,Crystal Palace,False,True,191.0,6391.0,2.6897199186355816
497894,Højlund,Rasmus,Højlund,FWD,FWD,FWD,False,Man Utd,Man Utd,Man Utd,False,False,190.0,4154.0,4.11651420317766
128295,Nørgaard,Christian,Nørgaard,MID,MID,MID,False,Brentford,Brentford,Arsenal,True,True,188.0,5425.0,3.11889400921659
221399,Harrison,Jack,Harrison,MID,MID,MID,False,Everton,Everton,Leeds,True,True,185.0,4542.0,3.665785997357992
191866,Ajer,Kristoffer,Ajer,DEF,DEF,DEF,False,Brentford,Brentford,Brentford,False,True,183.0,5064.0,3.2523696682464456
460028,Colwill,Levi,Samuels Colwill,DEF,DEF,DEF,False,Chelsea,Chelsea,Chelsea,False,True,182.0,5169.0,3.168891468369124
512462,O'Brien,Jake,O'Brien,DEF,DEF,DEF,False,Crystal Palace,Everton,Everton,True,False,181.0,4686.0,3.4763124199743918
508395,Yarmoliuk,Yehor,Yarmoliuk,MID,MID,MID,False,Brentford,Brentford,Brentford,False,True,180.0,4757.0,3.40550767290309
225796,James,Reece,James,DEF,DEF,DEF,False,Chelsea,Chelsea,Chelsea,False,True,180.0,3430.0,4.723032069970846
231057,Bellegarde,Jean-Ricner,Bellegarde,MID,MID,MID,False,Wolves,Wolves,Wolves,False,True,179.0,3853.0,4.181157539579549
477580,Zabarnyi,Illia,Zabarnyi,DEF,DEF,DEF,False,Bournemouth,Bournemouth,Bournemouth,False,False,178.0,6439.0,2.4879639695604907
91651,Kovačić,Mateo,Kovačić,MID,MID,MID,False,Man City,Man City,Man City,False,True,177.0,3858.0,4.129082426127527
535301,Baleba,Carlos,Baleba,MID,MID,MID,False,Brighton,Brighton,Brighton,False,True,177.0,5620.0,2.8345195729537362
444765,Van den Berg,Sepp,van den Berg,DEF,DEF,DEF,False,Liverpool,Brentford,Brentford,True,False,175.0,5345.0,2.9466791393826006
211975,Akanji,Manuel,Akanji,DEF,DEF,DEF,False,Man City,Man City,Man City,False,False,173.0,4524.0,3.4416445623342176
232787,Gallagher,Conor,Gallagher,MID,MID,MID,False,Chelsea,Chelsea,Spurs,True,False,173.0,4312.0,3.6108534322820036
108413,Hughes,Will,Hughes,MID,MID,MID,False,Crystal Palace,Crystal Palace,Crystal Palace,False,True,173.0,5546.0,2.8074287774972952
509416,Ayari,Yasin,Ayari,MID,MID,MID,False,Brighton,Brighton,Brighton,False,False,172.0,3879.0,3.9907192575406034
109646,Tosin,Tosin,Adarabioyo,DEF,DEF,DEF,False,Fulham,Chelsea,Chelsea,True,True,171.0,3807.0,4.042553191489362
250199,Dominguez,Nicolás,Domínguez,MID,MID,MID,False,Nott'm Forest,Nott'm Forest,Nott'm Forest,False,True,169.0,4611.0,3.2986337020169163
