assists,birth_date,bonus,bps,can_select,can_transact,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,clean_sheets_per_90,code,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,creativity_rank,creativity_rank_type,direct_freekicks_order,direct_freekicks_text,dreamteam_count,element_type,ep_next,ep_this,event_points,expected_assists,expected_assists_per_90,expected_goal_involvements,expected_goal_involvements_per_90,expected_goals,expected_goals_conceded,expected_goals_conceded_per_90,expected_goals_per_90,first_name,form,form_rank,form_rank_type,goals_conceded,goals_conceded_per_90,goals_scored,has_temporary_code,ict_index,ict_index_rank,ict_index_rank_type,id,in_dreamteam,influence,influence_rank,influence_rank_type,minutes,mng_clean_sheets,mng_draw,mng_goals_scored,mng_loss,mng_underdog_draw,mng_underdog_win,mng_win,news,news_added,now_cost,now_cost_rank,now_cost_rank_type,opta_code,own_goals,penalties_missed,penalties_order,penalties_saved,penalties_text,photo,points_per_game,points_per_game_rank,points_per_game_rank_type,red_cards,region,removed,saves,saves_per_90,second_name,selected_by_percent,selected_rank,selected_rank_type,special,squad_number,starts,starts_per_90,status,team,team_code,team_join_date,threat,threat_rank,threat_rank_type,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards
9,1998-12-17,10,503,True,True,100,100,11,0.43,184029,3,,0,0,-3,3,965.8,7,7,1,,0,3,7.8,6.8,6,6.65,0.26,11.44,0.45,4.79,22.16,0.86,0.19,Martin,6.3,16,6,21,0.82,2,False,194.1,33,25,13,False,489.4,143,54,2306,0,0,0,0,0,0,0,,2024-09-10T00:30:06.311550Z,82,12,9,p184029,0,0,2,0,,184029.jpg,3.8,70,34,0,161,False,0,0.0,Ødegaard,5.6,69,20,False,None,26,1.01,a,1,3,2021-08-20,484.0,65,42,109,1215384,53123,2241125,4390,0.8,13.3,Ødegaard,4
0,1995-09-15,10,549,True,True,100,100,13,0.35,154561,None,,0,0,0,0,10.7,455,11,None,,3,1,4.8,3.8,7,0.03,0.0,0.03,0.0,0.00,34.40,0.93,0.0,David,3.3,110,12,33,0.89,0,False,75.6,208,11,15,False,744.4,41,10,3330,0,0,0,0,0,0,0,,2025-01-30T11:00:08.979724Z,55,106,2,p154561,0,0,None,0,,154561.jpg,3.8,63,12,0,200,False,85,2.3,Raya Martin,31.9,6,1,False,None,37,1.0,a,1,3,2024-07-04,0.0,792,82,140,4069858,138482,3506413,7738,0.6,25.5,Raya,3
7,1999-01-14,17,612,True,True,100,75,11,0.36,204480,2,,0,0,-3,3,918.0,12,11,2,,1,3,8.2,5.4,11,5.57,0.18,8.92,0.29,3.35,26.50,0.87,0.11,Declan,6.7,14,4,28,0.92,4,False,199.7,27,21,16,False,708.8,53,14,2733,0,0,0,0,0,0,0,,2025-05-11T23:00:08.642302Z,62,57,30,p204480,0,0,None,0,,204480.jpg,3.7,78,35,1,241,False,0,0.0,Rice,3.8,99,31,False,None,32,1.05,a,1,3,2023-07-15,374.0,89,58,125,549662,58709,821085,4675,1.1,20.2,Rice,5
11,2001-09-05,18,506,True,True,100,100,7,0.37,223340,1,,0,0,3,-3,819.5,18,15,None,,4,3,3.8,2.8,3,7.36,0.39,14.16,0.75,6.80,17.72,0.94,0.36,Bukayo,2.3,165,68,21,1.11,6,False,223.3,14,10,17,False,599.4,92,35,1697,0,0,0,0,0,0,0,,2025-04-09T09:00:07.942776Z,103,4,3,p223340,0,0,1,0,,223340.jpg,5.2,11,6,0,241,False,0,0.0,Saka,18.7,17,5,False,None,20,1.06,a,1,3,2018-11-28,814.0,23,13,126,8018627,189925,9330035,19268,0.2,12.2,Saka,3
0,2001-03-24,14,564,True,True,0,100,12,0.36,462424,None,,0,0,5,-5,150.1,240,63,None,,3,2,0.0,1.5,1,1.28,0.04,3.70,0.11,2.42,30.32,0.9,0.07,William,1.0,295,88,29,0.86,2,False,94.2,154,41,18,False,672.6,63,24,3039,0,0,0,0,0,0,0,Hamstring injury - Expected back 01 Jun,2025-05-18T20:30:07.323616Z,65,48,3,p462424,0,0,None,0,,462424.jpg,3.7,80,13,1,73,False,0,0.0,Saliba,27.9,8,2,False,None,35,1.04,i,1,3,2019-07-25,116.0,254,72,130,4070991,25839,5293157,298612,0.2,20.0,Saliba,2
3,1993-06-13,8,550,True,True,100,100,9,0.3,167199,None,,0,0,-1,1,360.3,112,81,None,,0,3,3.8,2.8,3,2.59,0.09,4.83,0.16,2.24,30.20,1.01,0.07,Thomas,2.3,163,66,29,0.97,4,False,118.3,114,71,20,False,602.2,91,34,2703,0,0,0,0,0,0,0,,2025-04-12T20:00:08.101021Z,49,245,155,p167199,0,0,None,0,,167199.jpg,3.1,134,59,0,81,False,0,0.0,Partey,0.7,239,76,False,None,30,1.0,a,1,3,2020-10-05,216.0,156,98,106,307346,735,289203,808,0.5,21.6,Thomas,4
0,1997-06-05,0,71,True,True,100,100,1,0.48,192895,None,,0,0,-2,2,90.5,305,92,None,,0,2,2.2,1.2,1,0.50,0.24,0.71,0.34,0.21,2.06,0.99,0.1,Kieran,0.7,322,96,0,0.0,0,False,14.7,418,145,21,False,42.4,443,163,188,0,0,0,0,0,0,0,,2024-08-12T14:30:04.394338Z,43,569,117,p192895,0,0,None,0,,192895.jpg,1.4,398,134,0,243,False,0,0.0,Tierney,0.1,473,164,False,None,1,0.48,a,1,3,2019-08-08,13.0,423,152,17,15762,429,13691,326,0.2,4.0,Tierney,0
0,1998-11-05,0,2,True,True,0,0,0,0.0,223723,None,,0,0,-2,2,0.3,514,189,None,,0,2,0.0,0.0,0,0.00,0.0,0.18,2.7,0.18,0.04,0.6,2.7,Tomiyasu,0.0,713,253,0,0.0,0,False,1.0,525,184,22,False,0.4,545,193,6,0,0,0,0,0,0,0,Knee injury - Expected back 01 Jun,2024-10-18T16:00:06.930143Z,48,301,37,p223723,0,0,None,0,,223723.jpg,1.0,512,175,0,108,False,0,0.0,Takehiro,0.0,602,207,False,None,0,0.0,i,1,3,2021-08-31,9.0,433,157,1,2199,126,8121,30,0.0,0.2,Tomiyasu,0
7,1994-12-04,18,550,True,True,100,75,11,0.39,116216,4,,-1,1,-3,3,605.0,52,43,None,,2,3,5.5,3.4,3,4.10,0.15,10.74,0.39,6.64,24.76,0.88,0.24,Leandro,4.0,79,29,27,0.96,8,False,198.3,29,22,23,False,591.0,94,36,2519,0,0,0,0,0,0,0,,2025-05-11T23:00:08.708617Z,67,39,18,p116216,0,0,4,0,,116216.jpg,4.0,51,26,1,21,False,0,0.0,Trossard,4.1,93,27,False,None,28,1.0,a,1,3,2023-01-20,791.0,24,14,148,1285814,64835,1096924,14000,0.6,22.1,Trossard,2
1,1997-10-08,0,186,True,True,100,100,5,0.41,198869,None,,1,-1,-3,3,129.1,263,73,None,,0,2,4.2,3.2,6,0.58,0.05,1.04,0.09,0.46,16.25,1.32,0.04,Benjamin,2.7,150,42,12,0.98,0,False,43.9,303,94,24,False,216.2,286,104,1105,0,0,0,0,0,0,0,,2025-04-12T20:00:08.123863Z,62,56,5,p198869,0,0,None,0,,198869.jpg,2.8,175,52,0,241,False,0,0.0,White,3.4,104,39,False,None,12,0.98,a,1,3,2021-07-30,94.0,277,81,45,307145,120965,1009774,1536,0.4,7.3,White,2
1,1996-12-15,2,129,True,True,100,100,4,0.8,206325,None,,0,0,-2,2,64.7,341,112,None,,1,2,2.2,1.2,0,0.27,0.05,0.55,0.11,0.28,2.58,0.52,0.06,Oleksandr,0.7,324,97,0,0.0,0,False,17.9,399,135,25,False,62.4,425,153,449,0,0,0,0,0,0,0,,2024-12-09T09:30:06.099861Z,48,297,35,p206325,0,0,None,0,,206325.jpg,2.7,185,54,0,225,False,0,0.0,Zinchenko,0.9,216,83,False,None,4,0.8,a,1,3,2022-07-22,53.0,330,108,38,109961,842,323507,704,0.1,7.9,Zinchenko,1
0,1989-07-19,0,30,True,True,100,100,0,0.0,69752,None,,0,0,-4,4,0.0,646,66,None,,0,1,1.5,0.5,0,0.00,0.0,0.00,0.0,0.00,2.91,1.46,0.0,Norberto,0.0,525,67,2,1.0,0,False,7.8,456,35,73,False,77.8,411,35,180,0,0,0,0,0,0,0,,2025-04-25T00:00:07.994709Z,41,625,35,p69752,0,0,None,0,,69752.jpg,3.5,87,15,0,30,False,11,5.5,Murara Neto,0.7,244,33,False,None,2,1.0,a,1,3,2024-08-30,0.0,610,47,7,92696,288,260924,327,0.0,1.7,Neto,0
2,1994-12-08,0,54,True,True,100,100,1,0.21,103955,None,,0,0,-3,3,118.4,273,165,3,,0,3,1.8,0.8,0,0.47,0.1,1.79,0.38,1.32,3.70,0.78,0.28,Raheem,0.3,369,180,3,0.63,0,False,29.6,360,179,186,False,63.8,424,195,428,0,0,0,0,0,0,0,,2025-03-08T20:00:09.918533Z,67,38,17,p103955,0,0,None,0,,103955.jpg,1.5,387,186,0,241,False,0,0.0,Sterling,0.8,226,72,False,None,6,1.26,a,1,3,2024-08-30,116.0,255,143,24,56720,301,165152,228,0.0,3.6,Sterling,1
1,2002-05-19,1,142,True,True,100,100,1,0.09,466075,None,,0,0,-2,2,118.2,274,78,None,,1,2,2.2,1.2,1,0.69,0.06,1.55,0.14,0.86,10.28,0.95,0.08,Riccardo,0.7,328,98,12,1.1,2,False,54.6,278,83,578,False,252.6,267,100,978,0,0,0,0,0,0,0,,2025-03-24T14:30:09.477149Z,58,91,8,p466075,0,0,None,0,,466075.jpg,2.1,283,89,0,106,False,0,0.0,Calafiori,1.4,173,68,False,None,11,1.01,a,1,3,2024-07-29,176.0,198,38,39,267014,18818,424977,649,0.1,6.7,Calafiori,4
0,2006-09-26,0,232,True,True,100,100,5,0.34,499169,None,,0,0,0,0,169.4,226,150,None,,0,3,3.5,2.5,3,0.50,0.03,0.66,0.04,0.16,16.65,1.12,0.01,Myles,2.0,192,81,16,1.07,1,False,39.4,321,162,597,False,173.0,330,149,1342,0,0,0,0,0,0,0,,2025-02-22T21:00:10.286547Z,45,422,263,p499169,0,0,None,0,,499169.jpg,1.6,364,172,2,241,False,0,0.0,Lewis-Skelly,0.4,282,87,False,None,15,1.01,a,1,3,2022-12-04,55.0,326,178,36,113245,2646,77957,1585,0.4,8.0,Lewis-Skelly,3
2,1996-06-22,8,321,True,True,100,0,4,0.24,195384,None,,0,0,0,0,255.0,168,114,None,,1,3,3.2,0.0,0,1.17,0.07,6.68,0.4,5.51,15.08,0.91,0.33,Mikel,1.7,222,101,16,0.97,7,False,119.9,113,70,633,False,451.6,157,61,1485,0,0,0,0,0,0,0,,2025-05-11T23:00:09.594730Z,60,76,48,p195384,0,0,None,0,,195384.jpg,3.3,115,53,1,200,False,0,0.0,Merino,1.5,162,52,False,None,16,0.97,a,1,3,2024-08-27,493.0,62,40,90,672342,7526,513031,12064,0.3,15.0,Merino,2
0,2003-08-20,0,0,True,True,None,None,0,0,498046,None,,0,0,0,0,0.0,716,291,None,,0,3,1.5,0.5,0,0.00,0,0.00,0,0.00,0.00,0,0,Salah-Eddine,0.0,636,243,0,0,0,False,0.0,719,291,638,False,0.0,719,291,0,0,0,0,0,0,0,0,,None,45,421,262,p498046,0,0,None,0,,498046.jpg,0.0,724,292,0,152,False,0,0,Oulad M'hand,0.0,676,276,False,None,0,0,a,1,3,2021-10-25,0.0,698,283,0,2771,40,2331,17,0.0,0.0,Oulad M'hand,0
0,2006-03-13,0,0,True,True,None,None,0,0,551221,None,,0,0,0,0,0.0,740,80,None,,0,1,1.5,0.5,0,0.00,0,0.00,0,0.00,0.00,0,0,Tommy,0.0,665,81,0,0,0,False,0.0,744,82,639,False,0.0,744,82,0,0,0,0,0,0,0,0,,None,45,458,19,p551221,0,0,None,0,,551221.jpg,0.0,748,82,0,241,False,0,0,Setford,0.1,534,69,False,None,0,0,a,1,3,2024-07-24,0.0,725,71,0,4497,54,4932,24,0.0,0.0,Setford,0
0,None,0,0,False,True,0,0,0,0,588793,None,,0,0,0,0,0.0,628,234,None,,0,2,0.0,0.0,0,0.00,0,0.00,0,0.00,0.00,0,0,Maldini,0.0,506,186,0,0,0,False,0.0,641,236,657,False,0.0,641,236,0,0,0,0,0,0,0,0,Loaned to Bromley,2025-02-04T10:52:26.271821Z,40,709,217,p588793,0,0,None,0,,588793.jpg,0.0,648,235,0,2,False,0,0,Kacurri,0.0,553,192,False,None,0,0,u,1,3,2024-09-14,0.0,592,227,0,11257,0,10380,23,0.0,0.0,Kacurri,0
0,2005-12-10,0,0,True,True,None,None,0,0,588796,None,,0,0,0,0,0.0,752,318,None,,0,3,1.5,0.5,0,0.00,0,0.00,0,0.00,0.00,0,0,Ismeal,0.0,678,274,0,0,0,False,0.0,755,318,659,False,0.0,755,318,0,0,0,0,0,0,0,0,,None,45,472,299,p588796,0,0,None,0,,588796.jpg,0.0,758,319,0,152,False,0,0,Kabia,0.0,677,277,False,None,0,0,a,1,3,2024-09-14,0.0,736,311,0,3022,18,2559,12,0.0,0.0,Kabia,0
0,2006-07-26,0,0,True,True,None,None,0,0,499167,None,,0,0,0,0,0.0,603,213,None,,0,2,1.5,0.5,0,0.00,0,0.00,0,0.00,0.00,0,0,Josh,0.0,475,159,0,0,0,False,0.0,617,216,662,False,0.0,617,216,0,0,0,0,0,0,0,0,,None,40,675,187,p499167,0,0,None,0,,499167.jpg,0.0,624,215,0,241,False,0,0,Nichols,0.1,533,185,False,None,0,0,a,1,3,2024-07-24,0.0,565,204,0,7318,154,5512,70,0.0,0.0,Nichols,0
0,2003-01-04,0,5,True,True,None,None,0,0.0,461025,None,,0,0,0,0,0.0,698,61,None,,0,4,1.5,0.5,0,0.00,0.0,0.07,1.05,0.07,0.04,0.6,1.05,Nathan,0.0,614,46,0,0.0,0,False,2.0,509,56,665,False,3.0,530,55,6,0,0,0,0,0,0,0,,None,45,396,66,p461025,0,0,None,0,,461025.jpg,1.0,486,51,0,241,False,0,0.0,Butler-Oyedeji,0.2,390,62,False,None,0,0.0,a,1,3,2024-09-18,17.0,408,53,1,59162,208,48651,177,0.0,0.2,Butler-Oyedeji,0
0,1982-03-26,0,0,True,True,None,None,0,0,100051017,None,,0,0,0,0,0.0,544,19,None,,0,5,6.5,5.5,9,0.00,0,0.00,0,0.00,0.00,0,0,Mikel,5.0,37,11,0,0,0,False,0.0,567,19,735,False,0.0,567,19,0,6,6,24,2,0,0,7,,None,15,785,4,man51018,0,0,None,0,,100051017.jpg,0.0,576,19,0,200,False,0,0,Arteta,6.5,383,5,False,None,0,0,a,1,3,2019-12-22,0.0,498,19,96,242074,5653,159667,177,3.3,64.0,Arteta,0
0,2008-07-15,0,0,True,True,None,None,0,0,616059,None,,0,0,0,0,0.0,640,65,None,,0,1,1.5,0.5,0,0.00,0,0.00,0,0.00,0.00,0,0,Jack,0.0,520,66,0,0,0,False,0.0,653,76,756,False,0.0,653,76,0,0,0,0,0,0,0,0,,None,40,723,61,p616059,0,0,None,0,,616059.jpg,0.0,660,76,0,241,False,0,0,Porter,0.0,691,74,False,None,0,0,a,1,3,2024-09-18,0.0,605,46,0,1870,71,999,49,0.0,0.0,Porter,0
0,2004-10-01,0,0,True,True,None,None,0,0,538182,None,,0,0,0,0,0.0,733,305,None,,0,3,1.5,0.5,0,0.00,0,0.00,0,0.00,0.00,0,0,Jimi,0.0,658,260,0,0,0,False,0.0,737,305,790,False,0.0,737,305,0,0,0,0,0,0,0,0,,None,45,450,284,p538182,0,0,None,0,,538182.jpg,0.0,741,306,0,241,False,0,0,Gower,0.0,795,343,False,None,0,0,a,1,3,2024-07-24,0.0,718,298,0,107,10,47,9,0.0,0.0,Gower,0
0,2003-09-23,0,0,True,True,None,None,0,0,514307,None,,0,0,0,0,0.0,719,294,None,,0,3,1.5,0.5,0,0.00,0,0.00,0,0.00,0.00,0,0,Jack,0.0,641,247,0,0,0,False,0.0,723,294,793,False,0.0,723,294,0,0,0,0,0,0,0,0,,None,45,429,268,p514307,0,0,None,0,,514307.jpg,0.0,727,295,0,104,False,0,0,Henry-Francis,0.0,798,345,False,None,0,0,a,1,3,2021-07-12,0.0,702,286,0,72,12,27,7,0.0,0.0,Jack Henry-Francis,0
0,2007-07-03,0,0,True,True,None,None,0,0,563324,None,,0,0,0,0,0.0,623,231,None,,0,2,1.5,0.5,0,0.00,0,0.00,0,0.00,0.00,0,0,Brayden,0.0,500,182,0,0,0,False,0.0,636,233,801,False,0.0,636,233,0,0,0,0,0,0,0,0,,None,40,702,212,p563324,0,0,None,0,,563324.jpg,0.0,643,232,0,244,False,0,0,Clarke,0.0,787,265,False,None,0,0,a,1,3,2025-05-02,0.0,587,224,0,154,50,33,16,0.0,0.0,Clarke,0
2,1997-08-09,2,174,True,True,100,100,2,0.16,215711,3,,0,0,-3,3,235.8,181,125,4,,0,3,0.3,0.3,1,2.92,0.23,4.65,0.37,1.73,13.91,1.11,0.14,Leon,0.3,366,177,19,1.51,1,False,70.3,224,113,28,False,146.4,353,159,1132,0,0,0,0,0,0,0,,2025-04-01T15:00:07.914260Z,62,60,33,p215711,0,0,None,0,,215711.jpg,2.0,299,135,0,107,False,0,0.0,Bailey,0.8,235,75,False,None,14,1.11,a,2,7,2021-08-04,325.0,103,67,47,186121,645,472642,513,0.0,7.6,Bailey,3
1,1993-12-05,5,162,True,True,100,100,1,0.16,88894,None,,0,0,-3,3,127.5,265,163,None,,1,3,0.7,0.7,1,0.42,0.07,2.11,0.34,1.69,5.45,0.87,0.27,Ross,0.7,326,156,9,1.44,3,False,54.2,280,146,29,False,213.6,290,132,561,0,0,0,0,0,0,0,,2025-01-11T01:30:08.379812Z,52,163,97,p88894,0,0,None,0,,88894.jpg,2.3,248,105,0,241,False,0,0.0,Barkley,0.2,347,111,False,None,3,0.48,a,2,7,2024-07-01,202.0,166,104,43,26720,50,91727,39,0.1,8.3,Barkley,3
0,None,0,0,False,True,0,0,0,0,491287,None,,0,0,-1,1,0.0,773,331,None,,0,3,0.0,0.0,0,0.00,0,0.00,0,0.00,0.00,0,0,Enzo,0.0,729,308,0,0,0,False,0.0,775,331,30,False,0.0,775,331,0,0,0,0,0,0,0,0,Loaned to Valencia CF,2024-08-31T06:33:47.934620Z,49,274,175,p491287,0,0,None,0,,491287.jpg,0.0,775,331,0,None,False,0,0,Barrenechea,0.0,671,274,False,None,0,0,u,2,7,None,0.0,765,330,0,872,0,5338,1,0.0,0.0,Barrenechea,0
0,None,0,37,False,True,0,0,0,0.0,195546,None,,0,0,-4,4,23.2,422,221,3,,0,3,0.0,0.0,0,0.03,0.03,0.68,0.69,0.65,2.27,2.3,0.66,Emiliano,0.0,756,326,2,2.02,0,False,5.2,480,224,31,False,16.4,487,224,89,0,0,0,0,0,0,0,Loaned to Bayer Leverkusen,2025-02-03T10:22:17.157838Z,51,182,108,p195546,0,0,None,0,,195546.jpg,0.9,528,249,0,10,False,0,0.0,Buendía Stati,0.1,518,191,False,None,0,0.0,u,2,7,2021-06-10,16.0,411,215,11,6966,0,17059,14,0.0,2.2,Buendia,1
1,1997-08-07,2,281,True,True,100,100,7,0.32,199796,None,,0,0,-1,1,178.9,221,52,None,,0,2,6.0,6.0,5,1.22,0.06,1.64,0.08,0.42,25.78,1.17,0.02,Matty,6.0,21,3,20,0.91,1,False,66.8,239,77,32,False,337.6,215,78,1979,0,0,0,0,0,0,0,,2025-01-31T15:00:08.473024Z,44,508,91,p199796,0,0,None,0,,199796.jpg,2.9,152,43,0,172,False,0,0.0,Cash,1.6,157,61,False,None,23,1.05,a,2,7,2020-09-03,150.0,218,53,75,298488,8099,449926,2512,1.4,17.0,Cash,7
0,None,0,0,False,True,0,0,0,0,151589,None,,0,0,0,0,0.0,683,267,None,,0,3,0.0,0.0,0,0.00,0,0.00,0,0.00,0.00,0,0,Leander,0.0,595,216,0,0,0,False,0.0,687,267,33,False,0.0,687,267,0,0,0,0,0,0,0,0,On loan to Anderlecht for the rest of the season,2024-09-02T10:45:36.198316Z,45,368,232,p151589,0,0,None,0,,151589.jpg,0.0,692,268,0,None,False,0,0,Dendoncker,0.2,385,125,False,None,0,0,u,2,7,None,0.0,663,259,0,18187,0,94005,34,0.0,0.0,Dendoncker,0
