assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,creativity_rank,creativity_rank_type,direct_freekicks_order,direct_freekicks_text,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,form_rank,form_rank_type,goals_conceded,goals_scored,ict_index,ict_index_rank,ict_index_rank_type,id,in_dreamteam,influence,influence_rank,influence_rank_type,minutes,news,news_added,now_cost,now_cost_rank,now_cost_rank_type,own_goals,penalties_missed,penalties_order,penalties_saved,penalties_text,photo,points_per_game,points_per_game_rank,points_per_game_rank_type,red_cards,saves,second_name,selected_by_percent,selected_rank,selected_rank_type,special,squad_number,status,team,team_code,threat,threat_rank,threat_rank_type,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards
0,0,18,0,0,0,209289,None,,0,0,-4,4,36.7,236,134,None,,0,3,0.0,0.0,0,Emile,0.0,640,275,1,0,6.8,339,148,12,False,15.8,357,157,47,Groin Injury - Expected back 26 Dec,2022-09-04T21:30:06.539921Z,56,101,54,0,0,None,0,,209289.jpg,1.0,423,198,0,0,Smith Rowe,0.4,281,101,False,None,i,1,3,18.0,300,151,4,22930,23,141815,634,0.0,0.7,Smith Rowe,0
5,5,217,100,75,4,223340,2,,0,0,-1,1,303.8,14,11,None,,2,3,7.8,5.5,1,Bukayo,6.8,7,4,11,4,100.0,12,6,13,False,289.4,23,7,968,,2022-10-20T21:00:07.270421Z,79,22,10,0,0,1,0,,223340.jpg,5.8,13,4,0,0,Saka,15.8,21,8,False,None,a,1,3,407.0,14,7,64,1360228,77454,1870754,48967,0.9,8.1,Saka,2
0,0,85,100,100,1,223723,None,,0,0,-3,3,26.7,269,88,None,,0,2,3.5,3.0,2,Takehiro,2.5,152,50,4,0,10.2,315,109,14,False,69.8,265,101,342,,2022-08-04T15:00:05.298873Z,42,554,175,0,0,None,0,,223723.jpg,1.5,312,111,0,0,Tomiyasu,0.9,192,69,False,None,a,1,3,6.0,334,121,15,61328,4282,153459,1677,0.6,3.6,Tomiyasu,1
0,3,189,100,100,4,225321,None,,0,0,-1,1,0.0,618,62,None,,0,1,4.8,4.3,2,Aaron,3.8,64,10,11,0,20.0,235,16,15,False,198.8,79,16,990,,2022-08-31T22:30:06.428076Z,49,241,10,0,0,None,0,,225321.jpg,3.6,87,13,0,23,Ramsdale,10.5,35,7,False,None,a,1,3,0.0,613,60,40,605622,17304,1074540,12613,0.8,8.2,Ramsdale,0
0,6,226,None,None,4,226597,None,,0,0,1,-1,26.6,271,89,None,,0,2,4.2,3.7,2,Gabriel,3.2,94,28,11,1,43.5,96,14,16,False,258.4,38,6,990,,None,51,180,19,0,0,None,0,,226597.jpg,4.2,55,12,0,0,dos Santos Magalhães,10.3,36,11,False,None,a,1,3,150.0,86,7,46,881890,20190,763439,13386,0.6,9.0,Gabriel,1
0,0,0,0,0,0,437626,None,,0,0,0,0,0.0,573,226,None,,0,2,0.0,0.0,0,Nuno,0.0,555,220,0,0,0.0,579,226,17,False,0.0,577,226,0,Joined Marseille on loan - Expected back 01 Jul,2022-07-31T21:00:04.269675Z,45,381,93,0,0,None,0,,437626.jpg,0.0,586,225,0,0,Varela Tavares,0.0,610,224,False,None,u,1,3,0.0,556,224,0,0,0,1896,9,0.0,0.0,Tavares,0
0,0,43,None,None,0,437742,None,,0,0,-1,1,23.3,283,146,None,,0,3,1.2,0.7,0,Albert,0.2,361,162,3,0,4.5,354,155,18,False,21.4,338,146,195,,None,44,468,247,0,0,None,0,,437742.jpg,1.3,331,148,0,0,Sambi Lokonga,0.3,312,111,False,None,a,1,3,0.0,512,200,8,33882,102,41935,688,0.0,1.8,Sambi,0
3,6,202,None,None,4,444145,1,,1,-1,8,-8,292.2,17,13,2,,2,3,6.2,5.7,2,Gabriel,5.2,27,14,11,4,102.3,9,4,19,False,272.0,31,11,941,,None,68,46,23,0,0,2,0,,444145.jpg,5.5,20,8,0,0,Martinelli Silva,48.8,5,1,False,None,a,1,3,459.0,9,3,60,4403200,70539,1746176,47257,0.8,8.8,Martinelli,1
0,0,0,0,0,0,92371,None,,0,0,0,0,0.0,552,223,None,,0,2,0.0,0.0,0,Pablo,0.0,534,216,0,0,0.0,560,223,20,False,0.0,557,223,0,Season-long loan to Monza,2022-08-12T14:22:56.974936Z,45,330,66,0,0,None,0,,92371.jpg,0.0,567,222,0,0,Marí Villar,0.0,585,214,False,None,u,1,3,0.0,533,220,0,162,0,4033,15,0.0,0.0,Pablo Marí,0
0,0,0,0,0,0,198849,None,,0,0,0,0,0.0,559,224,None,,0,3,0.0,0.0,0,Lucas,0.0,541,208,0,0,0.0,567,221,22,False,0.0,564,220,0,Transferred to Galatasaray,2022-08-10T10:32:07.133718Z,45,351,196,0,0,None,0,,198849.jpg,0.0,574,229,0,0,Torreira di Pascua,0.1,430,160,False,None,u,1,3,0.0,542,214,0,2811,0,37526,119,0.0,0.0,Torreira,0
0,0,0,100,100,0,200641,None,,0,0,-2,2,0.0,608,257,None,,0,3,1.0,0.5,0,Reiss,0.0,598,247,0,0,0.0,614,256,23,False,0.0,612,255,0,,2022-08-12T14:00:05.551075Z,48,273,168,0,0,None,0,,200641.jpg,0.0,617,260,0,0,Nelson,0.0,581,238,False,None,a,1,3,0.0,599,253,0,546,29,2816,36,0.0,0.0,Nelson,0
0,0,0,None,None,0,224068,None,,0,0,-1,1,0.0,436,21,None,,0,1,1.0,0.5,0,Matt,0.0,400,33,0,0,0.0,454,36,24,False,0.0,453,36,0,,None,39,635,66,0,0,None,0,,224068.jpg,0.0,464,37,0,0,Turner,1.5,141,24,False,None,a,1,3,0.0,385,12,0,135388,2222,105795,3446,0.0,0.0,Turner,0
0,2,44,100,100,1,438098,None,,0,0,-3,3,47.3,208,125,None,,1,3,2.0,1.5,1,Fábio,1.0,279,128,1,1,13.9,289,134,25,False,56.6,284,123,141,,2022-08-04T15:00:05.309562Z,57,96,50,0,0,None,0,,438098.jpg,2.5,204,79,0,0,Ferreira Vieira,0.1,384,138,False,None,a,1,3,35.0,254,134,15,16245,257,23246,690,0.2,2.6,Fábio Vieira,0
1,9,235,None,None,4,462424,None,,1,-1,7,-7,30.7,256,79,None,,2,2,3.2,2.7,2,William,2.2,176,62,11,2,34.8,131,24,26,True,255.6,41,8,990,,None,52,172,17,1,0,None,0,,462424.jpg,4.8,30,4,0,0,Saliba,31.6,7,3,False,None,a,1,3,62.0,183,32,53,3616030,87829,1012137,22856,0.4,10.2,Saliba,4
0,0,3,None,None,0,479683,None,,0,0,-3,3,0.2,409,196,None,,0,3,1.0,0.5,0,Marcus,0.0,590,239,0,0,0.0,608,250,27,False,0.0,607,250,1,,None,47,306,187,0,0,None,0,,479683.jpg,1.0,400,182,0,0,Oliveira Alencar,0.1,447,171,False,None,a,1,3,0.0,592,246,1,5594,73,11754,154,0.0,0.2,Marquinhos,0
4,6,177,None,None,4,205651,None,,0,0,0,0,202.5,41,2,None,,1,4,5.2,4.7,2,Gabriel,4.2,50,8,11,5,117.9,3,3,28,False,303.8,17,6,950,,None,80,18,10,0,0,None,0,,205651.jpg,5.1,25,8,0,0,Fernando de Jesus,59.2,3,2,False,None,a,1,3,672.0,3,3,56,2224626,55130,3582848,122345,0.5,7.0,Jesus,4
1,3,107,50,50,2,206325,None,,0,0,0,0,58.5,185,45,None,,1,2,0.8,0.5,0,Oleksandr,0.5,320,106,5,0,17.1,263,85,313,False,75.4,259,96,393,Calf injury - 50% chance of playing,2022-10-09T21:00:06.769698Z,50,200,25,0,0,None,0,,206325.jpg,4.4,46,9,0,0,Zinchenko,8.5,46,14,False,None,d,1,3,38.0,242,65,22,1681615,532,2782706,40227,0.1,4.4,Zinchenko,0
0,0,0,None,None,0,232241,None,,0,0,0,0,0.0,566,229,None,,0,3,1.0,0.5,0,Matthew,0.0,549,213,0,0,0.0,574,226,607,False,0.0,571,225,0,,None,45,369,202,0,0,None,0,,232241.jpg,0.0,581,234,0,0,Smith,0.1,455,176,False,None,a,1,3,0.0,550,219,0,10000,220,6918,328,0.0,0.0,Smith,0
0,0,3,None,None,0,499175,None,,0,0,0,0,0.0,589,242,None,,0,3,1.0,0.5,0,Ethan,0.0,573,227,0,0,0.0,596,240,630,False,0.0,595,240,1,,None,45,404,220,0,0,None,0,,499175.jpg,1.0,395,177,0,0,Nwaneri,0.0,614,254,False,None,a,1,3,0.0,575,234,1,735,37,428,45,0.0,0.2,Nwaneri,0
0,0,0,None,None,0,514315,None,,0,0,0,0,0.0,489,196,None,,0,2,1.0,0.5,0,Lino,0.0,457,178,0,0,0.0,506,201,631,False,0.0,504,202,0,,None,40,608,205,0,0,None,0,,514315.jpg,0.0,516,200,0,0,Sousa,0.0,520,191,False,None,a,1,3,0.0,440,178,0,3494,223,1919,216,0.0,0.0,Sousa,0
0,0,52,100,100,3,84583,5,,0,0,-4,4,107.1,125,85,1,,0,3,1.4,1.4,1,Philippe,1.4,248,110,4,0,33.2,143,88,29,False,51.6,293,126,536,,2022-08-30T12:30:06.485567Z,66,50,24,0,0,2,0,,84583.jpg,1.5,320,142,0,0,Coutinho Correia,3.7,87,32,False,None,a,2,7,174.0,65,41,17,204203,1346,1372060,8754,0.2,2.6,Coutinho,2
0,4,93,None,None,2,84939,None,,0,0,-4,4,80.9,152,19,None,,1,4,3.6,3.6,12,Danny,3.6,80,11,7,3,53.5,61,12,30,False,137.6,163,13,536,,None,66,51,24,0,0,1,0,,84939.jpg,2.7,184,24,0,0,Ings,1.0,179,27,False,None,a,2,7,320.0,28,11,30,114732,9847,246817,1705,0.5,4.5,Ings,3
0,2,231,100,100,3,98980,None,,0,0,-1,1,10.0,333,8,None,,1,1,3.6,3.6,7,Emiliano,3.6,73,14,16,0,31.6,154,6,31,False,306.2,16,6,1080,,2022-09-15T13:30:06.119455Z,49,224,9,0,0,None,1,,98980.jpg,3.8,75,11,0,35,Martínez Romero,5.2,67,14,False,None,a,2,7,0.0,609,59,46,347053,2957,444534,10129,0.7,9.4,Martínez,0
0,0,22,100,100,0,101184,None,,-1,1,-3,3,0.6,389,147,None,,0,2,0.2,0.2,1,Calum,0.2,350,123,1,0,3.1,372,133,32,False,30.0,331,127,100,,2022-10-02T21:00:06.977430Z,42,546,168,0,0,None,0,,101184.jpg,1.3,329,117,0,0,Chambers,0.2,363,131,False,None,a,2,7,0.0,450,185,4,6409,200,20853,208,0.0,1.0,Chambers,0
0,1,78,50,0,1,101188,6,,0,0,-4,4,123.2,101,18,4,,0,2,0.0,0.0,0,Lucas,0.0,583,222,10,0,27.3,190,50,33,False,111.6,192,73,630,Heel Injury - 50% chance of playing,2022-09-21T11:30:06.595115Z,46,308,52,1,0,None,0,,101188.jpg,1.7,296,108,0,0,Digne,1.2,165,58,False,None,d,2,7,38.0,240,64,12,144241,33,431715,2887,0.0,2.6,Digne,2
0,0,0,0,0,0,110504,None,,0,0,-1,1,0.0,616,262,None,,0,3,0.0,0.0,0,Bertrand,0.0,606,252,0,0,0.0,620,260,34,False,0.0,619,260,0,Joined Istanbul Basaksehir FK on loan - Expected back 01 Jul,2022-08-22T19:30:06.057056Z,49,225,133,0,0,None,0,,110504.jpg,0.0,623,264,0,0,Traoré,0.1,482,191,False,None,u,2,7,0.0,610,258,0,3136,0,19173,59,0.0,0.0,Traoré,0
0,0,0,100,100,0,111782,None,,0,0,0,0,0.0,453,30,None,,0,1,0.0,0.0,0,Robin,0.0,417,42,0,0,0.0,470,44,35,False,0.0,469,44,0,,2022-09-15T13:30:06.128274Z,40,568,40,0,0,None,0,,111782.jpg,0.0,480,45,0,0,Olsen,1.5,146,26,False,None,a,2,7,0.0,402,21,0,35393,434,77579,1574,0.0,0.0,Olsen,0
0,0,0,None,None,0,122775,None,,0,0,-2,2,0.0,511,200,None,,0,3,0.0,0.0,0,Morgan,0.0,480,179,0,0,0.0,525,196,36,False,0.0,522,195,0,,None,43,501,264,0,0,None,0,,122775.jpg,0.0,531,206,0,0,Sanson,0.3,315,114,False,None,a,2,7,0.0,469,179,0,23503,2408,33403,773,0.0,0.0,Sanson,0
0,0,117,None,None,2,122806,4,,0,0,-3,3,103.7,130,88,None,,0,3,1.8,1.8,1,John,1.8,210,90,15,0,39.5,106,70,37,False,135.2,166,70,924,,None,52,164,95,0,0,None,0,,122806.jpg,1.8,288,122,0,0,McGinn,0.7,225,72,False,None,a,2,7,156.0,81,52,22,29779,219,141318,1727,0.3,4.2,McGinn,3
0,0,0,0,0,0,123354,None,,0,0,-1,1,0.0,527,217,None,,0,2,0.0,0.0,0,Kortney,0.0,504,206,0,0,0.0,537,217,38,False,0.0,534,217,0,Joined Watford on loan - Expected back 01 Jul,2022-08-05T11:30:05.731214Z,44,433,111,0,0,None,0,,123354.jpg,0.0,546,216,0,0,Hause,0.0,603,221,False,None,u,2,7,0.0,497,211,0,89,0,2754,8,0.0,0.0,Hause,0
1,4,159,100,100,3,149484,None,,-1,1,-2,2,31.0,255,78,None,,2,2,3.4,3.4,10,Tyrone,3.4,84,22,13,0,22.8,222,66,39,False,160.6,129,41,900,,2022-10-18T02:30:07.560753Z,43,503,142,1,0,None,0,,149484.jpg,3.2,115,40,0,0,Mings,4.3,79,26,False,None,a,2,7,36.0,246,68,32,347660,8444,538069,6698,0.8,7.4,Mings,1
2,3,94,100,100,3,178301,None,,0,0,-3,3,137.8,83,9,None,,1,4,2.8,2.8,6,Ollie,2.8,132,16,15,2,78.5,21,7,40,False,182.4,96,8,1004,,2022-09-15T13:30:06.136070Z,72,35,17,0,0,3,0,,178301.jpg,3.3,114,13,0,0,Watkins,1.9,125,18,False,None,a,2,7,464.0,8,6,40,342830,2555,555113,7292,0.4,5.6,Watkins,0
0,0,0,None,None,0,184704,None,,0,0,-2,2,0.0,513,201,None,,0,3,0.0,0.0,0,Marvelous,0.0,485,181,0,0,0.0,527,197,41,False,0.0,524,196,0,,None,43,513,268,0,0,None,0,,184704.jpg,0.0,534,207,0,0,Nakamba,0.2,357,130,False,None,a,2,7,0.0,477,182,0,17040,329,22765,613,0.0,0.0,Nakamba,0
0,2,87,None,None,1,195546,None,,-1,1,-3,3,161.2,63,49,None,,0,3,1.6,1.6,3,Emiliano,1.6,233,103,10,1,43.8,95,65,42,False,108.0,199,82,509,,None,57,88,45,0,0,None,0,,195546.jpg,2.0,262,108,0,0,Buendía Stati,0.3,292,104,False,None,a,2,7,167.0,72,46,24,58818,525,85166,964,0.3,4.2,Buendía,0
0,0,105,100,100,1,199796,None,,0,0,-4,4,120.3,105,22,None,,0,2,1.8,1.8,6,Matty,1.8,202,71,14,0,28.0,183,47,43,False,109.8,194,74,781,,2022-09-05T02:00:06.074114Z,46,312,54,0,0,None,0,,199796.jpg,1.5,316,113,0,0,Cash,4.1,82,27,False,None,a,2,7,50.0,207,45,15,132454,3298,1413467,4319,0.4,3.3,Cash,2
0,1,162,100,100,3,199798,None,,0,0,-1,1,60.2,184,44,None,,0,2,3.0,3.0,6,Ezri,3.0,101,30,15,0,24.6,212,60,44,False,164.4,121,38,991,,2022-07-05T15:30:04.118376Z,44,447,119,0,0,None,0,,199798.jpg,2.4,209,78,0,0,Konsa Ngoyo,0.4,284,100,False,None,a,2,7,21.0,288,90,29,42371,580,37389,896,0.7,6.6,Konsa,2
2,3,114,100,100,3,215711,2,,0,0,-4,4,175.6,56,45,3,,1,3,3.4,3.4,13,Leon,3.4,85,36,11,2,52.8,65,45,45,False,145.4,157,66,680,,2022-10-06T13:30:06.901968Z,46,314,189,0,0,None,0,,215711.jpg,3.5,94,38,0,0,Bailey,4.4,77,29,False,None,a,2,7,204.0,57,34,39,630568,12120,1724596,9086,0.7,8.5,Bailey,2
1,2,125,100,100,3,230046,1,,0,0,-2,2,165.2,61,47,2,,0,3,2.6,2.6,6,Douglas Luiz,2.6,137,53,8,1,37.0,117,76,46,False,147.4,149,62,664,,2022-10-21T00:00:07.037624Z,48,284,174,0,0,None,0,,230046.jpg,2.5,197,73,1,0,Soares de Paulo,0.4,268,96,False,None,a,2,7,58.0,189,114,27,49773,965,75016,1359,0.5,5.6,Douglas Luiz,1
1,3,131,None,None,2,232653,None,,0,0,-3,3,146.1,74,58,None,,1,3,1.8,1.8,1,Jacob,1.8,211,91,14,1,45.0,90,62,47,False,169.0,115,53,833,,None,52,168,98,0,0,None,0,,232653.jpg,2.5,201,77,0,0,Ramsey,1.0,177,59,False,None,a,2,7,134.0,99,62,30,106722,506,196107,6481,0.3,5.8,Ramsey,4
0,0,0,0,0,0,490094,None,,0,0,0,0,0.0,586,240,None,,0,3,0.0,0.0,0,Tim,0.0,568,224,0,0,0.0,593,238,49,False,0.0,591,237,0,Season-long loan to QPR,2022-09-02T11:07:08.174211Z,45,399,217,0,0,None,0,,490094.jpg,0.0,599,245,0,0,Iroegbunam,0.0,572,234,False,None,u,2,7,0.0,572,232,0,1334,0,3638,30,0.0,0.0,Iroegbunam,0
0,0,17,0,0,0,165659,None,,0,0,-3,3,2.8,363,134,None,,0,2,0.0,0.0,0,Diego Carlos,0.0,587,224,3,0,5.8,349,126,50,False,23.0,337,129,180,Achilles injury - Unknown return date,2022-08-13T15:30:06.470124Z,47,298,49,0,0,None,0,,165659.jpg,1.5,317,114,0,0,Santos Silva,0.2,335,121,False,None,i,2,7,32.0,263,77,3,6105,20,94591,184,0.0,0.6,Diego Carlos,0
0,0,0,0,0,0,193488,None,,0,0,-2,2,0.0,607,256,None,,0,3,0.0,0.0,0,Anwar,0.0,597,246,0,0,0.0,613,255,51,False,0.0,611,254,0,Transferred to PSV Eindhoven,2022-09-01T08:52:22.652805Z,48,272,167,0,0,None,0,,193488.jpg,0.0,616,259,0,0,El Ghazi,0.0,533,211,False,None,u,2,7,0.0,598,252,0,2511,0,12821,58,0.0,0.0,El Ghazi,0
0,0,0,0,0,0,221239,None,,0,0,-1,1,0.0,641,67,None,,0,4,0.0,0.0,0,Keinan,0.0,635,65,0,0,0.0,642,67,52,False,0.0,642,67,0,Joined Watford on loan - Expected back 01 Jul,2022-08-05T11:30:05.744996Z,54,135,45,0,0,None,0,,221239.jpg,0.0,641,67,0,0,Davis,0.0,522,66,False,None,u,2,7,0.0,641,67,0,586,0,13578,33,0.0,0.0,Davis,0
0,0,70,0,0,0,226944,None,,0,0,-2,2,33.5,247,138,None,,0,3,0.0,0.0,0,Boubacar,0.0,601,249,10,0,13.8,291,135,53,False,100.0,215,92,566,Knee injury - Expected back 26 Dec,2022-09-17T01:30:06.256487Z,48,282,173,0,0,None,0,,226944.jpg,1.7,299,128,0,0,Kamara,0.1,429,159,False,None,i,2,7,5.0,342,166,12,11090,5,22130,191,0.0,2.5,Kamara,1
0,0,11,100,100,0,433979,None,,0,0,-2,2,2.4,370,51,None,,0,4,0.6,0.6,1,Cameron,0.6,297,42,1,0,0.9,400,52,54,False,1.6,418,51,36,,2022-08-30T12:30:06.507496Z,43,533,71,0,0,None,0,,433979.jpg,1.0,371,47,0,0,Archer,2.9,101,12,False,None,a,2,7,6.0,335,53,5,248884,5872,668154,7356,0.1,1.2,Archer,0
0,0,0,0,0,0,481624,None,,0,0,0,0,0.0,583,238,None,,0,3,0.0,0.0,0,Jaden,0.0,565,222,0,0,0.0,590,236,55,False,0.0,588,235,0,Joined Cardiff City on loan - Expected back 01 Jul,2022-07-28T16:30:04.277181Z,45,396,215,0,0,None,0,,481624.jpg,0.0,596,243,0,0,Philogene-Bidace,0.0,636,269,False,None,u,2,7,0.0,569,230,0,0,0,350,3,0.0,0.0,Philogene-Bidace,0
0,0,0,None,None,0,203368,None,,0,0,-1,1,0.0,431,165,None,,0,2,0.0,0.0,0,Frédéric,0.0,395,143,0,0,0.0,449,170,56,False,0.0,448,172,0,,None,39,630,219,0,0,None,0,,203368.jpg,0.0,459,169,0,0,Guilbert,0.8,201,74,False,None,a,2,7,0.0,380,145,0,52054,1214,65789,1322,0.0,0.0,Guilbert,0
0,0,47,100,100,0,171771,None,,0,0,-2,2,22.0,290,96,None,,0,2,0.4,0.4,0,Jan,0.4,327,113,7,0,8.5,328,117,410,False,54.6,287,111,249,,2022-09-15T13:30:06.437687Z,43,510,147,0,0,None,0,,171771.jpg,0.8,434,155,0,0,Bednarek,0.2,332,119,False,None,a,2,7,8.0,325,116,3,4948,54,30353,374,0.1,0.7,Bednarek,0
0,0,67,100,100,2,151589,None,,0,0,-3,3,53.5,194,119,None,,0,3,1.2,1.2,3,Leander,1.2,256,114,4,0,16.9,264,123,479,False,59.8,279,121,344,,2022-09-02T10:00:06.844549Z,47,297,183,0,0,None,0,,151589.jpg,1.6,306,133,0,0,Dendoncker,0.1,448,172,False,None,a,2,7,55.0,196,118,14,6518,143,15903,139,0.3,3.0,Dendoncker,0
0,0,-1,50,0,0,155561,None,,0,0,-2,2,0.3,397,151,None,,0,2,0.0,0.0,0,Ludwig,0.0,482,193,0,0,0.2,423,158,525,False,1.6,417,157,45,Hamstring injury - 50% chance of playing,2022-10-02T21:00:07.475842Z,43,505,144,0,0,None,0,,155561.jpg,0.0,533,210,0,0,Augustinsson,0.0,509,184,False,None,d,2,7,0.0,472,198,0,1521,3,6087,64,0.0,0.0,Augustinsson,1
0,0,0,0,0,0,537043,None,,0,0,0,0,0.0,493,199,None,,0,2,0.0,0.0,0,Kaine,0.0,461,181,0,0,0.0,510,204,537,False,0.0,507,204,0,Season-long loan to Huddersfield Town,2022-08-12T14:24:07.750145Z,40,613,209,0,0,None,0,,537043.jpg,0.0,519,202,0,0,Kesler Hayden,0.1,487,176,False,None,u,2,7,0.0,444,181,0,1637,0,9700,37,0.0,0.0,Kesler Hayden,0
0,5,134,None,None,3,18892,3,,0,0,-1,1,131.3,91,14,None,,1,2,5.4,5.4,6,Ashley,5.4,21,4,7,1,31.6,153,33,538,False,146.0,156,59,604,,None,44,416,98,0,0,None,0,,18892.jpg,4.2,53,11,0,0,Young,1.3,156,53,False,None,a,2,7,37.0,244,66,34,152209,6833,40698,3782,1.2,7.7,Young,2
0,0,0,None,None,0,515597,None,,0,0,0,0,0.0,491,197,None,,0,2,0.0,0.0,0,Lamare,0.0,459,179,0,0,0.0,508,202,638,False,0.0,506,203,0,,None,40,611,207,0,0,None,0,,515597.jpg,0.0,518,201,0,0,Bogarde,0.0,541,200,False,None,a,2,7,0.0,442,179,0,2914,229,1099,164,0.0,0.0,Bogarde,0
0,2,150,None,None,3,54469,None,,0,0,-1,1,83.8,147,32,None,,0,2,1.8,2.3,1,Adam,2.8,117,38,21,0,30.9,160,35,57,False,164.4,120,37,1035,,None,44,419,101,0,0,None,0,,54469.jpg,2.1,242,89,0,0,Smith,0.2,353,127,False,None,a,3,91,59.0,186,33,25,18075,445,19378,526,0.6,5.7,Smith,4
