Understat_ID,FPL_ID,Understat_Name,FPL_Name
3303,256,Ricardo Pereira,Ricardo Barbosa Pereira
3420,282,Fabinho,Fabio Henrique Tavares
3422,503,João Moutinho,João Filipe Iria Santos Moutinho
3585,464,Said Benrahma,Saïd Benrahma
3621,110,Neal Maupay,Neal Maupay
3635,311,Bernardo Silva,Bernardo Veiga de Carvalho e Silva
3696,36,Morgan Sanson,Morgan Sanson
3697,166,Odsonne Edouard,Odsonne Edouard
4105,476,Raúl Jiménez,Raúl Jiménez
4381,223,Mateusz Klich,Mateusz Klich
4401,31,Emiliano Martinez,Emiliano Martínez Romero
4419,408,Adam Armstrong,Adam Armstrong
4456,354,Chris Wood,Chris Wood
4764,187,Jean-Philippe Gbamin,Jean-Philippe Gbamin
5050,513,Clement Lenglet,Clément Lenglet
5061,133,Kepa,Kepa Arrizabalaga
5086,245,Marc Roca,Marc Roca Junqué
5220,145,Kai Havertz,Kai Havertz
5221,45,Leon Bailey,Leon Bailey
5247,287,Naby Keita,Naby Keita
5264,267,Caglar Söyüncü,Çaglar Söyüncü
5543,28,Gabriel Jesus,Gabriel Fernando de Jesus
5545,265,Wilfred Ndidi,Wilfred Ndidi
5549,158,Luka Milivojevic,Luka Milivojevic
5552,376,Nick Pope,Nick Pope
5553,467,Declan Rice,Declan Rice
5555,191,Dominic Calvert-Lewin,Dominic Calvert-Lewin
5560,338,Scott McTominay,Scott McTominay
5584,341,Aaron Wan-Bissaka,Aaron Wan-Bissaka
5590,209,Tosin Adarabioyo,Tosin Adarabioyo
5595,231,Daniel James,Daniel James
5602,391,Sam Surridge,Sam Surridge
5603,15,Aaron Ramsdale,Aaron Ramsdale
5609,444,Yves Bissouma,Yves Bissouma
5612,51,Anwar El Ghazi,Anwar El Ghazi
5613,16,Gabriel,Gabriel dos Santos Magalhães
5648,143,Malang Sarr,Malang Sarr
5656,9,Nicolas Pepe,Nicolas Pépé
5712,50,Diego Carlos,Diego Carlos Santos Silva
5735,168,Jean-Philippe Mateta,Jean-Philippe Mateta
5786,89,Yoane Wissa,Yoane Wissa
5789,53,Boubacar Kamara,Boubacar Kamara
5956,259,Youri Tielemans,Youri Tielemans
5973,215,Kenny Tete,Kenny Tete
5989,507,Moussa Niakhate,Moussa Niakhaté
6026,454,Richarlison,Richarlison de Andrade
6027,164,Jairo Riedewald,Jairo Riedewald
6034,70,Philip Billing,Philip Billing
6042,410,Jan Bednarek,Jan Bednarek
6047,105,Shane Duffy,Shane Duffy
6048,106,Lewis Dunk,Lewis Dunk
6049,107,Solly March,Solly March
6054,307,Ederson,Ederson Santana de Moraes
6055,314,Phil Foden,Phil Foden
6063,365,Jacob Murphy,Jacob Murphy
6080,337,Victor Lindelöf,Victor Lindelöf
6088,536,Orel Mangala,Orel Mangala
6104,163,Will Hughes,Will Hughes
6108,440,Rodrigo Bentancur,Rodrigo Bentancur
6122,46,Douglas Luiz,Douglas Luiz Soares de Paulo
6157,258,Timothy Castagne,Timothy Castagne
6163,482,Nélson Semedo,Nélson Cabral Semedo
6249,435,Davinson Sánchez,Davinson Sánchez
6252,413,Lyanco,Lyanco Silveira Neves Vojnovic
6253,529,Gianluca Scamacca,Gianluca Scamacca
6273,230,Robin Koch,Robin Koch
6276,466,Nikola Vlasic,Nikola Vlasic
6310,269,Boubakary Soumare,Boubakary Soumaré
6314,165,Joachim Andersen,Joachim Andersen
6326,290,Ibrahima Konaté,Ibrahima Konaté
6345,340,Jadon Sancho,Jadon Sancho
6377,442,Joe Rodon,Joe Rodon
6382,486,Pedro Neto,Pedro Lomba Neto
6418,263,Hamza Choudhury,Hamza Choudhury
6424,471,Ben Johnson,Ben Johnson
6451,174,Nathan Ferguson,Nathan Ferguson
6456,144,Callum Hudson-Odoi,Callum Hudson-Odoi
6482,11,Eddie Nketiah,Eddie Nketiah
6485,239,Júnior Firpo,Junior Firpo Adames
6492,23,Reiss Nelson,Reiss Nelson
6500,417,Romain Perraud,Romain Perraud
6521,188,Yerry Mina,Yerry Mina
6532,355,Martin Dubravka,Martin Dubravka
6552,95,Bryan Mbeumo,Bryan Mbeumo
6615,141,Trevoh Chalobah,Trevoh Chalobah
6630,373,Joe Willock,Joe Willock
6665,291,Curtis Jones,Curtis Jones
6674,487,Rayan Ait Nouri,Rayan Aït-Nouri
6681,264,Harvey Barnes,Harvey Barnes
6691,446,Dejan Kulusevski,Dejan Kulusevski
6736,416,Ibrahima Diallo,Ibrahima Diallo
6756,534,Dwight McNeil,Dwight McNeil
6817,331,Fred,Frederico Rodrigues de Paula Santos
6818,261,James Maddison,James Maddison
6827,205,Bobby Reid,Bobby De Cordova-Reid
6835,200,Tom Cairney,Tom Cairney
6837,436,Ryan Sessegnon,Ryan Sessegnon
6840,204,Neeskens Kebano,Neeskens Kebano
6850,474,Willy Boly,Willy Boly
6851,475,Conor Coady,Conor Coady
6852,429,Matt Doherty,Matt Doherty
6853,480,Rúben Neves,Rúben da Silva Neves
6854,288,Diogo Jota,Diogo Jota
6856,531,Rúben Vinagre,Rúben Nascimento Vinagre
6857,493,Morgan Gibbs-White,Morgan Gibbs-White
6859,38,Kortney Hause,Kortney Hause
6880,147,Edouard Mendy,Edouard Mendy
6888,26,William Saliba,William Saliba
6891,59,Ryan Fredericks,Ryan Fredericks
6893,405,Stuart Armstrong,Stuart Armstrong
6894,406,Mohamed Elyounoussi,Mohamed Elyounoussi
6923,420,Mohammed Salisu,Mohammed Salisu
6962,35,Robin Olsen,Robin Olsen
7069,87,Saman Ghoddos,Saman Ghoddos
7078,370,Sean Longstaff,Sean Longstaff
7083,79,Christian Nørgaard,Christian Nørgaard
7134,112,Marc Cucurella,Marc Cucurella Saseta
7166,88,Mathias Jensen,Mathias Jensen
7184,201,Tim Ream,Tim Ream
7187,438,Sergio Reguilón,Sergio Reguilón
7198,441,Oliver Skipp,Oliver Skipp
7218,443,Cristian Romero,Cristian Romero
7230,12,Emile Smith-Rowe,Emile Smith Rowe
7235,102,Jason Steele,Jason Steele
7236,479,Leander Dendoncker,Leander Dendoncker
7239,556,Conor Coventry,Conor Coventry
7280,414,Yan Valery,Yan Valery
7281,342,Diogo Dalot,Diogo Dalot Teixeira
7298,10,Ben White,Benjamin White
7322,13,Bukayo Saka,Bukayo Saka
7332,484,Max Kilman,Max Kilman
7352,506,Tyler Adams,Tyler Adams
7382,358,Dan Burn,Dan Burn
7384,71,Chris Mepham,Chris Mepham
7420,369,Miguel Almirón,Miguel Almirón Rejala
7430,445,Emerson,Emerson Leite de Souza Junior
7546,294,Harvey Elliott,Harvey Elliott
7582,72,Mark Travers,Mark Travers
7589,272,Wesley Fofana,Wesley Fofana
7603,167,Marc Guehi,Marc Guéhi
7689,193,Ben Godfrey,Ben Godfrey
7691,372,Jamal Lewis,Jamal Lewis
7698,111,Leandro Trossard,Leandro Trossard
7699,108,Adam Webster,Adam Webster
7700,411,Che Adams,Che Adams
7701,418,Moussa Djenepo,Moussa Djenepo
7702,398,Dean Henderson,Dean Henderson
7723,37,John McGinn,John McGinn
7726,44,Ezri Konsa Ngoyo,Ezri Konsa Ngoyo
7752,19,Gabriel Martinelli,Gabriel Martinelli Silva
7753,268,James Justin,James Justin
7768,142,Mason Mount,Mason Mount
7814,397,Taiwo Awoniyi,Taiwo Awoniyi
7817,310,Zack Steffen,Zack Steffen
7904,289,Caoimhin Kelleher,Caoimhin Kelleher
7931,14,Takehiro Tomiyasu,Takehiro Tomiyasu
7988,149,Billy Gilmour,Billy Gilmour
8020,115,Steven Alzate,Steven Alzate
8040,41,Marvelous Nakamba,Marvelous Nakamba
8067,146,Reece James,Reece James
8075,343,Brandon Williams,Brandon Williams
8089,8,Kieran Tierney,Kieran Tierney
8090,73,Lloyd Kelly,Lloyd Kelly
8150,195,Anthony Gordon,Anthony Gordon
8179,485,Luke Cundle,Luke Cundle
8204,295,Neco Williams,Neco Williams
8214,170,Tyrick Mitchell,Tyrick Mitchell
8222,439,Japhet Tanganga,Japhet Tanganga
8224,415,William Smallbone,Will Smallbone
8226,114,Tariq Lamptey,Tariq Lamptey
8260,318,Erling Haaland,Erling Haaland
8288,468,Tomas Soucek,Tomas Soucek
8291,483,Daniel Podence,Daniel Castelo Podence
8300,437,Steven Bergwijn,Steven Bergwijn
8327,374,Bruno Guimarães,Bruno Guimarães Rodriguez Moura
8379,116,Alexis Mac Allister,Alexis Mac Allister
8380,20,Pablo Marí,Pablo Marí Villar
8384,150,Armando Broja,Armando Broja
8456,412,Nathan Tella,Nathan Tella
8476,196,Jarrad Branthwaite,Jarrad Branthwaite
8497,316,Cole Palmer,Cole Palmer
8544,241,Lewis Bate,Lewis Bate
8562,270,Luke Thomas,Luke Thomas
8635,377,Sven Botman,Sven Botman
8666,514,Cheick Oumar Doucoure,Cheick Doucouré
8704,213,Marek Rodák,Marek Rodák
8706,169,Eberechi Eze,Eberechi Eze
8715,238,Illan Meslier,Illan Meslier
8716,222,Luke Ayling,Luke Ayling
8717,235,Pascal Struijk,Pascal Struijk
8718,226,Stuart Dallas,Stuart Dallas
8719,325,Kalvin Phillips,Kalvin Phillips
8720,233,Jack Harrison,Jack Harrison
8721,234,Jamie Shackleton,Jamie Shackleton
8778,488,Fabio Silva,Fabio Silva
8780,109,Joël Veltman,Joël Veltman
8816,221,Liam Cooper,Liam Cooper
8821,336,Donny van de Beek,Donny van de Beek
8845,481,Hee-Chan Hwang,Hwang Hee-chan
8852,292,Konstantinos Tsimikas,Konstantinos Tsimikas
8864,43,Matthew Cash,Matty Cash
8865,40,Ollie Watkins,Ollie Watkins
8868,323,Liam Delap,Liam Delap
8940,217,Antonee Robinson,Antonee Robinson
8941,47,Jacob Ramsey,Jacob Ramsey
8942,510,Aaron Hickey,Aaron Hickey
8961,312,Rúben Dias,Rúben Gato Alves Dias
8965,463,Vladimir Coufal,Vladimir Coufal
8992,135,Hakim Ziyech,Hakim Ziyech
9040,148,Conor Gallagher,Conor Gallagher
9098,113,Robert Sánchez,Robert Sánchez
9284,117,Jakub Moder,Jakub Moder
9332,447,Dane Scarlett,Dane Scarlett
9339,242,Joe Gelhardt,Joe Gelhardt
9356,48,Carney Chukwuemeka,Carney Chukwuemeka
9415,55,Jaden Philogene-Bidace,Jaden Philogene-Bidace
9453,120,Moisés Caicedo,Moisés Caicedo Corozo
9461,172,Jesurun Rak-Sakyi,Jesurun Rak-Sakyi
9492,240,Crysencio Summerville,Crysencio Summerville
9493,237,Sam Greenwood,Sam Greenwood
9501,296,Fabio Carvalho,Fábio Freitas Gouveia Carvalho
9512,419,Valentino Livramento,Tino Livramento
9524,344,Anthony Elanga,Anthony Elanga
9554,49,Tim Iroegbunam,Tim Iroegbunam
9676,81,David Raya,David Raya Martin
9677,84,Kristoffer Ajer,Kristoffer Ajer
9678,92,Ethan Pinnock,Ethan Pinnock
9679,85,Rico Henry,Rico Henry
9680,86,Vitaly Janelt,Vitaly Janelt
9681,93,Frank Onyeka,Frank Onyeka
9682,99,Mads Bidstrup,Mads Bidstrup
9683,91,Mads Bech Sørensen,Mads Bech Sørensen
9684,97,Marcus Forss,Marcus Forss
9685,90,Mads Roerslev,Mads Roerslev Rasmussen
9686,541,Halil Dervisoglu,Halil Dervişoğlu
9687,96,Charlie Goode,Charlie Goode
9689,18,Albert Sambi Lokonga,Albert Sambi Lokonga
9691,17,Nuno Tavares,Nuno Varela Tavares
9700,236,Kristoffer Klaesson,Kristoffer Klaesson
9733,516,Nathan Collins,Nathan Collins
9734,118,Enock Mwepu,Enock Mwepu
9735,121,Taylor Richards,Taylor Richards
9738,271,Patson Daka,Patson Daka
9739,266,Kiernan Dewsbury-Hall,Kiernan Dewsbury-Hall
9740,478,José Sá,José Malheiro de Sá
9741,568,Chem Campbell,Chem Campbell
9912,54,Cameron Archer,Cameron Archer
9914,94,Shandon Baptiste,Shandon Baptiste
9915,98,Dominic Thompson,Dominic Thompson
9948,171,Michael Olise,Michael Olise
10004,321,Romeo Lavia,Roméo Lavia
10028,243,Leo Fuhr Hjelde,Leo Fuhr Hjelde
10036,119,Jeremy Sarmiento,Jeremy Sarmiento Morante
10126,317,James McAtee,James McAtee
10168,273,Lewis Brunt,Lewis Brunt
10291,194,Vitalii Mykolenko,Vitalii Mykolenko
10292,197,Nathan Patterson,Nathan Patterson
10293,489,Toti,Toti António Gomes
10327,490,Chiquinho,Francisco Jorge Tomás Oliveira
10405,83,Josh Dasilva,Josh Dasilva
10408,293,Luis Díaz,Luis Díaz
10552,569,Alejandro Garnacho,Alejandro Garnacho
10698,173,Malcolm Ebiowei,Malcolm Ebiowei
10715,220,João Palhinha,João Palhinha Gonçalves
10716,562,Manor Solomon,Manor Solomon
10720,297,Darwin Núñez,Darwin Núñez Ribeiro
10740,76,Jordan Zemura,Jordan Zemura
10741,535,Marcus Tavernier,Marcus Tavernier
10742,68,Ben Pearson,Ben Pearson
10743,62,Kieffer Moore,Kieffer Moore
10744,69,Ryan Christie,Ryan Christie
10750,244,Rasmus Kristensen,Rasmus Kristensen
10751,246,Brenden Aaronson,Brenden Aaronson
10756,388,Joe Worrall,Joe Worrall
10757,385,Scott McKenna,Scott McKenna
10758,523,Harry Toffolo,Harry Toffolo
10759,524,Lewis O'Brien,Lewis O'Brien
10760,394,Brennan Johnson,Brennan Johnson
10761,395,Alex Mighten,Alex Mighten
10765,422,Gavin Bazunu,Gavin Bazunu
10766,512,Joe Ayodele-Aribo,Joe Ayodele-Aribo
10802,533,Lisandro Martínez,Lisandro Martínez
10803,504,Tyrell Malacia,Tyrell Malacia
10804,123,Deniz Undav,Deniz Undav
10805,559,Levi Colwill,Levi Colwill
10809,515,Keane Lewis-Potter,Keane Lewis-Potter
10845,509,Flynn Downes,Flynn Downes
10846,319,Julián Álvarez,Julián Álvarez
631,538,Ashley Young,Ashley Young
10865,61,Jamal Lowe,Jamal Lowe
7823,65,Jack Stacey,Jack Stacey
10746,75,Jaidon Anthony,Jaidon Anthony
10864,576,Marcos Senesi,Marcos Senesi
10806,124,Kaoru Mitoma,Kaoru Mitoma
5136,586,Estupiñán,Pervis Estupiñán
8430,530,Chris Richards,Chris Richards
9667,577,Amadou Onana,Amadou Onana
10718,219,Jay Stansfield,Jay Stansfield
9552,521,Tyrese Francois,Tyrese Francois
983,532,Kevin Mbabu,Kevin Mbabu
1234,549,Dennis Praet,Dennis Praet
10866,508,Luis Sinisterra,Luis Sinisterra Lucumí
8228,501,Nathaniel Phillips,Nathaniel Phillips
10847,573,Rico Lewis,Rico Lewis
458,379,Steve Cook,Steve Cook
5646,383,Cafú,Carlos Ribeiro Dias
11003,387,Ryan Yates,Ryan Yates
532,583,Cheikhou Kouyaté,Cheikhou Kouyaté
9710,423,Armel Bella Kotchap,Armel Bella-Kotchap
8970,528,Sékou Mara,Sékou Mara
3278,575,Maxwel Cornet,Maxwel Cornet
2674,588,Thilo Kehrer,Thilo Kehrer
900,491,Adama Traoré,Adama Traoré Diarra
5682,579,Gonçalo Guedes,Gonçalo Manuel Ganchinho Guedes
11000,589,Matheus Nunes,Matheus Luiz Nunes
11007,25,Fábio Vieira,Fábio Ferreira Vieira
11035,27,Marquinhos,Marcus Oliveira Alencar
11132,630,Ethan Nwaneri,Ethan Nwaneri
6083,525,Ludwig Augustinsson,Ludwig Augustinsson
10745,63,Emiliano Marcondes,Emiliano Marcondes
10749,74,Siriki Dembélé,Siriki Dembélé
561,505,Joe Rothwell,Joe Rothwell
1297,574,Neto,Norberto Murara Neto
11034,598,Owen Bevan,Owen Bevan
8859,580,Mikkel Damsgaard,Mikkel Damsgaard
6030,595,Zanka,Mathias Jorgensen
11058,125,Julio Enciso,Julio Enciso
10807,544,Jan Paul van Hecke,Jan Paul van Hecke
318,617,Pierre-Emerick Aubameyang,Pierre-Emerick Aubameyang
10216,661,Lewis Hall,Lewis Hall
694,176,Asmir Begovic,Asmir Begović
7438,570,James Garner,James Garner
668,611,Idrissa Gueye,Idrissa Gueye
11232,662,Thomas Cannon,Thomas Cannon
1677,203,Nathaniel Chalobah,Nathaniel Chalobah
5596,212,Harry Wilson,Harry Wilson
661,216,Josh Onomah,Josh Onomah
10719,546,Luke Harris,Luke Harris
3298,613,Layvin Kurzawa,Layvin Kurzawa
700,614,Willian,Willian Borges da Silva
7395,618,Carlos Vinicius,Carlos Vinícius Alves Morais
8646,612,Wout Faes,Wout Faes
9499,547,Cody Drameh,Cody Drameh
11155,619,Wilfried Gnonto,Wilfried Gnonto
11208,659,Mateo Joseph,Mateo Joseph Fernández
10723,564,Stefan Bajcetic,Stefan Bajcetic
10997,584,Bobby Clark,Bobby Clark
6656,587,Sergio Gómez,Sergio Gómez
6490,610,Manuel Akanji,Manuel Akanji
2248,593,Casemiro,Carlos Henrique Casimiro
11094,609,Antony,Antony Matheus dos Santos
9154,552,Elliot Anderson,Elliot Anderson
5232,594,Alexander Isak,Alexander Isak
7282,399,Giulian Biancone,Giulian Biancone
1488,582,Remo Freuler,Remo Freuler
9301,585,Emmanuel Dennis,Emmanuel Dennis
7891,602,Renan Lodi,Renan Augusto Lodi dos Santos
3600,628,Serge Aurier,Serge Aurier
11078,622,Juan Larios,Juan Larios López
7007,623,Duje Caleta-Car,Duje Caleta-Car
10072,624,Samuel Edozie,Samuel Edozie
10764,522,Djed Spence,Djed Spence
7338,554,Bryan Gil Salvatierra,Bryan Gil Salvatierra
6935,472,Naif Aguerd,Nayef Aguerd
1245,545,Emerson,Emerson Palmieri dos Santos
7365,603,Lucas Paquetá,Lucas Tolentino Coelho de Lima
10140,558,Hugo Bueno,Hugo Bueno López
10755,566,Joseph Hodge,Joseph Hodge
10753,567,Connor Ronan,Connor Ronan
8812,608,Sasa Kalajdzic,Sasa Kalajdzic
802,625,Diego Costa,Diego Da Silva Costa
8119,629,Boubacar Traore,Boubacar Traoré
11233,664,Dexter Lembikisa,Dexter Lembikisa
7892,690,João Félix,João Félix Sequeira
7240,689,Benoit Badiashile Mukinayi,Benoît Badiashile
9156,688,Kevin Schade,Kevin Schade
10177,596,Evan Ferguson,Evan Ferguson
10012,710,Jakub Kiwior,Jakub Kiwior
4120,694,Álex Moreno,Alexandre Moreno Lopera
11366,711,Jhon Durán,Jhon Durán
6820,60,David Brooks,David Brooks
9662,705,Dango Ouattara,Dango Ouattara
11363,714,Antoine Semenyo,Antoine Semenyo
9892,718,Matias Viña,Matías Viña
11486,722,Illia Zabarnyi,Illia Zabarnyi
6986,723,Hamed Junior Traore,Hamed Traorè
11193,651,Andrew Moran,Andrew Moran
11362,679,Facundo Buonanotte,Facundo Buonanotte
11385,719,Yasin Ayari,Yasin Ayari
6147,616,Denis Zakaria,Denis Zakaria
10348,653,Omari Hutchinson,Omari Hutchinson
11295,684,David Datro Fofana,David Datro Fofana
11305,699,Mykhailo Mudryk,Mykhailo Mudryk
11357,708,Noni Madueke,Noni Madueke
11356,724,Enzo Fernández,Enzo Fernández
978,175,Sam Johnstone,Sam Johnstone
11005,590,Joseph Whitworth,Joseph Whitworth
11268,676,David Ozoh,David Ozoh
9274,725,Naouirou Ahamada,Naouirou Ahamada
9470,678,Isaac Price,Isaac Price
8582,686,Ellis Simms,Ellis Simms
1537,726,Sasa Lukic,Sasa Lukic
10808,548,Daniel Iversen,Daniel Iversen
11367,709,Victor Kristiansen,Victor Kristiansen
10536,715,Tetê,Mateus Cardoso Lemos Martins
6329,727,Harry Souttar,Harry Souttar
10752,247,Darko Gyabi,Darko Gyabi
7366,691,Maximilian Wöber,Maximilian Wöber
6937,700,Georginio Rutter,Georginio Rutter
5360,720,Weston McKennie,Weston McKennie
11231,665,Ben Doak,Ben Doak
11296,680,Cody Gakpo,Cody Gakpo
11378,712,Máximo Perrone,Máximo Perrone
9324,347,Facundo Pellistri,Facundo Pellistri Rebollo
11174,643,Kobbie Mainoo,Kobbie Mainoo
7052,701,Wout Weghorst,Wout Weghorst
5248,728,Marcel Sabitzer,Marcel Sabitzer
11284,681,Gustavo Scarpa,Gustavo Henrique Furtado Scarpa
