season,code,web_name,position,team_name,total_points,now_cost_m,selected_by_percent,minutes,archetype_id,archetype_name,local_cluster,viz_x,viz_y,goals_scored,assists,expected_goals,expected_assists,expected_goal_involvements,clean_sheets,goals_conceded,expected_goals_conceded,saves,bonus,bps,yellow_cards,red_cards,influence,creativity,threat,ict_index,points_per_90,goals_per_90,assists_per_90,xg_per_90,xa_per_90,xgi_per_90
2023-24,206325,Zinchenko,DEF,Arsenal,104,5.0,5.1,1717,-1,Unclassified,-1,6.718179,5.7908483,1,2,0.6,2.65,3.25,9,15,12.33,0,16,468,2,0,395.4,474.8,133.0,100.4,5.451368666278393,0.052417006406523,0.104834012813046,0.0314502038439138,0.1389050669772859,0.1703552708211997
2023-24,222677,Chong,MID,Luton,78,4.4,0.2,1972,-1,Unclassified,-1,6.5468802,7.179489,4,2,2.7,1.33,4.03,0,51,47.8,0,3,222,4,0,303.6,206.3,310.0,81.6,3.559837728194726,0.1825557809330628,0.0912778904665314,0.1232251521298174,0.0606997971602434,0.1839249492900608
2023-24,224967,Mykolenko,DEF,Everton,101,4.5,2.6,2469,-1,Unclassified,-1,6.6995134,5.936048,2,1,1.49,1.07,2.56,9,37,39.97,0,9,452,1,0,517.4,239.8,211.0,96.8,3.681652490886999,0.0729040097205346,0.0364520048602673,0.0543134872417983,0.039003645200486,0.0933171324422843
2023-24,226597,Gabriel,DEF,Arsenal,149,5.4,28.3,3042,-1,Unclassified,-1,7.0366387,5.5753508,3,1,4.48,0.65,5.13,16,26,26.18,0,8,676,4,0,675.8,121.9,379.0,117.9,4.40828402366864,0.0887573964497041,0.029585798816568,0.1325443786982248,0.0192307692307692,0.151775147928994
2023-24,244954,Pau,DEF,Aston Villa,85,4.6,2.8,2462,-1,Unclassified,-1,6.368625,5.938903,2,0,0.96,0.71,1.67,6,37,40.0,0,4,461,1,0,479.4,150.6,135.0,76.6,3.107229894394801,0.0731112916328188,0.0,0.035093419983753,0.0259545085296506,0.0610479285134037
2023-24,441455,Vitinho,DEF,Burnley,60,4.4,0.2,2311,-1,Unclassified,-1,5.834756,6.4802327,0,3,1.7,1.13,2.82,2,44,45.62,0,2,259,1,0,305.4,200.8,228.0,73.0,2.336650800519256,0.0,0.1168325400259627,0.0662051060147122,0.0440069234097793,0.109822587624405
2023-24,444145,Martinelli,MID,Arsenal,118,7.5,4.2,2010,-1,Unclassified,-1,11.303319,7.825894,6,5,6.36,5.18,11.53,10,23,14.88,0,6,404,1,0,500.4,717.1,795.0,200.8,5.283582089552239,0.2686567164179104,0.2238805970149253,0.2847761194029851,0.2319402985074626,0.5162686567164179
2023-24,449871,Onana,MID,Everton,66,4.7,0.2,2085,-1,Unclassified,-1,6.7693696,6.8609834,2,0,2.22,1.39,3.61,5,38,36.94,0,5,304,5,0,354.0,282.7,254.0,89.5,2.848920863309353,0.0863309352517985,0.0,0.0958273381294964,0.06,0.1558273381294964
2023-24,462424,Saliba,DEF,Arsenal,164,5.9,39.1,3420,-1,Unclassified,-1,7.145348,5.4803452,2,1,1.7,0.9,2.6,18,29,28.32,0,13,781,4,0,697.2,152.1,140.0,99.1,4.315789473684211,0.0526315789473684,0.0263157894736842,0.0447368421052631,0.0236842105263157,0.0684210526315789
2023-24,476369,Kaboré,DEF,Luton,34,4.0,1.9,1727,-1,Unclassified,-1,6.8831024,7.287693,0,3,0.22,1.87,2.09,0,39,38.04,0,3,236,7,0,326.6,253.0,62.0,64.0,1.7718587145338738,0.0,0.1563404748118124,0.0114649681528662,0.097452229299363,0.1089171974522292
2023-24,477424,Gvardiol,DEF,Man City,123,5.2,18.1,2327,-1,Unclassified,-1,6.709611,5.7438354,4,2,3.14,2.09,5.23,9,23,23.88,0,12,549,3,0,544.4,362.2,389.0,129.7,4.757198109153417,0.1547056295659647,0.0773528147829823,0.1214439192092823,0.0808336914482165,0.2022776106574989
2023-24,493105,Garnacho,MID,Man Utd,131,5.0,9.8,2564,-1,Unclassified,-1,12.305671,8.046906,7,7,8.23,2.81,11.04,8,39,51.56,0,7,372,4,0,527.2,616.8,1103.0,224.3,4.598283931357254,0.2457098283931357,0.2457098283931357,0.2888845553822153,0.0986349453978159,0.3875195007800311
2023-24,513046,Danilo,MID,Nott'm Forest,65,5.3,0.1,1787,-1,Unclassified,-1,6.2237525,7.2786527,2,2,1.82,0.94,2.76,1,42,28.6,0,4,302,4,0,368.0,277.6,137.0,78.1,3.2736429770565194,0.1007274762171236,0.1007274762171236,0.0916620033575825,0.0473419138220481,0.1390039171796306
2023-24,516895,Mainoo,MID,Man Utd,77,4.4,0.9,1927,-1,Unclassified,-1,6.4638867,6.269313,3,1,0.87,1.35,2.22,7,31,42.97,0,8,327,3,0,413.4,256.7,134.0,80.6,3.59626362221069,0.1401141670991178,0.0467047223663725,0.0406331084587441,0.063051375194603,0.1036844836533471
2023-24,85971,Son,MID,Spurs,213,10.0,34.4,2934,0,Elite goalscorer,7,12.928414,7.102993,17,10,11.49,7.87,19.36,8,51,53.77,0,25,707,1,0,993.2,921.9,1131.0,304.7,6.533742331288344,0.5214723926380368,0.3067484662576687,0.3524539877300613,0.2414110429447852,0.5938650306748466
2023-24,118748,Salah,MID,Liverpool,211,13.4,24.0,2531,0,Elite goalscorer,7,13.099733,7.1327643,18,12,20.89,7.47,28.36,8,30,32.22,0,24,621,2,0,1033.8,892.2,1531.0,346.0,7.502963255630187,0.6400632161201106,0.4267088107467404,0.7428289213749507,0.2656262346898459,1.0084551560647963
2023-24,154566,Solanke,FWD,Bournemouth,175,6.9,17.8,3325,0,Elite goalscorer,7,13.208028,7.6555533,19,3,19.64,2.11,21.75,10,61,56.58,0,20,560,3,0,902.0,479.6,1348.0,272.7,4.7368421052631575,0.5142857142857142,0.081203007518797,0.531609022556391,0.0571127819548872,0.5887218045112782
2023-24,156700,Morris,FWD,Luton,146,4.7,4.3,2859,0,Elite goalscorer,7,13.027852,8.00049,11,6,11.53,1.52,13.05,3,72,67.19,0,18,451,4,0,620.2,305.6,908.0,183.4,4.59601259181532,0.3462749213011543,0.1888772298006296,0.3629590766002099,0.0478488982161594,0.4108079748163694
2023-24,178186,Bowen,MID,West Ham,182,7.6,12.1,3020,0,Elite goalscorer,7,13.146156,7.7796946,16,6,11.96,4.9,16.86,5,63,62.39,0,14,519,2,0,890.4,463.8,1130.0,247.8,5.4238410596026485,0.4768211920529801,0.1788079470198675,0.3564238410596027,0.1460264900662251,0.5024503311258277
2023-24,178301,Watkins,FWD,Aston Villa,228,8.9,35.9,3222,0,Elite goalscorer,7,13.07008,7.120787,19,18,16.74,4.02,20.76,7,56,55.05,0,29,752,4,0,1024.6,588.5,1420.0,302.8,6.368715083798882,0.5307262569832402,0.5027932960893855,0.4675977653631284,0.112290502793296,0.5798882681564246
2023-24,209244,Foden,MID,Man City,230,8.5,43.3,2860,0,Elite goalscorer,7,12.94354,7.060915,19,8,10.17,6.95,17.12,14,27,28.51,0,31,866,2,0,1154.8,1157.8,1172.0,348.8,7.237762237762237,0.5979020979020979,0.2517482517482518,0.320034965034965,0.2187062937062937,0.5387412587412588
2023-24,216646,Wissa,FWD,Brentford,131,5.7,5.1,2488,0,Elite goalscorer,7,12.85801,8.180319,12,4,10.54,1.82,12.36,11,40,37.55,0,15,457,7,0,592.8,384.0,769.0,173.2,4.738745980707396,0.4340836012861737,0.1446945337620578,0.3812700964630225,0.0658360128617363,0.4471061093247588
2023-24,219168,Isak,FWD,Newcastle,172,8.4,41.0,2253,0,Elite goalscorer,7,13.291183,7.4675674,21,4,20.22,2.68,22.9,7,41,43.41,0,23,645,1,0,877.4,362.5,1054.0,229.3,6.870838881491345,0.8388814913448736,0.1597869507323568,0.8077230359520639,0.1070572569906791,0.914780292942743
2023-24,219847,Havertz,MID,Arsenal,180,7.6,11.9,2627,0,Elite goalscorer,7,12.985739,7.6030846,13,10,12.36,3.88,16.23,16,22,21.03,0,15,515,11,0,763.2,613.4,1027.0,240.2,6.166730110392082,0.445374952417206,0.3425961172440045,0.4234488009135896,0.1329272934906737,0.5560334982870194
2023-24,223094,Haaland,FWD,Man City,217,14.3,73.6,2553,0,Elite goalscorer,7,13.229802,7.343309,27,8,29.57,2.18,31.75,11,25,25.65,0,29,792,1,0,1094.6,367.2,1581.0,303.3,7.649823736780258,0.9518213866039954,0.282021151586369,1.0424206815511163,0.0768507638072855,1.1192714453584018
2023-24,223340,Saka,MID,Arsenal,226,8.8,49.2,2922,0,Elite goalscorer,7,12.935075,6.9868135,16,12,15.4,10.9,26.29,16,27,25.66,0,29,776,4,0,1093.8,1319.8,1342.0,375.7,6.960985626283367,0.4928131416837782,0.3696098562628337,0.4743326488706366,0.3357289527720739,0.8097535934291582
2023-24,231747,Mateta,FWD,Crystal Palace,165,5.1,7.3,2274,0,Elite goalscorer,7,13.048942,8.046841,16,7,10.84,1.3,12.14,8,44,40.46,0,22,563,3,0,775.0,404.0,741.0,191.9,6.530343007915567,0.633245382585752,0.2770448548812665,0.429023746701847,0.0514511873350923,0.4804749340369393
2023-24,244851,Palmer,MID,Chelsea,244,6.3,51.3,2617,0,Elite goalscorer,7,13.077085,7.0634885,22,13,17.35,8.17,25.52,7,46,45.48,0,32,844,7,0,1240.2,1022.5,1016.0,327.8,8.391287734046617,0.7565915170042032,0.4470768055024837,0.5966755827283149,0.280970576996561,0.8776461597248757
2023-24,430871,Cunha,FWD,Wolves,135,5.5,2.4,2438,0,Elite goalscorer,7,12.966523,7.8810725,12,7,9.49,2.97,12.46,6,46,48.51,0,15,520,9,0,786.0,409.8,872.0,206.4,4.983593109105825,0.4429860541427399,0.258408531583265,0.3503281378178835,0.1096390484003281,0.4599671862182117
2023-24,447203,Darwin,FWD,Liverpool,132,7.5,11.7,2033,0,Elite goalscorer,7,12.844764,7.5372963,11,11,16.23,4.37,20.6,6,25,25.33,0,9,397,9,0,660.8,439.1,1223.0,232.4,5.8435809149040825,0.4869650762420069,0.4869650762420069,0.7184948352188884,0.1934579439252336,0.911952779144122
2023-24,461358,J.Alvarez,FWD,Man City,158,6.4,15.4,2644,0,Elite goalscorer,7,12.689431,7.2994037,11,11,13.07,6.28,19.35,12,24,25.52,0,17,662,2,0,737.0,1005.2,992.0,273.3,5.37821482602118,0.3744326777609682,0.3744326777609682,0.4448940998487141,0.2137670196671709,0.658661119515885
2023-24,517052,N.Jackson,FWD,Chelsea,142,7.0,17.9,2801,0,Elite goalscorer,7,13.097004,7.675402,14,6,18.14,3.0,21.14,9,48,47.46,0,12,479,10,0,783.8,501.7,1098.0,237.7,4.562656194216351,0.4498393430917529,0.1927882898964655,0.5828632631203142,0.0963941449482327,0.679257408068547
2023-24,47431,Willian,MID,Fulham,94,5.3,0.4,2048,1,Premium attacker,4,10.852114,7.8637643,4,3,5.09,4.68,9.77,9,28,35.26,0,6,390,1,0,416.4,701.3,439.0,155.5,4.130859375,0.17578125,0.1318359375,0.2236816406249999,0.2056640625,0.429345703125
2023-24,50175,Welbeck,FWD,Brighton,79,5.7,1.0,1687,1,Premium attacker,4,11.937503,9.44964,5,4,5.09,1.46,6.55,8,28,27.78,0,5,261,4,0,326.2,320.9,492.0,114.0,4.214582098399526,0.2667457024303497,0.2133965619442797,0.271547125074096,0.0778897451096621,0.3494368701837581
2023-24,57531,Antonio,FWD,West Ham,78,5.7,1.9,1692,1,Premium attacker,4,11.932052,9.542805,6,2,5.45,1.28,6.72,5,34,35.84,0,8,228,6,0,308.6,132.2,395.0,82.7,4.148936170212766,0.3191489361702128,0.1063829787234042,0.2898936170212766,0.0680851063829787,0.3574468085106383
2023-24,60689,Wood,FWD,Nott'm Forest,131,4.7,1.7,1801,1,Premium attacker,4,12.8687725,8.629946,14,1,11.71,0.92,12.63,2,34,27.19,0,22,456,0,0,598.2,281.1,795.0,167.4,6.54636313159356,0.6996113270405331,0.0499722376457523,0.5851749028317602,0.0459744586340921,0.6311493614658523
2023-24,75115,Wilson,FWD,Newcastle,69,7.8,3.0,981,1,Premium attacker,4,12.7497,9.1525,9,1,8.96,0.54,9.5,6,15,13.12,0,4,246,3,0,366.2,110.3,563.0,103.2,6.330275229357798,0.8256880733944955,0.091743119266055,0.8220183486238533,0.0495412844036697,0.8715596330275229
2023-24,96994,De Cordova-Reid,MID,Fulham,92,5.2,0.1,1410,1,Premium attacker,4,12.268775,9.62224,6,3,4.55,1.12,5.67,3,29,28.79,0,7,290,4,0,330.6,255.3,325.0,90.0,5.872340425531915,0.3829787234042553,0.1914893617021276,0.2904255319148935,0.0714893617021276,0.3619148936170213
2023-24,115382,Maupay,FWD,Brentford,76,4.9,0.9,1417,1,Premium attacker,4,12.122167,9.530226,6,3,6.89,1.99,8.88,4,37,26.36,0,6,248,8,0,325.8,242.5,568.0,112.6,4.827099505998589,0.3810868031051517,0.1905434015525758,0.4376146788990825,0.126393789696542,0.5640084685956246
2023-24,116216,Trossard,MID,Arsenal,138,6.6,3.6,1633,1,Premium attacker,4,12.824282,8.622576,12,2,8.29,2.96,11.25,12,10,13.46,0,11,398,2,0,563.6,384.7,746.0,169.5,7.605633802816901,0.6613594611145132,0.1102265768524188,0.4568891610532761,0.1631353337415799,0.6200244947948561
2023-24,121599,A.Doucoure,MID,Everton,116,5.5,0.5,2632,1,Premium attacker,4,12.18472,8.737152,7,3,8.7,1.51,10.21,12,36,42.26,0,7,335,7,0,462.4,456.5,687.0,161.0,3.966565349544073,0.2393617021276595,0.1025835866261398,0.2974924012158054,0.0516337386018237,0.3491261398176292
2023-24,122798,Robertson,DEF,Liverpool,76,6.5,4.2,1689,1,Premium attacker,4,10.775446,7.749448,3,2,1.9,4.4,6.3,3,22,22.83,0,8,463,2,0,552.2,936.1,230.0,171.9,4.049733570159858,0.1598579040852575,0.1065719360568383,0.1012433392539964,0.2344582593250444,0.3357015985790408
2023-24,144485,Toney,FWD,Brentford,57,7.7,3.7,1449,1,Premium attacker,4,11.88445,9.635439,4,3,5.72,1.51,7.23,3,30,27.82,0,4,159,5,0,289.6,206.5,524.0,101.7,3.5403726708074537,0.2484472049689441,0.1863354037267081,0.35527950310559,0.0937888198757763,0.4490683229813665
2023-24,153133,Iwobi,MID,Fulham,102,5.3,0.4,2331,1,Premium attacker,4,10.799162,7.9776306,5,2,5.23,4.2,9.43,7,41,37.63,0,9,425,2,0,504.2,718.8,534.0,175.9,3.938223938223938,0.193050193050193,0.0772200772200772,0.2019305019305019,0.1621621621621621,0.364092664092664
2023-24,174310,Adebayo,FWD,Luton,94,4.8,1.0,1405,1,Premium attacker,4,12.264305,9.717095,10,1,5.47,0.44,5.91,2,36,29.29,0,9,288,1,0,413.6,177.0,527.0,111.8,6.02135231316726,0.6405693950177935,0.0640569395017793,0.350391459074733,0.0281850533807829,0.378576512455516
2023-24,176297,Rashford,MID,Man Utd,108,8.4,9.5,2264,1,Premium attacker,4,11.531213,8.833529,7,3,7.13,2.8,9.93,7,37,48.29,0,0,330,2,0,453.2,358.6,672.0,148.3,4.293286219081272,0.2782685512367491,0.1192579505300353,0.2834363957597173,0.1113074204946996,0.3947438162544169
2023-24,177815,Calvert-Lewin,FWD,Everton,101,5.8,1.0,2166,1,Premium attacker,4,12.577309,8.872312,7,3,12.86,1.58,14.43,13,27,31.91,0,9,259,2,0,403.0,255.6,901.0,154.8,4.196675900277008,0.2908587257617728,0.1246537396121883,0.5343490304709141,0.0656509695290858,0.599584487534626
2023-24,179018,Almirón,MID,Newcastle,77,6.0,2.7,1930,1,Premium attacker,4,11.145295,8.970004,3,1,4.57,2.39,6.96,5,40,38.15,0,4,277,2,0,299.8,369.7,434.0,110.1,3.5906735751295336,0.1398963730569948,0.0466321243523316,0.2131088082901554,0.1114507772020725,0.3245595854922279
2023-24,179458,Bruun Larsen,MID,Burnley,82,4.8,0.1,1235,1,Premium attacker,4,12.251098,9.781702,6,0,4.65,1.44,6.09,3,23,24.35,0,7,237,1,0,335.8,416.5,448.0,119.5,5.975708502024292,0.437246963562753,0.0,0.3388663967611336,0.1049392712550607,0.4438056680161943
2023-24,184754,Hee Chan,MID,Wolves,125,5.4,1.8,2116,1,Premium attacker,4,12.29746,8.921798,12,3,7.53,2.84,10.37,3,37,38.86,0,10,334,6,0,534.2,259.9,614.0,140.7,5.316635160680529,0.5103969754253308,0.1275992438563327,0.3202741020793951,0.1207939508506616,0.4410680529300567
2023-24,194634,Diogo J.,MID,Liverpool,110,7.9,1.7,1141,1,Premium attacker,4,12.741989,8.774191,10,7,5.24,1.75,6.99,5,11,15.21,0,7,328,1,1,483.8,290.2,639.0,141.4,8.676599474145487,0.7887817703768624,0.5521472392638037,0.4133216476774759,0.1380368098159509,0.5513584574934268
2023-24,195851,McTominay,MID,Man Utd,98,4.5,0.8,1891,1,Premium attacker,4,11.951443,9.2103615,7,1,6.0,0.41,6.4,7,30,39.95,0,5,307,2,0,539.4,179.5,492.0,121.3,4.6641988365943945,0.3331570597567425,0.0475938656795346,0.2855631940772078,0.0195134849286092,0.3046007403490217
2023-24,199670,Edouard,FWD,Crystal Palace,79,5.3,1.3,1545,1,Premium attacker,4,12.138202,9.361537,7,0,6.33,0.86,7.19,6,24,20.54,0,9,246,4,0,359.6,256.7,663.0,128.0,4.601941747572816,0.4077669902912621,0.0,0.3687378640776699,0.0500970873786407,0.4188349514563107
2023-24,201658,Tavernier,MID,Bournemouth,89,5.0,0.3,2118,1,Premium attacker,4,10.5827265,8.056835,3,4,3.88,4.24,8.12,8,38,32.42,0,5,324,3,0,468.4,649.4,460.0,157.8,3.7818696883852687,0.1274787535410765,0.1699716713881019,0.1648725212464589,0.1801699716713881,0.345042492917847
2023-24,204814,Brereton Díaz,MID,Sheffield Utd,62,5.0,0.2,1105,1,Premium attacker,4,12.279174,9.775281,6,1,5.52,1.07,6.58,0,37,23.91,0,5,173,3,0,312.2,124.0,422.0,85.3,5.049773755656108,0.4886877828054298,0.0814479638009049,0.4495927601809954,0.0871493212669683,0.5359276018099548
2023-24,205533,Nketiah,FWD,Arsenal,71,5.0,3.1,1065,1,Premium attacker,4,12.515475,9.607015,5,4,4.65,0.53,5.18,6,10,10.21,0,5,206,3,0,235.0,136.3,417.0,77.2,6.0,0.4225352112676056,0.3380281690140845,0.3929577464788732,0.0447887323943662,0.4377464788732395
2023-24,209046,Hudson-Odoi,MID,Nott'm Forest,109,4.7,0.8,1846,1,Premium attacker,4,11.769799,9.181719,8,2,2.65,2.02,4.67,2,41,28.38,0,14,371,0,0,489.0,514.2,444.0,145.0,5.314192849404117,0.390032502708559,0.0975081256771397,0.1291982665222101,0.0984832069339111,0.2276814734561213
2023-24,210156,Awoniyi,FWD,Nott'm Forest,67,6.3,1.3,1036,1,Premium attacker,4,12.543526,9.638966,6,3,4.85,0.9,5.75,3,21,15.61,0,5,247,2,0,303.2,134.4,308.0,74.2,5.82046332046332,0.5212355212355212,0.2606177606177606,0.4213320463320463,0.0781853281853282,0.4995173745173745
2023-24,212319,Richarlison,MID,Spurs,122,6.8,2.5,1481,1,Premium attacker,4,12.858646,8.734285,11,4,9.49,1.42,10.91,7,18,25.59,0,7,305,3,0,560.6,208.4,758.0,152.1,7.413909520594193,0.6684672518568535,0.2430790006752194,0.5767049291019581,0.0862930452397029,0.662997974341661
2023-24,221399,Harrison,MID,Everton,92,5.5,0.1,2212,1,Premium attacker,4,10.594046,8.050108,3,3,3.68,3.02,6.7,11,26,34.15,0,5,292,1,0,397.4,405.7,339.0,114.3,3.7432188065099457,0.1220614828209765,0.1220614828209765,0.1497287522603978,0.122875226039783,0.2726039783001808
2023-24,222683,Kluivert,MID,Bournemouth,100,4.6,0.7,1910,1,Premium attacker,4,11.984077,9.287392,7,1,5.76,1.68,7.44,11,23,30.07,0,2,229,5,0,362.2,283.2,619.0,126.4,4.712041884816754,0.3298429319371728,0.0471204188481675,0.271413612565445,0.0791623036649214,0.3505759162303665
2023-24,229164,Ogbene,FWD,Luton,84,4.8,0.1,1987,1,Premium attacker,4,10.973903,8.649225,4,4,4.47,3.5,7.97,2,47,46.3,0,7,387,1,0,412.6,378.3,486.0,127.7,3.8047307498741834,0.1811776547559134,0.1811776547559134,0.2024660291897332,0.1585304479114242,0.3609964771011575
2023-24,243298,Gakpo,FWD,Liverpool,106,7.1,3.1,1633,1,Premium attacker,4,12.712532,8.478112,8,5,9.07,2.71,11.78,5,20,23.9,0,12,409,1,0,521.4,348.2,708.0,157.1,5.8420085731782,0.4409063074096754,0.2755664421310471,0.4998775260257195,0.1493570116350275,0.6492345376607471
2023-24,244042,Muniz,FWD,Fulham,97,4.3,4.4,1589,1,Premium attacker,4,12.726403,8.883341,9,2,8.76,0.94,9.7,6,27,26.67,0,12,299,1,0,409.0,213.1,875.0,148.2,5.494021397105097,0.5097545626179988,0.1132787916928886,0.4961611076148521,0.0532410320956576,0.5494021397105097
2023-24,248857,Madueke,MID,Chelsea,76,5.3,1.2,1044,1,Premium attacker,4,12.5927,9.614949,5,3,2.51,2.13,4.64,4,19,18.37,0,7,253,2,0,341.6,287.5,401.0,102.8,6.551724137931035,0.4310344827586206,0.2586206896551724,0.2163793103448275,0.1836206896551724,0.4
2023-24,249231,Lewis-Potter,MID,Brentford,73,4.7,0.1,1428,1,Premium attacker,4,11.94776,9.755671,3,2,6.42,1.66,8.07,6,29,20.21,0,1,186,0,0,280.0,203.8,573.0,105.6,4.600840336134453,0.1890756302521008,0.1260504201680672,0.4046218487394958,0.1046218487394957,0.5086134453781513
2023-24,424876,Szoboszlai,MID,Liverpool,99,7.1,3.3,2102,1,Premium attacker,4,10.828042,7.789975,3,4,3.64,5.13,8.77,8,23,25.06,0,7,437,1,0,423.4,830.0,377.0,162.8,4.238820171265461,0.1284490960989533,0.1712654614652712,0.1558515699333967,0.2196479543292102,0.375499524262607
2023-24,432714,McAtee,MID,Sheffield Utd,77,4.4,0.4,1815,1,Premium attacker,4,10.726944,8.829943,3,4,2.98,2.16,5.14,2,65,39.34,0,0,259,2,0,333.8,394.4,333.0,106.0,3.8181818181818175,0.1487603305785124,0.1983471074380165,0.1477685950413223,0.1071074380165289,0.2548760330578512
2023-24,433979,Archer,FWD,Sheffield Utd,82,4.2,3.4,1829,1,Premium attacker,4,11.17416,9.083189,4,3,5.28,1.39,6.67,2,50,41.38,0,9,241,2,0,266.0,309.3,353.0,92.8,4.034991798797157,0.1968288682340076,0.1476216511755057,0.2598141060688901,0.0683980317113176,0.3282121377802077
